seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,19.487,preload_load,blk.3.ffn_down_exps.weight,60,4816896,0,1,0,19.487
2,20.387,preload_load,blk.3.ffn_down_exps.weight,133,4816896,0,1,0,0.888
3,21.557,preload_load,blk.3.ffn_down_exps.weight,2,4816896,0,1,0,1.167
4,22.393,preload_load,blk.3.ffn_down_exps.weight,179,4816896,0,1,0,0.835
5,23.181,preload_load,blk.3.ffn_down_exps.weight,200,4816896,0,1,0,0.786
6,23.989,preload_load,blk.3.ffn_down_exps.weight,210,4816896,0,1,0,0.807
7,24.916,preload_load,blk.3.ffn_down_exps.weight,52,4816896,0,1,0,0.925
8,25.552,preload_load,blk.3.ffn_down_exps.weight,73,4816896,0,1,0,0.635
9,26.552,preload_load,blk.3.ffn_gate_exps.weight,60,4030464,0,1,0,0.462
10,27.013,preload_load,blk.3.ffn_gate_exps.weight,133,4030464,0,1,0,0.458
11,27.469,preload_load,blk.3.ffn_gate_exps.weight,2,4030464,0,1,0,0.455
12,27.936,preload_load,blk.3.ffn_gate_exps.weight,179,4030464,0,1,0,0.465
13,28.397,preload_load,blk.3.ffn_gate_exps.weight,200,4030464,0,1,0,0.460
14,28.855,preload_load,blk.3.ffn_gate_exps.weight,210,4030464,0,1,0,0.456
15,29.324,preload_load,blk.3.ffn_gate_exps.weight,52,4030464,0,1,0,0.469
16,29.780,preload_load,blk.3.ffn_gate_exps.weight,73,4030464,0,1,0,0.454
17,30.458,preload_load,blk.3.ffn_up_exps.weight,60,4030464,0,1,0,0.486
18,30.917,preload_load,blk.3.ffn_up_exps.weight,133,4030464,0,1,0,0.457
19,31.380,preload_load,blk.3.ffn_up_exps.weight,2,4030464,0,1,0,0.462
20,31.846,preload_load,blk.3.ffn_up_exps.weight,179,4030464,0,1,0,0.464
21,32.309,preload_load,blk.3.ffn_up_exps.weight,200,4030464,0,1,0,0.462
22,32.767,preload_load,blk.3.ffn_up_exps.weight,210,4030464,0,1,0,0.457
23,33.223,preload_load,blk.3.ffn_up_exps.weight,52,4030464,0,1,0,0.455
24,33.682,preload_load,blk.3.ffn_up_exps.weight,73,4030464,0,1,0,0.457
25,34.184,mark_ready,,-1,0,0,0,0,0.000
26,35.212,mark_submit,,-1,0,0,0,0,0.000
