seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,19.525,preload_load,blk.3.ffn_down_exps.weight,11,4816896,0,1,0,19.525
2,20.418,preload_load,blk.3.ffn_down_exps.weight,15,4816896,0,1,0,0.885
3,21.274,preload_load,blk.3.ffn_down_exps.weight,26,4816896,0,1,0,0.854
4,21.949,preload_load,blk.3.ffn_down_exps.weight,41,4816896,0,1,0,0.673
5,22.623,preload_load,blk.3.ffn_down_exps.weight,163,4816896,0,1,0,0.672
6,23.274,preload_load,blk.3.ffn_down_exps.weight,166,4816896,0,1,0,0.650
7,23.937,preload_load,blk.3.ffn_down_exps.weight,174,4816896,0,1,0,0.662
8,24.595,preload_load,blk.3.ffn_down_exps.weight,233,4816896,0,1,0,0.657
9,25.389,preload_load,blk.3.ffn_gate_exps.weight,11,4030464,0,1,0,0.464
10,25.818,preload_load,blk.3.ffn_gate_exps.weight,15,4030464,0,1,0,0.427
11,26.278,preload_load,blk.3.ffn_gate_exps.weight,26,4030464,0,1,0,0.460
12,26.739,preload_load,blk.3.ffn_gate_exps.weight,41,4030464,0,1,0,0.460
13,27.202,preload_load,blk.3.ffn_gate_exps.weight,163,4030464,0,1,0,0.462
14,27.660,preload_load,blk.3.ffn_gate_exps.weight,166,4030464,0,1,0,0.457
15,28.115,preload_load,blk.3.ffn_gate_exps.weight,174,4030464,0,1,0,0.454
16,28.568,preload_load,blk.3.ffn_gate_exps.weight,233,4030464,0,1,0,0.452
17,29.162,preload_load,blk.3.ffn_up_exps.weight,11,4030464,0,1,0,0.482
18,29.631,preload_load,blk.3.ffn_up_exps.weight,15,4030464,0,1,0,0.467
19,30.098,preload_load,blk.3.ffn_up_exps.weight,26,4030464,0,1,0,0.466
20,30.560,preload_load,blk.3.ffn_up_exps.weight,41,4030464,0,1,0,0.462
21,31.021,preload_load,blk.3.ffn_up_exps.weight,163,4030464,0,1,0,0.460
22,31.447,preload_load,blk.3.ffn_up_exps.weight,166,4030464,0,1,0,0.426
23,31.910,preload_load,blk.3.ffn_up_exps.weight,174,4030464,0,1,0,0.462
24,32.373,preload_load,blk.3.ffn_up_exps.weight,233,4030464,0,1,0,0.461
25,32.626,mark_ready,,-1,0,0,0,0,0.000
26,33.755,mark_submit,,-1,0,0,0,0,0.000
27,290.563,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
28,290.564,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
29,290.565,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
30,290.565,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
31,290.566,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
32,290.566,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
33,290.567,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
34,290.572,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
35,290.572,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
36,290.572,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
37,290.572,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
38,290.572,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
39,290.572,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
40,290.573,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
41,290.573,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
42,290.573,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
43,290.573,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
44,290.573,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
45,290.573,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
46,290.573,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
47,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
48,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
49,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
50,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
51,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
52,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
53,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
54,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
55,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
56,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
57,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
58,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
59,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
60,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
61,290.574,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
62,290.574,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
63,290.575,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
64,290.575,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
65,290.575,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
66,290.578,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
67,290.578,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
68,290.578,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
69,290.578,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
70,290.578,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
