seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,0.000,mark_ready,,-1,0,0,0,0,0.000
2,0.934,mark_submit,,-1,0,0,0,0,0.000
3,243.302,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
4,247.756,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
5,247.760,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
6,247.760,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
7,247.761,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
8,247.761,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
9,247.762,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
10,247.763,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
11,247.763,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
12,247.763,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
13,247.763,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
14,247.763,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
15,247.763,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
16,247.764,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
17,247.764,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
18,247.765,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
19,247.765,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
20,247.765,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
21,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
22,247.766,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
23,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
24,247.766,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
25,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
26,247.766,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
27,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
28,247.766,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
29,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
30,247.766,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
31,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
32,247.766,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
33,247.766,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
34,247.768,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
35,247.768,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
36,247.768,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
37,247.769,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
38,247.769,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
39,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
40,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
41,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
42,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
43,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
44,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
45,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
46,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
47,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
48,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
49,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
50,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
51,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
52,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
53,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
54,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
55,247.770,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
56,247.770,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
57,247.771,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
58,247.771,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
59,247.771,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
60,247.771,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
61,247.771,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
62,247.771,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
63,247.771,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
64,247.771,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
65,247.771,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
66,247.774,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
67,247.774,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
68,247.774,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
69,247.774,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
70,247.775,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
71,247.775,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
72,247.775,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
73,247.775,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
74,247.775,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
75,247.775,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
76,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
77,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
78,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
79,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
80,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
81,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
82,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
83,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
84,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
85,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
86,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
87,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
88,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
89,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
90,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
91,247.776,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
92,247.776,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
93,247.777,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
94,247.777,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
95,247.777,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
96,247.777,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
97,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
98,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
99,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
100,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
101,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
102,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
103,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
104,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
105,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
106,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
107,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
108,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
109,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
110,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
111,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
112,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
113,247.778,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
114,247.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
115,247.779,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
116,247.779,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
117,247.779,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
118,247.779,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
119,247.779,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
120,247.779,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
121,247.779,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
122,247.779,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
123,247.779,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
