seq,expert_bytes,tensor_base,expert_idx,tensor
1,4030464,0x0,19,blk.77.ffn_up_exps.weight
2,4030464,0x0,49,blk.77.ffn_up_exps.weight
3,4030464,0x0,75,blk.77.ffn_up_exps.weight
4,4030464,0x0,123,blk.77.ffn_up_exps.weight
5,4030464,0x0,133,blk.77.ffn_up_exps.weight
6,4030464,0x0,137,blk.77.ffn_up_exps.weight
7,4030464,0x0,163,blk.77.ffn_up_exps.weight
8,4030464,0x0,188,blk.77.ffn_up_exps.weight
9,4030464,0x0,19,blk.77.ffn_gate_exps.weight
10,4030464,0x0,49,blk.77.ffn_gate_exps.weight
11,4030464,0x0,75,blk.77.ffn_gate_exps.weight
12,4030464,0x0,123,blk.77.ffn_gate_exps.weight
13,4030464,0x0,133,blk.77.ffn_gate_exps.weight
14,4030464,0x0,137,blk.77.ffn_gate_exps.weight
15,4030464,0x0,163,blk.77.ffn_gate_exps.weight
16,4030464,0x0,188,blk.77.ffn_gate_exps.weight
17,4816896,0x0,19,blk.77.ffn_down_exps.weight
18,4816896,0x0,49,blk.77.ffn_down_exps.weight
19,4816896,0x0,75,blk.77.ffn_down_exps.weight
20,4816896,0x0,123,blk.77.ffn_down_exps.weight
21,4816896,0x0,133,blk.77.ffn_down_exps.weight
22,4816896,0x0,137,blk.77.ffn_down_exps.weight
23,4816896,0x0,163,blk.77.ffn_down_exps.weight
24,4816896,0x0,188,blk.77.ffn_down_exps.weight
