seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,19.697,preload_load,blk.3.ffn_down_exps.weight,11,4816896,0,1,0,19.697
2,20.472,preload_load,blk.3.ffn_down_exps.weight,15,4816896,0,1,0,0.763
3,21.288,preload_load,blk.3.ffn_down_exps.weight,26,4816896,0,1,0,0.814
4,21.941,preload_load,blk.3.ffn_down_exps.weight,41,4816896,0,1,0,0.651
5,22.608,preload_load,blk.3.ffn_down_exps.weight,163,4816896,0,1,0,0.666
6,23.260,preload_load,blk.3.ffn_down_exps.weight,166,4816896,0,1,0,0.649
7,23.902,preload_load,blk.3.ffn_down_exps.weight,174,4816896,0,1,0,0.641
8,24.550,preload_load,blk.3.ffn_down_exps.weight,233,4816896,0,1,0,0.647
9,25.389,preload_load,blk.3.ffn_gate_exps.weight,11,4030464,0,1,0,0.461
10,25.818,preload_load,blk.3.ffn_gate_exps.weight,15,4030464,0,1,0,0.427
11,26.275,preload_load,blk.3.ffn_gate_exps.weight,26,4030464,0,1,0,0.456
12,26.730,preload_load,blk.3.ffn_gate_exps.weight,41,4030464,0,1,0,0.454
13,27.185,preload_load,blk.3.ffn_gate_exps.weight,163,4030464,0,1,0,0.454
14,27.644,preload_load,blk.3.ffn_gate_exps.weight,166,4030464,0,1,0,0.458
15,28.109,preload_load,blk.3.ffn_gate_exps.weight,174,4030464,0,1,0,0.464
16,28.546,preload_load,blk.3.ffn_gate_exps.weight,233,4030464,0,1,0,0.436
17,29.142,preload_load,blk.3.ffn_up_exps.weight,11,4030464,0,1,0,0.483
18,29.605,preload_load,blk.3.ffn_up_exps.weight,15,4030464,0,1,0,0.462
19,30.069,preload_load,blk.3.ffn_up_exps.weight,26,4030464,0,1,0,0.463
20,30.526,preload_load,blk.3.ffn_up_exps.weight,41,4030464,0,1,0,0.456
21,30.985,preload_load,blk.3.ffn_up_exps.weight,163,4030464,0,1,0,0.458
22,31.416,preload_load,blk.3.ffn_up_exps.weight,166,4030464,0,1,0,0.430
23,31.876,preload_load,blk.3.ffn_up_exps.weight,174,4030464,0,1,0,0.460
