seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,19.889,preload_load,blk.3.ffn_down_exps.weight,11,4816896,0,1,0,19.889
2,20.686,preload_load,blk.3.ffn_down_exps.weight,15,4816896,0,1,0,0.786
3,21.492,preload_load,blk.3.ffn_down_exps.weight,26,4816896,0,1,0,0.803
4,22.148,preload_load,blk.3.ffn_down_exps.weight,41,4816896,0,1,0,0.654
5,22.879,preload_load,blk.3.ffn_down_exps.weight,163,4816896,0,1,0,0.731
6,23.527,preload_load,blk.3.ffn_down_exps.weight,166,4816896,0,1,0,0.646
7,24.175,preload_load,blk.3.ffn_down_exps.weight,174,4816896,0,1,0,0.647
8,24.821,preload_load,blk.3.ffn_down_exps.weight,233,4816896,0,1,0,0.645
9,25.674,preload_load,blk.3.ffn_gate_exps.weight,11,4030464,0,1,0,0.463
10,26.105,preload_load,blk.3.ffn_gate_exps.weight,15,4030464,0,1,0,0.428
11,26.541,preload_load,blk.3.ffn_gate_exps.weight,26,4030464,0,1,0,0.435
12,26.998,preload_load,blk.3.ffn_gate_exps.weight,41,4030464,0,1,0,0.457
13,27.456,preload_load,blk.3.ffn_gate_exps.weight,163,4030464,0,1,0,0.457
14,27.912,preload_load,blk.3.ffn_gate_exps.weight,166,4030464,0,1,0,0.455
15,28.369,preload_load,blk.3.ffn_gate_exps.weight,174,4030464,0,1,0,0.456
16,28.822,preload_load,blk.3.ffn_gate_exps.weight,233,4030464,0,1,0,0.452
17,29.524,preload_load,blk.3.ffn_up_exps.weight,11,4030464,0,1,0,0.588
18,29.982,preload_load,blk.3.ffn_up_exps.weight,15,4030464,0,1,0,0.457
19,30.438,preload_load,blk.3.ffn_up_exps.weight,26,4030464,0,1,0,0.454
20,30.894,preload_load,blk.3.ffn_up_exps.weight,41,4030464,0,1,0,0.455
21,31.352,preload_load,blk.3.ffn_up_exps.weight,163,4030464,0,1,0,0.457
22,31.779,preload_load,blk.3.ffn_up_exps.weight,166,4030464,0,1,0,0.425
23,32.238,preload_load,blk.3.ffn_up_exps.weight,174,4030464,0,1,0,0.458
24,32.698,preload_load,blk.3.ffn_up_exps.weight,233,4030464,0,1,0,0.459
25,33.390,mark_ready,,-1,0,0,0,0,0.000
26,34.462,mark_submit,,-1,0,0,0,0,0.000
