rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,84,4816896,4816896,0x0,201,blk.77.ffn_down_exps.weight
2,84,4030464,8847360,0x0,201,blk.77.ffn_gate_exps.weight
3,84,4030464,12877824,0x0,201,blk.77.ffn_up_exps.weight
4,83,4816896,17694720,0x0,11,blk.3.ffn_down_exps.weight
5,83,4816896,22511616,0x0,15,blk.3.ffn_down_exps.weight
6,83,4816896,27328512,0x0,26,blk.3.ffn_down_exps.weight
7,83,4816896,32145408,0x0,41,blk.3.ffn_down_exps.weight
8,83,4816896,36962304,0x0,163,blk.3.ffn_down_exps.weight
9,83,4816896,41779200,0x0,166,blk.3.ffn_down_exps.weight
10,83,4816896,46596096,0x0,174,blk.3.ffn_down_exps.weight
11,83,4816896,51412992,0x0,233,blk.3.ffn_down_exps.weight
12,83,4030464,55443456,0x0,11,blk.3.ffn_gate_exps.weight
13,83,4030464,59473920,0x0,15,blk.3.ffn_gate_exps.weight
14,83,4030464,63504384,0x0,26,blk.3.ffn_gate_exps.weight
15,83,4030464,67534848,0x0,41,blk.3.ffn_gate_exps.weight
16,83,4030464,71565312,0x0,163,blk.3.ffn_gate_exps.weight
17,83,4030464,75595776,0x0,166,blk.3.ffn_gate_exps.weight
18,83,4030464,79626240,0x0,174,blk.3.ffn_gate_exps.weight
19,83,4030464,83656704,0x0,233,blk.3.ffn_gate_exps.weight
20,83,4030464,87687168,0x0,11,blk.3.ffn_up_exps.weight
21,83,4030464,91717632,0x0,15,blk.3.ffn_up_exps.weight
22,83,4030464,95748096,0x0,26,blk.3.ffn_up_exps.weight
23,83,4030464,99778560,0x0,41,blk.3.ffn_up_exps.weight
24,83,4030464,103809024,0x0,163,blk.3.ffn_up_exps.weight
25,83,4030464,107839488,0x0,166,blk.3.ffn_up_exps.weight
26,83,4030464,111869952,0x0,174,blk.3.ffn_up_exps.weight
27,83,4030464,115900416,0x0,233,blk.3.ffn_up_exps.weight
28,83,4816896,120717312,0x0,0,blk.4.ffn_down_exps.weight
29,83,4816896,125534208,0x0,1,blk.4.ffn_down_exps.weight
30,83,4816896,130351104,0x0,2,blk.4.ffn_down_exps.weight
31,83,4816896,135168000,0x0,3,blk.4.ffn_down_exps.weight
32,83,4816896,139984896,0x0,4,blk.4.ffn_down_exps.weight
33,83,4816896,144801792,0x0,5,blk.4.ffn_down_exps.weight
34,83,4816896,149618688,0x0,6,blk.4.ffn_down_exps.weight
35,83,4816896,154435584,0x0,7,blk.4.ffn_down_exps.weight
36,83,4030464,158466048,0x0,0,blk.4.ffn_gate_exps.weight
37,83,4030464,162496512,0x0,1,blk.4.ffn_gate_exps.weight
38,83,4030464,166526976,0x0,2,blk.4.ffn_gate_exps.weight
39,83,4030464,170557440,0x0,3,blk.4.ffn_gate_exps.weight
40,83,4030464,174587904,0x0,4,blk.4.ffn_gate_exps.weight
41,83,4030464,178618368,0x0,5,blk.4.ffn_gate_exps.weight
42,83,4030464,182648832,0x0,6,blk.4.ffn_gate_exps.weight
43,83,4030464,186679296,0x0,7,blk.4.ffn_gate_exps.weight
44,83,4030464,190709760,0x0,0,blk.4.ffn_up_exps.weight
45,83,4030464,194740224,0x0,1,blk.4.ffn_up_exps.weight
46,83,4030464,198770688,0x0,2,blk.4.ffn_up_exps.weight
47,83,4030464,202801152,0x0,3,blk.4.ffn_up_exps.weight
48,83,4030464,206831616,0x0,4,blk.4.ffn_up_exps.weight
49,83,4030464,210862080,0x0,5,blk.4.ffn_up_exps.weight
50,83,4030464,214892544,0x0,6,blk.4.ffn_up_exps.weight
51,83,4030464,218923008,0x0,7,blk.4.ffn_up_exps.weight
52,83,4816896,223739904,0x0,53,blk.72.ffn_down_exps.weight
53,83,4030464,227770368,0x0,53,blk.72.ffn_gate_exps.weight
54,83,4030464,231800832,0x0,53,blk.72.ffn_up_exps.weight
55,78,4816896,236617728,0x0,59,blk.68.ffn_down_exps.weight
56,78,4030464,240648192,0x0,59,blk.68.ffn_gate_exps.weight
57,78,4030464,244678656,0x0,59,blk.68.ffn_up_exps.weight
58,78,4816896,249495552,0x0,12,blk.9.ffn_down_exps.weight
59,78,4030464,253526016,0x0,12,blk.9.ffn_gate_exps.weight
60,78,4030464,257556480,0x0,12,blk.9.ffn_up_exps.weight
61,76,4816896,262373376,0x0,120,blk.43.ffn_down_exps.weight
62,76,4030464,266403840,0x0,120,blk.43.ffn_gate_exps.weight
63,76,4030464,270434304,0x0,120,blk.43.ffn_up_exps.weight
64,76,4816896,275251200,0x0,75,blk.73.ffn_down_exps.weight
65,76,4030464,279281664,0x0,75,blk.73.ffn_gate_exps.weight
66,76,4030464,283312128,0x0,75,blk.73.ffn_up_exps.weight
67,75,4816896,288129024,0x0,132,blk.12.ffn_down_exps.weight
68,75,4030464,292159488,0x0,132,blk.12.ffn_gate_exps.weight
69,75,4030464,296189952,0x0,132,blk.12.ffn_up_exps.weight
70,75,4816896,301006848,0x0,228,blk.43.ffn_down_exps.weight
71,75,4030464,305037312,0x0,228,blk.43.ffn_gate_exps.weight
72,75,4030464,309067776,0x0,228,blk.43.ffn_up_exps.weight
73,74,4816896,313884672,0x0,27,blk.16.ffn_down_exps.weight
74,74,4030464,317915136,0x0,27,blk.16.ffn_gate_exps.weight
75,74,4030464,321945600,0x0,27,blk.16.ffn_up_exps.weight
76,73,4816896,326762496,0x0,211,blk.21.ffn_down_exps.weight
77,73,4030464,330792960,0x0,211,blk.21.ffn_gate_exps.weight
78,73,4030464,334823424,0x0,211,blk.21.ffn_up_exps.weight
79,73,4816896,339640320,0x0,146,blk.41.ffn_down_exps.weight
80,73,4030464,343670784,0x0,146,blk.41.ffn_gate_exps.weight
81,73,4030464,347701248,0x0,146,blk.41.ffn_up_exps.weight
82,73,4816896,352518144,0x0,37,blk.71.ffn_down_exps.weight
83,73,4030464,356548608,0x0,37,blk.71.ffn_gate_exps.weight
84,73,4030464,360579072,0x0,37,blk.71.ffn_up_exps.weight
85,72,4816896,365395968,0x0,136,blk.17.ffn_down_exps.weight
86,72,4030464,369426432,0x0,136,blk.17.ffn_gate_exps.weight
87,72,4030464,373456896,0x0,136,blk.17.ffn_up_exps.weight
88,71,4816896,378273792,0x0,4,blk.75.ffn_down_exps.weight
89,71,4030464,382304256,0x0,4,blk.75.ffn_gate_exps.weight
90,71,4030464,386334720,0x0,4,blk.75.ffn_up_exps.weight
91,70,4816896,391151616,0x0,121,blk.26.ffn_down_exps.weight
92,70,4030464,395182080,0x0,121,blk.26.ffn_gate_exps.weight
93,70,4030464,399212544,0x0,121,blk.26.ffn_up_exps.weight
94,69,4816896,404029440,0x0,92,blk.15.ffn_down_exps.weight
95,69,4030464,408059904,0x0,92,blk.15.ffn_gate_exps.weight
96,69,4030464,412090368,0x0,92,blk.15.ffn_up_exps.weight
97,69,4816896,416907264,0x0,16,blk.19.ffn_down_exps.weight
98,69,4030464,420937728,0x0,16,blk.19.ffn_gate_exps.weight
99,69,4030464,424968192,0x0,16,blk.19.ffn_up_exps.weight
100,69,4816896,429785088,0x0,207,blk.27.ffn_down_exps.weight
101,69,4030464,433815552,0x0,207,blk.27.ffn_gate_exps.weight
102,69,4030464,437846016,0x0,207,blk.27.ffn_up_exps.weight
103,67,4816896,442662912,0x0,120,blk.20.ffn_down_exps.weight
104,67,4030464,446693376,0x0,120,blk.20.ffn_gate_exps.weight
105,67,4030464,450723840,0x0,120,blk.20.ffn_up_exps.weight
106,66,4816896,455540736,0x0,55,blk.50.ffn_down_exps.weight
107,66,4030464,459571200,0x0,55,blk.50.ffn_gate_exps.weight
