rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,15,4030464,4030464,0x0,32,blk.74.ffn_up_exps.weight
2,15,4030464,8060928,0x0,32,blk.74.ffn_gate_exps.weight
3,15,4030464,12091392,0x0,127,blk.9.ffn_up_exps.weight
4,15,4030464,16121856,0x0,127,blk.9.ffn_gate_exps.weight
5,15,4030464,20152320,0x0,239,blk.70.ffn_up_exps.weight
6,15,4030464,24182784,0x0,237,blk.8.ffn_up_exps.weight
7,15,4030464,28213248,0x0,237,blk.8.ffn_gate_exps.weight
8,15,4030464,32243712,0x0,55,blk.8.ffn_up_exps.weight
9,15,4030464,36274176,0x0,55,blk.8.ffn_gate_exps.weight
10,15,4030464,40304640,0x0,73,blk.9.ffn_up_exps.weight
11,15,4030464,44335104,0x0,73,blk.9.ffn_gate_exps.weight
12,15,4030464,48365568,0x0,252,blk.72.ffn_up_exps.weight
13,15,4030464,52396032,0x0,252,blk.72.ffn_gate_exps.weight
14,15,4030464,56426496,0x0,239,blk.77.ffn_up_exps.weight
15,15,4030464,60456960,0x0,239,blk.77.ffn_gate_exps.weight
16,15,4030464,64487424,0x0,200,blk.73.ffn_up_exps.weight
17,15,4030464,68517888,0x0,200,blk.73.ffn_gate_exps.weight
18,14,4030464,72548352,0x0,77,blk.14.ffn_up_exps.weight
19,14,4030464,76578816,0x0,77,blk.14.ffn_gate_exps.weight
20,14,4030464,80609280,0x0,84,blk.17.ffn_up_exps.weight
21,14,4030464,84639744,0x0,84,blk.17.ffn_gate_exps.weight
22,14,4030464,88670208,0x0,20,blk.33.ffn_up_exps.weight
23,14,4030464,92700672,0x0,20,blk.33.ffn_gate_exps.weight
24,14,4030464,96731136,0x0,11,blk.40.ffn_up_exps.weight
25,14,4030464,100761600,0x0,11,blk.40.ffn_gate_exps.weight
26,14,4030464,104792064,0x0,69,blk.48.ffn_up_exps.weight
27,14,4030464,108822528,0x0,92,blk.48.ffn_up_exps.weight
28,14,4030464,112852992,0x0,69,blk.48.ffn_gate_exps.weight
29,14,4030464,116883456,0x0,92,blk.48.ffn_gate_exps.weight
30,14,4030464,120913920,0x0,142,blk.52.ffn_up_exps.weight
31,14,4030464,124944384,0x0,142,blk.52.ffn_gate_exps.weight
32,14,4030464,128974848,0x0,69,blk.54.ffn_up_exps.weight
33,14,4030464,133005312,0x0,69,blk.54.ffn_gate_exps.weight
34,14,4030464,137035776,0x0,26,blk.55.ffn_up_exps.weight
35,14,4030464,141066240,0x0,26,blk.55.ffn_gate_exps.weight
36,14,4030464,145096704,0x0,224,blk.56.ffn_up_exps.weight
37,14,4030464,149127168,0x0,224,blk.56.ffn_gate_exps.weight
38,14,4030464,153157632,0x0,155,blk.61.ffn_up_exps.weight
39,14,4030464,157188096,0x0,155,blk.61.ffn_gate_exps.weight
40,14,4030464,161218560,0x0,207,blk.63.ffn_up_exps.weight
41,14,4030464,165249024,0x0,207,blk.63.ffn_gate_exps.weight
42,14,4030464,169279488,0x0,138,blk.69.ffn_up_exps.weight
43,14,4030464,173309952,0x0,138,blk.69.ffn_gate_exps.weight
44,14,4030464,177340416,0x0,77,blk.10.ffn_up_exps.weight
45,14,4030464,181370880,0x0,77,blk.10.ffn_gate_exps.weight
46,14,4030464,185401344,0x0,140,blk.11.ffn_up_exps.weight
47,14,4030464,189431808,0x0,140,blk.11.ffn_gate_exps.weight
48,14,4030464,193462272,0x0,242,blk.24.ffn_up_exps.weight
49,14,4030464,197492736,0x0,242,blk.24.ffn_gate_exps.weight
50,14,4030464,201523200,0x0,186,blk.25.ffn_up_exps.weight
51,14,4030464,205553664,0x0,186,blk.25.ffn_gate_exps.weight
52,14,4030464,209584128,0x0,32,blk.26.ffn_up_exps.weight
53,14,4030464,213614592,0x0,32,blk.26.ffn_gate_exps.weight
54,14,4030464,217645056,0x0,137,blk.32.ffn_up_exps.weight
55,14,4030464,221675520,0x0,137,blk.32.ffn_gate_exps.weight
56,14,4030464,225705984,0x0,197,blk.38.ffn_up_exps.weight
57,14,4030464,229736448,0x0,197,blk.38.ffn_gate_exps.weight
58,14,4030464,233766912,0x0,123,blk.44.ffn_up_exps.weight
59,14,4030464,237797376,0x0,123,blk.44.ffn_gate_exps.weight
60,14,4030464,241827840,0x0,16,blk.50.ffn_up_exps.weight
61,14,4030464,245858304,0x0,16,blk.50.ffn_gate_exps.weight
62,14,4030464,249888768,0x0,143,blk.62.ffn_up_exps.weight
63,14,4030464,253919232,0x0,143,blk.62.ffn_gate_exps.weight
64,14,4030464,257949696,0x0,142,blk.70.ffn_up_exps.weight
65,14,4030464,261980160,0x0,142,blk.70.ffn_gate_exps.weight
66,14,4030464,266010624,0x0,150,blk.15.ffn_up_exps.weight
67,14,4030464,270041088,0x0,150,blk.15.ffn_gate_exps.weight
68,14,4030464,274071552,0x0,20,blk.19.ffn_up_exps.weight
69,14,4030464,278102016,0x0,20,blk.19.ffn_gate_exps.weight
70,14,4030464,282132480,0x0,220,blk.26.ffn_up_exps.weight
