rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,83,4816896,4816896,0x0,11,blk.3.ffn_down_exps.weight
2,83,4816896,9633792,0x0,15,blk.3.ffn_down_exps.weight
3,83,4816896,14450688,0x0,26,blk.3.ffn_down_exps.weight
4,83,4816896,19267584,0x0,41,blk.3.ffn_down_exps.weight
5,83,4816896,24084480,0x0,163,blk.3.ffn_down_exps.weight
6,83,4816896,28901376,0x0,166,blk.3.ffn_down_exps.weight
7,83,4816896,33718272,0x0,174,blk.3.ffn_down_exps.weight
8,83,4816896,38535168,0x0,233,blk.3.ffn_down_exps.weight
9,83,4030464,42565632,0x0,11,blk.3.ffn_gate_exps.weight
10,83,4030464,46596096,0x0,15,blk.3.ffn_gate_exps.weight
11,83,4030464,50626560,0x0,26,blk.3.ffn_gate_exps.weight
12,83,4030464,54657024,0x0,41,blk.3.ffn_gate_exps.weight
13,83,4030464,58687488,0x0,163,blk.3.ffn_gate_exps.weight
14,83,4030464,62717952,0x0,166,blk.3.ffn_gate_exps.weight
15,83,4030464,66748416,0x0,174,blk.3.ffn_gate_exps.weight
16,83,4030464,70778880,0x0,233,blk.3.ffn_gate_exps.weight
17,83,4030464,74809344,0x0,11,blk.3.ffn_up_exps.weight
18,83,4030464,78839808,0x0,15,blk.3.ffn_up_exps.weight
19,83,4030464,82870272,0x0,26,blk.3.ffn_up_exps.weight
20,83,4030464,86900736,0x0,41,blk.3.ffn_up_exps.weight
21,83,4030464,90931200,0x0,163,blk.3.ffn_up_exps.weight
22,83,4030464,94961664,0x0,166,blk.3.ffn_up_exps.weight
23,83,4030464,98992128,0x0,174,blk.3.ffn_up_exps.weight
24,83,4030464,103022592,0x0,233,blk.3.ffn_up_exps.weight
25,83,4816896,107839488,0x0,0,blk.4.ffn_down_exps.weight
26,83,4816896,112656384,0x0,1,blk.4.ffn_down_exps.weight
27,83,4816896,117473280,0x0,2,blk.4.ffn_down_exps.weight
28,83,4816896,122290176,0x0,3,blk.4.ffn_down_exps.weight
29,83,4816896,127107072,0x0,4,blk.4.ffn_down_exps.weight
30,83,4816896,131923968,0x0,5,blk.4.ffn_down_exps.weight
31,83,4816896,136740864,0x0,6,blk.4.ffn_down_exps.weight
32,83,4816896,141557760,0x0,7,blk.4.ffn_down_exps.weight
33,83,4030464,145588224,0x0,0,blk.4.ffn_gate_exps.weight
34,83,4030464,149618688,0x0,1,blk.4.ffn_gate_exps.weight
35,83,4030464,153649152,0x0,2,blk.4.ffn_gate_exps.weight
36,83,4030464,157679616,0x0,3,blk.4.ffn_gate_exps.weight
37,83,4030464,161710080,0x0,4,blk.4.ffn_gate_exps.weight
38,83,4030464,165740544,0x0,5,blk.4.ffn_gate_exps.weight
39,83,4030464,169771008,0x0,6,blk.4.ffn_gate_exps.weight
40,83,4030464,173801472,0x0,7,blk.4.ffn_gate_exps.weight
41,83,4030464,177831936,0x0,0,blk.4.ffn_up_exps.weight
42,83,4030464,181862400,0x0,1,blk.4.ffn_up_exps.weight
43,83,4030464,185892864,0x0,2,blk.4.ffn_up_exps.weight
44,83,4030464,189923328,0x0,3,blk.4.ffn_up_exps.weight
45,83,4030464,193953792,0x0,4,blk.4.ffn_up_exps.weight
46,83,4030464,197984256,0x0,5,blk.4.ffn_up_exps.weight
47,83,4030464,202014720,0x0,6,blk.4.ffn_up_exps.weight
48,83,4030464,206045184,0x0,7,blk.4.ffn_up_exps.weight
49,82,4816896,210862080,0x0,201,blk.77.ffn_down_exps.weight
50,82,4030464,214892544,0x0,201,blk.77.ffn_gate_exps.weight
51,82,4030464,218923008,0x0,201,blk.77.ffn_up_exps.weight
52,81,4816896,223739904,0x0,53,blk.72.ffn_down_exps.weight
53,81,4030464,227770368,0x0,53,blk.72.ffn_gate_exps.weight
54,81,4030464,231800832,0x0,53,blk.72.ffn_up_exps.weight
55,78,4816896,236617728,0x0,59,blk.68.ffn_down_exps.weight
56,78,4030464,240648192,0x0,59,blk.68.ffn_gate_exps.weight
57,78,4030464,244678656,0x0,59,blk.68.ffn_up_exps.weight
58,73,4816896,249495552,0x0,129,blk.17.ffn_down_exps.weight
59,73,4030464,253526016,0x0,129,blk.17.ffn_gate_exps.weight
60,73,4030464,257556480,0x0,129,blk.17.ffn_up_exps.weight
61,73,4816896,262373376,0x0,120,blk.43.ffn_down_exps.weight
62,73,4030464,266403840,0x0,120,blk.43.ffn_gate_exps.weight
63,73,4030464,270434304,0x0,120,blk.43.ffn_up_exps.weight
64,72,4816896,275251200,0x0,146,blk.41.ffn_down_exps.weight
65,72,4030464,279281664,0x0,146,blk.41.ffn_gate_exps.weight
66,72,4030464,283312128,0x0,146,blk.41.ffn_up_exps.weight
67,71,4816896,288129024,0x0,228,blk.43.ffn_down_exps.weight
68,71,4030464,292159488,0x0,228,blk.43.ffn_gate_exps.weight
69,71,4030464,296189952,0x0,228,blk.43.ffn_up_exps.weight
70,71,4816896,301006848,0x0,75,blk.73.ffn_down_exps.weight
71,71,4030464,305037312,0x0,75,blk.73.ffn_gate_exps.weight
72,71,4030464,309067776,0x0,75,blk.73.ffn_up_exps.weight
73,69,4816896,313884672,0x0,56,blk.23.ffn_down_exps.weight
74,69,4030464,317915136,0x0,56,blk.23.ffn_gate_exps.weight
75,69,4030464,321945600,0x0,56,blk.23.ffn_up_exps.weight
76,68,4816896,326762496,0x0,62,blk.19.ffn_down_exps.weight
77,68,4030464,330792960,0x0,62,blk.19.ffn_gate_exps.weight
78,68,4030464,334823424,0x0,62,blk.19.ffn_up_exps.weight
79,67,4816896,339640320,0x0,16,blk.19.ffn_down_exps.weight
80,67,4816896,344457216,0x0,24,blk.19.ffn_down_exps.weight
81,67,4030464,348487680,0x0,16,blk.19.ffn_gate_exps.weight
82,67,4030464,352518144,0x0,24,blk.19.ffn_gate_exps.weight
83,67,4030464,356548608,0x0,16,blk.19.ffn_up_exps.weight
84,67,4030464,360579072,0x0,24,blk.19.ffn_up_exps.weight
85,66,4816896,365395968,0x0,19,blk.52.ffn_down_exps.weight
86,66,4030464,369426432,0x0,19,blk.52.ffn_gate_exps.weight
87,66,4030464,373456896,0x0,19,blk.52.ffn_up_exps.weight
88,66,4816896,378273792,0x0,9,blk.74.ffn_down_exps.weight
89,66,4030464,382304256,0x0,9,blk.74.ffn_gate_exps.weight
90,66,4030464,386334720,0x0,9,blk.74.ffn_up_exps.weight
91,64,4816896,391151616,0x0,145,blk.12.ffn_down_exps.weight
92,64,4030464,395182080,0x0,145,blk.12.ffn_gate_exps.weight
93,64,4030464,399212544,0x0,145,blk.12.ffn_up_exps.weight
94,64,4816896,404029440,0x0,211,blk.21.ffn_down_exps.weight
95,64,4030464,408059904,0x0,211,blk.21.ffn_gate_exps.weight
96,64,4030464,412090368,0x0,211,blk.21.ffn_up_exps.weight
97,63,4816896,416907264,0x0,180,blk.43.ffn_down_exps.weight
98,63,4030464,420937728,0x0,180,blk.43.ffn_gate_exps.weight
99,63,4030464,424968192,0x0,180,blk.43.ffn_up_exps.weight
100,63,4816896,429785088,0x0,55,blk.50.ffn_down_exps.weight
101,63,4030464,433815552,0x0,55,blk.50.ffn_gate_exps.weight
102,63,4030464,437846016,0x0,55,blk.50.ffn_up_exps.weight
103,63,4816896,442662912,0x0,4,blk.75.ffn_down_exps.weight
104,63,4030464,446693376,0x0,4,blk.75.ffn_gate_exps.weight
105,63,4030464,450723840,0x0,4,blk.75.ffn_up_exps.weight
106,62,4816896,455540736,0x0,179,blk.11.ffn_down_exps.weight
107,62,4030464,459571200,0x0,179,blk.11.ffn_gate_exps.weight
108,62,4030464,463601664,0x0,179,blk.11.ffn_up_exps.weight
109,62,4816896,468418560,0x0,14,blk.8.ffn_down_exps.weight
110,62,4030464,472449024,0x0,14,blk.8.ffn_gate_exps.weight
111,62,4030464,476479488,0x0,14,blk.8.ffn_up_exps.weight
112,61,4816896,481296384,0x0,4,blk.24.ffn_down_exps.weight
113,61,4030464,485326848,0x0,4,blk.24.ffn_gate_exps.weight
114,61,4030464,489357312,0x0,4,blk.24.ffn_up_exps.weight
115,61,4816896,494174208,0x0,5,blk.42.ffn_down_exps.weight
116,61,4030464,498204672,0x0,5,blk.42.ffn_gate_exps.weight
117,61,4030464,502235136,0x0,5,blk.42.ffn_up_exps.weight
118,61,4816896,507052032,0x0,12,blk.9.ffn_down_exps.weight
119,61,4030464,511082496,0x0,12,blk.9.ffn_gate_exps.weight
120,61,4030464,515112960,0x0,12,blk.9.ffn_up_exps.weight
121,60,4816896,519929856,0x0,253,blk.22.ffn_down_exps.weight
122,60,4030464,523960320,0x0,253,blk.22.ffn_gate_exps.weight
123,60,4030464,527990784,0x0,253,blk.22.ffn_up_exps.weight
124,60,4816896,532807680,0x0,26,blk.71.ffn_down_exps.weight
125,60,4030464,536838144,0x0,26,blk.71.ffn_gate_exps.weight
126,60,4030464,540868608,0x0,26,blk.71.ffn_up_exps.weight
127,59,4816896,545685504,0x0,217,blk.18.ffn_down_exps.weight
128,59,4030464,549715968,0x0,217,blk.18.ffn_gate_exps.weight
129,59,4030464,553746432,0x0,217,blk.18.ffn_up_exps.weight
130,59,4816896,558563328,0x0,73,blk.38.ffn_down_exps.weight
131,59,4030464,562593792,0x0,73,blk.38.ffn_gate_exps.weight
132,59,4030464,566624256,0x0,73,blk.38.ffn_up_exps.weight
133,59,4816896,571441152,0x0,237,blk.57.ffn_down_exps.weight
134,59,4030464,575471616,0x0,237,blk.57.ffn_gate_exps.weight
135,59,4030464,579502080,0x0,237,blk.57.ffn_up_exps.weight
136,59,4816896,584318976,0x0,37,blk.71.ffn_down_exps.weight
137,59,4030464,588349440,0x0,37,blk.71.ffn_gate_exps.weight
138,59,4030464,592379904,0x0,37,blk.71.ffn_up_exps.weight
139,58,4816896,597196800,0x0,92,blk.15.ffn_down_exps.weight
140,58,4030464,601227264,0x0,92,blk.15.ffn_gate_exps.weight
141,58,4030464,605257728,0x0,92,blk.15.ffn_up_exps.weight
142,58,4816896,610074624,0x0,41,blk.49.ffn_down_exps.weight
143,58,4030464,614105088,0x0,41,blk.49.ffn_gate_exps.weight
144,58,4030464,618135552,0x0,41,blk.49.ffn_up_exps.weight
145,57,4816896,622952448,0x0,60,blk.13.ffn_down_exps.weight
146,57,4030464,626982912,0x0,60,blk.13.ffn_gate_exps.weight
147,57,4030464,631013376,0x0,60,blk.13.ffn_up_exps.weight
148,57,4816896,635830272,0x0,15,blk.15.ffn_down_exps.weight
149,57,4030464,639860736,0x0,15,blk.15.ffn_gate_exps.weight
150,57,4030464,643891200,0x0,15,blk.15.ffn_up_exps.weight
151,57,4816896,648708096,0x0,114,blk.20.ffn_down_exps.weight
152,57,4030464,652738560,0x0,114,blk.20.ffn_gate_exps.weight
153,57,4030464,656769024,0x0,114,blk.20.ffn_up_exps.weight
154,57,4816896,661585920,0x0,105,blk.23.ffn_down_exps.weight
155,57,4030464,665616384,0x0,105,blk.23.ffn_gate_exps.weight
156,57,4030464,669646848,0x0,105,blk.23.ffn_up_exps.weight
157,57,4816896,674463744,0x0,35,blk.70.ffn_down_exps.weight
158,57,4030464,678494208,0x0,35,blk.70.ffn_gate_exps.weight
159,57,4030464,682524672,0x0,35,blk.70.ffn_up_exps.weight
160,56,4816896,687341568,0x0,121,blk.26.ffn_down_exps.weight
161,56,4030464,691372032,0x0,121,blk.26.ffn_gate_exps.weight
162,56,4030464,695402496,0x0,121,blk.26.ffn_up_exps.weight
163,56,4816896,700219392,0x0,136,blk.42.ffn_down_exps.weight
164,56,4030464,704249856,0x0,136,blk.42.ffn_gate_exps.weight
165,56,4030464,708280320,0x0,136,blk.42.ffn_up_exps.weight
166,56,4816896,713097216,0x0,92,blk.67.ffn_down_exps.weight
167,56,4030464,717127680,0x0,92,blk.67.ffn_gate_exps.weight
