seq,expert_bytes,tensor_base,expert_idx,tensor
2,4030464,0x0,55,blk.77.ffn_up_exps.weight
3,4030464,0x0,112,blk.77.ffn_up_exps.weight
4,4030464,0x0,137,blk.77.ffn_up_exps.weight
5,4030464,0x0,163,blk.77.ffn_up_exps.weight
6,4030464,0x0,190,blk.77.ffn_up_exps.weight
7,4030464,0x0,191,blk.77.ffn_up_exps.weight
10,4030464,0x0,55,blk.77.ffn_gate_exps.weight
11,4030464,0x0,112,blk.77.ffn_gate_exps.weight
12,4030464,0x0,137,blk.77.ffn_gate_exps.weight
13,4030464,0x0,163,blk.77.ffn_gate_exps.weight
14,4030464,0x0,190,blk.77.ffn_gate_exps.weight
15,4030464,0x0,191,blk.77.ffn_gate_exps.weight
17,4816896,0x0,24,blk.77.ffn_down_exps.weight
18,4816896,0x0,55,blk.77.ffn_down_exps.weight
19,4816896,0x0,112,blk.77.ffn_down_exps.weight
20,4816896,0x0,137,blk.77.ffn_down_exps.weight
21,4816896,0x0,163,blk.77.ffn_down_exps.weight
22,4816896,0x0,190,blk.77.ffn_down_exps.weight
23,4816896,0x0,191,blk.77.ffn_down_exps.weight
73,4030464,0x0,29,blk.5.ffn_up_exps.weight
75,4030464,0x0,98,blk.5.ffn_up_exps.weight
76,4030464,0x0,154,blk.5.ffn_up_exps.weight
77,4030464,0x0,157,blk.5.ffn_up_exps.weight
78,4030464,0x0,186,blk.5.ffn_up_exps.weight
79,4030464,0x0,231,blk.5.ffn_up_exps.weight
80,4030464,0x0,255,blk.5.ffn_up_exps.weight
81,4030464,0x0,29,blk.5.ffn_gate_exps.weight
83,4030464,0x0,98,blk.5.ffn_gate_exps.weight
84,4030464,0x0,154,blk.5.ffn_gate_exps.weight
85,4030464,0x0,157,blk.5.ffn_gate_exps.weight
86,4030464,0x0,186,blk.5.ffn_gate_exps.weight
87,4030464,0x0,231,blk.5.ffn_gate_exps.weight
88,4030464,0x0,255,blk.5.ffn_gate_exps.weight
89,4816896,0x0,29,blk.5.ffn_down_exps.weight
91,4816896,0x0,98,blk.5.ffn_down_exps.weight
92,4816896,0x0,154,blk.5.ffn_down_exps.weight
93,4816896,0x0,157,blk.5.ffn_down_exps.weight
94,4816896,0x0,186,blk.5.ffn_down_exps.weight
95,4816896,0x0,231,blk.5.ffn_down_exps.weight
96,4816896,0x0,255,blk.5.ffn_down_exps.weight
97,4030464,0x0,22,blk.6.ffn_up_exps.weight
98,4030464,0x0,36,blk.6.ffn_up_exps.weight
