rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,17,4030464,4030464,0x0,145,blk.15.ffn_up_exps.weight
2,17,4030464,8060928,0x0,145,blk.15.ffn_gate_exps.weight
3,17,4030464,12091392,0x0,198,blk.24.ffn_up_exps.weight
4,17,4030464,16121856,0x0,198,blk.24.ffn_gate_exps.weight
5,17,4030464,20152320,0x0,243,blk.29.ffn_up_exps.weight
6,17,4030464,24182784,0x0,243,blk.29.ffn_gate_exps.weight
7,17,4030464,28213248,0x0,248,blk.35.ffn_up_exps.weight
8,17,4030464,32243712,0x0,248,blk.35.ffn_gate_exps.weight
9,17,4030464,36274176,0x0,6,blk.38.ffn_up_exps.weight
10,17,4030464,40304640,0x0,6,blk.38.ffn_gate_exps.weight
11,17,4030464,44335104,0x0,35,blk.41.ffn_up_exps.weight
12,17,4030464,48365568,0x0,35,blk.41.ffn_gate_exps.weight
13,17,4030464,52396032,0x0,92,blk.48.ffn_up_exps.weight
14,17,4030464,56426496,0x0,92,blk.48.ffn_gate_exps.weight
15,17,4030464,60456960,0x0,168,blk.58.ffn_up_exps.weight
16,17,4030464,64487424,0x0,168,blk.58.ffn_gate_exps.weight
17,17,4030464,68517888,0x0,155,blk.61.ffn_up_exps.weight
18,17,4030464,72548352,0x0,155,blk.61.ffn_gate_exps.weight
19,17,4030464,76578816,0x0,32,blk.74.ffn_up_exps.weight
20,17,4030464,80609280,0x0,32,blk.74.ffn_gate_exps.weight
21,17,4030464,84639744,0x0,254,blk.6.ffn_up_exps.weight
22,17,4030464,88670208,0x0,254,blk.6.ffn_gate_exps.weight
23,17,4030464,92700672,0x0,4,blk.18.ffn_up_exps.weight
24,17,4030464,96731136,0x0,4,blk.18.ffn_gate_exps.weight
25,17,4030464,100761600,0x0,91,blk.46.ffn_up_exps.weight
26,17,4030464,104792064,0x0,91,blk.46.ffn_gate_exps.weight
27,17,4030464,108822528,0x0,31,blk.73.ffn_up_exps.weight
28,17,4030464,112852992,0x0,31,blk.73.ffn_gate_exps.weight
29,17,4030464,116883456,0x0,203,blk.14.ffn_up_exps.weight
30,17,4030464,120913920,0x0,203,blk.14.ffn_gate_exps.weight
31,17,4030464,124944384,0x0,168,blk.25.ffn_up_exps.weight
32,17,4030464,128974848,0x0,168,blk.25.ffn_gate_exps.weight
33,17,4030464,133005312,0x0,250,blk.63.ffn_up_exps.weight
34,17,4030464,137035776,0x0,250,blk.63.ffn_gate_exps.weight
35,17,4030464,141066240,0x0,168,blk.64.ffn_up_exps.weight
36,17,4030464,145096704,0x0,168,blk.64.ffn_gate_exps.weight
