seq,layer,row,rank,expert_idx,weight,sort_score,logit,bias,topk_tensor,weights_tensor
1,3,0,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
2,3,0,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
3,3,0,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
4,3,0,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
5,3,0,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
6,3,0,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
7,3,0,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
8,3,0,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
9,3,1,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
10,3,1,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
11,3,1,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
12,3,1,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
13,3,1,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
14,3,1,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
15,3,1,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
16,3,1,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
17,3,2,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
18,3,2,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
19,3,2,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
20,3,2,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
21,3,2,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
22,3,2,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
23,3,2,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
24,3,2,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
25,3,3,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
26,3,3,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
27,3,3,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
28,3,3,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
29,3,3,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
30,3,3,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
31,3,3,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
32,3,3,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
33,3,4,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
34,3,4,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
35,3,4,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
36,3,4,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
