# fastllm_disk_moe_route_profile_v1
# merge_runs=2405 routed_refs=17571
layer	expert	hits	bytes_per_hit	total_bytes
40	104	62	13369344	828899328
40	168	62	13369344	828899328
40	221	59	13369344	788791296
17	5	49	13369344	655097856
20	218	48	13369344	641728512
40	206	48	13369344	641728512
7	233	47	13369344	628359168
38	12	47	13369344	628359168
10	64	46	13369344	614989824
41	167	46	13369344	614989824
41	4	45	13369344	601620480
36	223	43	13369344	574881792
42	178	43	13369344	574881792
15	188	42	13369344	561512448
41	97	42	13369344	561512448
33	41	41	13369344	548143104
37	131	41	13369344	548143104
7	141	40	13369344	534773760
26	170	40	13369344	534773760
38	73	40	13369344	534773760
40	250	40	13369344	534773760
8	28	39	13369344	521404416
9	191	39	13369344	521404416
32	117	39	13369344	521404416
36	93	39	13369344	521404416
39	243	39	13369344	521404416
11	109	38	13369344	508035072
6	203	37	13369344	494665728
26	73	37	13369344	494665728
9	114	36	13369344	481296384
18	179	36	13369344	481296384
29	49	36	13369344	481296384
17	22	35	13369344	467927040
20	131	35	13369344	467927040
34	232	35	13369344	467927040
37	31	35	13369344	467927040
37	222	35	13369344	467927040
7	214	34	13369344	454557696
16	15	34	13369344	454557696
23	197	34	13369344	454557696
28	200	34	13369344	454557696
29	220	34	13369344	454557696
30	51	34	13369344	454557696
30	208	34	13369344	454557696
41	161	34	13369344	454557696
8	113	33	13369344	441188352
8	120	33	13369344	441188352
15	36	33	13369344	441188352
29	187	33	13369344	441188352
38	171	33	13369344	441188352
11	94	32	13369344	427819008
17	146	32	13369344	427819008
26	155	32	13369344	427819008
10	89	31	13369344	414449664
16	12	31	13369344	414449664
18	90	31	13369344	414449664
19	46	30	13369344	401080320
22	54	30	13369344	401080320
24	121	30	13369344	401080320
41	52	30	13369344	401080320
7	160	29	13369344	387710976
23	15	29	13369344	387710976
28	5	29	13369344	387710976
34	148	29	13369344	387710976
36	222	29	13369344	387710976
42	90	29	13369344	387710976
10	14	28	13369344	374341632
15	207	28	13369344	374341632
22	173	28	13369344	374341632
25	247	28	13369344	374341632
28	106	28	13369344	374341632
28	115	28	13369344	374341632
32	210	28	13369344	374341632
33	121	28	13369344	374341632
33	164	28	13369344	374341632
35	203	28	13369344	374341632
42	70	28	13369344	374341632
27	206	27	13369344	360972288
32	128	27	13369344	360972288
35	66	27	13369344	360972288
36	43	27	13369344	360972288
39	130	27	13369344	360972288
16	81	26	13369344	347602944
19	153	26	13369344	347602944
26	184	26	13369344	347602944
28	213	26	13369344	347602944
30	83	26	13369344	347602944
31	96	26	13369344	347602944
31	196	26	13369344	347602944
33	254	26	13369344	347602944
37	214	26	13369344	347602944
13	219	25	13369344	334233600
19	176	25	13369344	334233600
22	159	25	13369344	334233600
24	61	25	13369344	334233600
32	234	25	13369344	334233600
34	38	25	13369344	334233600
42	25	25	13369344	334233600
7	78	24	13369344	320864256
14	173	24	13369344	320864256
18	33	24	13369344	320864256
24	115	24	13369344	320864256
26	110	24	13369344	320864256
31	241	24	13369344	320864256
32	78	24	13369344	320864256
32	226	24	13369344	320864256
33	24	24	13369344	320864256
34	173	24	13369344	320864256
36	137	24	13369344	320864256
6	12	23	13369344	307494912
12	228	23	13369344	307494912
18	111	23	13369344	307494912
18	227	23	13369344	307494912
22	166	23	13369344	307494912
35	232	23	13369344	307494912
35	234	23	13369344	307494912
39	252	23	13369344	307494912
7	197	22	13369344	294125568
8	77	22	13369344	294125568
8	142	22	13369344	294125568
10	15	22	13369344	294125568
13	4	22	13369344	294125568
13	146	22	13369344	294125568
27	230	22	13369344	294125568
28	86	22	13369344	294125568
34	129	22	13369344	294125568
38	53	22	13369344	294125568
38	56	22	13369344	294125568
40	83	22	13369344	294125568
9	225	21	13369344	280756224
11	55	21	13369344	280756224
12	255	21	13369344	280756224
14	235	21	13369344	280756224
18	50	21	13369344	280756224
23	94	21	13369344	280756224
29	8	21	13369344	280756224
33	58	21	13369344	280756224
35	62	21	13369344	280756224
39	31	21	13369344	280756224
40	74	21	13369344	280756224
6	1	20	13369344	267386880
7	213	20	13369344	267386880
11	111	20	13369344	267386880
16	25	20	13369344	267386880
19	185	20	13369344	267386880
20	219	20	13369344	267386880
20	239	20	13369344	267386880
21	129	20	13369344	267386880
21	222	20	13369344	267386880
25	58	20	13369344	267386880
25	84	20	13369344	267386880
36	89	20	13369344	267386880
37	73	20	13369344	267386880
39	172	20	13369344	267386880
42	250	20	13369344	267386880
6	153	19	13369344	254017536
8	25	19	13369344	254017536
9	3	19	13369344	254017536
9	179	19	13369344	254017536
10	154	19	13369344	254017536
11	232	19	13369344	254017536
12	133	19	13369344	254017536
15	176	19	13369344	254017536
16	172	19	13369344	254017536
17	189	19	13369344	254017536
20	241	19	13369344	254017536
23	0	19	13369344	254017536
23	33	19	13369344	254017536
29	44	19	13369344	254017536
32	11	19	13369344	254017536
33	26	19	13369344	254017536
39	101	19	13369344	254017536
40	192	19	13369344	254017536
41	169	19	13369344	254017536
41	235	19	13369344	254017536
42	0	19	13369344	254017536
42	234	19	13369344	254017536
9	120	18	13369344	240648192
11	211	18	13369344	240648192
13	148	18	13369344	240648192
14	200	18	13369344	240648192
15	27	18	13369344	240648192
17	81	18	13369344	240648192
18	89	18	13369344	240648192
18	211	18	13369344	240648192
19	29	18	13369344	240648192
19	149	18	13369344	240648192
19	213	18	13369344	240648192
20	234	18	13369344	240648192
24	0	18	13369344	240648192
24	23	18	13369344	240648192
30	182	18	13369344	240648192
31	56	18	13369344	240648192
32	236	18	13369344	240648192
33	74	18	13369344	240648192
33	216	18	13369344	240648192
35	237	18	13369344	240648192
35	244	18	13369344	240648192
36	146	18	13369344	240648192
38	50	18	13369344	240648192
38	98	18	13369344	240648192
41	132	18	13369344	240648192
6	213	17	13369344	227278848
8	70	17	13369344	227278848
10	55	17	13369344	227278848
10	197	17	13369344	227278848
11	219	17	13369344	227278848
12	195	17	13369344	227278848
14	188	17	13369344	227278848
21	137	17	13369344	227278848
22	246	17	13369344	227278848
25	200	17	13369344	227278848
25	242	17	13369344	227278848
26	191	17	13369344	227278848
28	253	17	13369344	227278848
30	3	17	13369344	227278848
30	212	17	13369344	227278848
38	197	17	13369344	227278848
39	87	17	13369344	227278848
42	213	17	13369344	227278848
9	226	16	13369344	213909504
10	40	16	13369344	213909504
11	124	16	13369344	213909504
14	101	16	13369344	213909504
14	125	16	13369344	213909504
15	65	16	13369344	213909504
16	19	16	13369344	213909504
16	246	16	13369344	213909504
17	65	16	13369344	213909504
18	177	16	13369344	213909504
19	57	16	13369344	213909504
19	134	16	13369344	213909504
23	217	16	13369344	213909504
24	142	16	13369344	213909504
24	188	16	13369344	213909504
25	167	16	13369344	213909504
25	210	16	13369344	213909504
28	224	16	13369344	213909504
29	77	16	13369344	213909504
31	158	16	13369344	213909504
34	93	16	13369344	213909504
36	233	16	13369344	213909504
37	4	16	13369344	213909504
42	150	16	13369344	213909504
6	10	15	13369344	200540160
6	240	15	13369344	200540160
7	48	15	13369344	200540160
7	122	15	13369344	200540160
9	107	15	13369344	200540160
10	151	15	13369344	200540160
11	250	15	13369344	200540160
13	179	15	13369344	200540160
14	89	15	13369344	200540160
16	205	15	13369344	200540160
18	210	15	13369344	200540160
20	175	15	13369344	200540160
22	172	15	13369344	200540160
23	219	15	13369344	200540160
26	52	15	13369344	200540160
29	54	15	13369344	200540160
29	107	15	13369344	200540160
29	165	15	13369344	200540160
29	236	15	13369344	200540160
31	39	15	13369344	200540160
32	61	15	13369344	200540160
34	44	15	13369344	200540160
34	107	15	13369344	200540160
34	180	15	13369344	200540160
36	116	15	13369344	200540160
7	227	14	13369344	187170816
8	128	14	13369344	187170816
9	40	14	13369344	187170816
12	20	14	13369344	187170816
12	68	14	13369344	187170816
12	89	14	13369344	187170816
12	127	14	13369344	187170816
12	244	14	13369344	187170816
13	30	14	13369344	187170816
13	143	14	13369344	187170816
14	1	14	13369344	187170816
16	91	14	13369344	187170816
17	61	14	13369344	187170816
18	96	14	13369344	187170816
18	99	14	13369344	187170816
19	141	14	13369344	187170816
21	86	14	13369344	187170816
21	152	14	13369344	187170816
22	110	14	13369344	187170816
22	177	14	13369344	187170816
24	21	14	13369344	187170816
24	205	14	13369344	187170816
26	129	14	13369344	187170816
26	253	14	13369344	187170816
27	1	14	13369344	187170816
27	2	14	13369344	187170816
27	82	14	13369344	187170816
27	101	14	13369344	187170816
27	105	14	13369344	187170816
27	187	14	13369344	187170816
29	148	14	13369344	187170816
30	25	14	13369344	187170816
30	167	14	13369344	187170816
31	184	14	13369344	187170816
31	250	14	13369344	187170816
32	33	14	13369344	187170816
35	222	14	13369344	187170816
36	111	14	13369344	187170816
36	228	14	13369344	187170816
38	67	14	13369344	187170816
39	85	14	13369344	187170816
39	233	14	13369344	187170816
41	119	14	13369344	187170816
42	15	14	13369344	187170816
42	105	14	13369344	187170816
12	19	13	13369344	173801472
12	122	13	13369344	173801472
12	226	13	13369344	173801472
13	200	13	13369344	173801472
13	207	13	13369344	173801472
13	235	13	13369344	173801472
14	220	13	13369344	173801472
14	225	13	13369344	173801472
15	161	13	13369344	173801472
18	116	13	13369344	173801472
18	199	13	13369344	173801472
21	185	13	13369344	173801472
22	255	13	13369344	173801472
24	59	13	13369344	173801472
25	128	13	13369344	173801472
28	122	13	13369344	173801472
30	107	13	13369344	173801472
32	255	13	13369344	173801472
35	93	13	13369344	173801472
37	204	13	13369344	173801472
38	210	13	13369344	173801472
39	74	13	13369344	173801472
42	53	13	13369344	173801472
42	249	13	13369344	173801472
6	83	12	13369344	160432128
6	104	12	13369344	160432128
7	251	12	13369344	160432128
9	236	12	13369344	160432128
10	0	12	13369344	160432128
13	32	12	13369344	160432128
13	64	12	13369344	160432128
13	230	12	13369344	160432128
14	147	12	13369344	160432128
15	56	12	13369344	160432128
15	79	12	13369344	160432128
16	248	12	13369344	160432128
19	49	12	13369344	160432128
20	32	12	13369344	160432128
21	239	12	13369344	160432128
23	210	12	13369344	160432128
25	214	12	13369344	160432128
26	9	12	13369344	160432128
27	25	12	13369344	160432128
27	84	12	13369344	160432128
27	129	12	13369344	160432128
31	141	12	13369344	160432128
32	193	12	13369344	160432128
34	249	12	13369344	160432128
35	80	12	13369344	160432128
35	96	12	13369344	160432128
35	162	12	13369344	160432128
35	199	12	13369344	160432128
37	61	12	13369344	160432128
39	98	12	13369344	160432128
40	153	12	13369344	160432128
41	118	12	13369344	160432128
6	16	11	13369344	147062784
6	88	11	13369344	147062784
6	189	11	13369344	147062784
6	215	11	13369344	147062784
8	76	11	13369344	147062784
8	182	11	13369344	147062784
14	45	11	13369344	147062784
14	61	11	13369344	147062784
15	6	11	13369344	147062784
16	123	11	13369344	147062784
16	149	11	13369344	147062784
16	175	11	13369344	147062784
19	64	11	13369344	147062784
20	159	11	13369344	147062784
21	49	11	13369344	147062784
21	127	11	13369344	147062784
21	160	11	13369344	147062784
21	243	11	13369344	147062784
22	235	11	13369344	147062784
23	49	11	13369344	147062784
24	64	11	13369344	147062784
24	167	11	13369344	147062784
25	157	11	13369344	147062784
26	33	11	13369344	147062784
27	114	11	13369344	147062784
28	163	11	13369344	147062784
30	78	11	13369344	147062784
30	94	11	13369344	147062784
30	171	11	13369344	147062784
31	25	11	13369344	147062784
32	6	11	13369344	147062784
32	131	11	13369344	147062784
32	155	11	13369344	147062784
34	222	11	13369344	147062784
35	167	11	13369344	147062784
35	202	11	13369344	147062784
36	106	11	13369344	147062784
37	84	11	13369344	147062784
37	94	11	13369344	147062784
37	193	11	13369344	147062784
38	10	11	13369344	147062784
38	131	11	13369344	147062784
38	165	11	13369344	147062784
39	3	11	13369344	147062784
39	36	11	13369344	147062784
39	48	11	13369344	147062784
39	227	11	13369344	147062784
41	189	11	13369344	147062784
42	83	11	13369344	147062784
6	3	10	13369344	133693440
6	101	10	13369344	133693440
6	139	10	13369344	133693440
6	195	10	13369344	133693440
6	201	10	13369344	133693440
6	253	10	13369344	133693440
7	104	10	13369344	133693440
7	132	10	13369344	133693440
7	187	10	13369344	133693440
8	132	10	13369344	133693440
8	217	10	13369344	133693440
9	87	10	13369344	133693440
9	138	10	13369344	133693440
9	153	10	13369344	133693440
10	106	10	13369344	133693440
10	149	10	13369344	133693440
10	242	10	13369344	133693440
11	137	10	13369344	133693440
12	134	10	13369344	133693440
12	166	10	13369344	133693440
12	191	10	13369344	133693440
13	55	10	13369344	133693440
13	91	10	13369344	133693440
13	122	10	13369344	133693440
13	129	10	13369344	133693440
13	155	10	13369344	133693440
16	57	10	13369344	133693440
