rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,7,4816896,4816896,0x0,185,blk.12.ffn_down_exps.weight
2,7,4030464,8847360,0x0,185,blk.12.ffn_gate_exps.weight
3,7,4030464,12877824,0x0,185,blk.12.ffn_up_exps.weight
4,7,4816896,17694720,0x0,70,blk.15.ffn_down_exps.weight
5,7,4030464,21725184,0x0,70,blk.15.ffn_gate_exps.weight
6,7,4030464,25755648,0x0,70,blk.15.ffn_up_exps.weight
7,7,4816896,30572544,0x0,195,blk.20.ffn_down_exps.weight
8,7,4030464,34603008,0x0,195,blk.20.ffn_gate_exps.weight
9,7,4030464,38633472,0x0,195,blk.20.ffn_up_exps.weight
10,7,4816896,43450368,0x0,11,blk.3.ffn_down_exps.weight
11,7,4816896,48267264,0x0,15,blk.3.ffn_down_exps.weight
12,7,4816896,53084160,0x0,26,blk.3.ffn_down_exps.weight
13,7,4816896,57901056,0x0,41,blk.3.ffn_down_exps.weight
14,7,4816896,62717952,0x0,163,blk.3.ffn_down_exps.weight
15,7,4816896,67534848,0x0,166,blk.3.ffn_down_exps.weight
16,7,4816896,72351744,0x0,174,blk.3.ffn_down_exps.weight
17,7,4816896,77168640,0x0,233,blk.3.ffn_down_exps.weight
18,7,4030464,81199104,0x0,11,blk.3.ffn_gate_exps.weight
19,7,4030464,85229568,0x0,15,blk.3.ffn_gate_exps.weight
20,7,4030464,89260032,0x0,26,blk.3.ffn_gate_exps.weight
21,7,4030464,93290496,0x0,41,blk.3.ffn_gate_exps.weight
22,7,4030464,97320960,0x0,163,blk.3.ffn_gate_exps.weight
23,7,4030464,101351424,0x0,166,blk.3.ffn_gate_exps.weight
24,7,4030464,105381888,0x0,174,blk.3.ffn_gate_exps.weight
25,7,4030464,109412352,0x0,233,blk.3.ffn_gate_exps.weight
26,7,4030464,113442816,0x0,11,blk.3.ffn_up_exps.weight
27,7,4030464,117473280,0x0,15,blk.3.ffn_up_exps.weight
28,7,4030464,121503744,0x0,26,blk.3.ffn_up_exps.weight
29,7,4030464,125534208,0x0,41,blk.3.ffn_up_exps.weight
30,7,4030464,129564672,0x0,163,blk.3.ffn_up_exps.weight
31,7,4030464,133595136,0x0,166,blk.3.ffn_up_exps.weight
32,7,4030464,137625600,0x0,174,blk.3.ffn_up_exps.weight
33,7,4030464,141656064,0x0,233,blk.3.ffn_up_exps.weight
34,7,4816896,146472960,0x0,147,blk.35.ffn_down_exps.weight
35,7,4816896,151289856,0x0,227,blk.35.ffn_down_exps.weight
36,7,4030464,155320320,0x0,147,blk.35.ffn_gate_exps.weight
37,7,4030464,159350784,0x0,227,blk.35.ffn_gate_exps.weight
38,7,4030464,163381248,0x0,147,blk.35.ffn_up_exps.weight
39,7,4030464,167411712,0x0,227,blk.35.ffn_up_exps.weight
40,7,4816896,172228608,0x0,0,blk.4.ffn_down_exps.weight
41,7,4816896,177045504,0x0,1,blk.4.ffn_down_exps.weight
42,7,4816896,181862400,0x0,2,blk.4.ffn_down_exps.weight
43,7,4816896,186679296,0x0,3,blk.4.ffn_down_exps.weight
44,7,4816896,191496192,0x0,4,blk.4.ffn_down_exps.weight
45,7,4816896,196313088,0x0,5,blk.4.ffn_down_exps.weight
46,7,4816896,201129984,0x0,6,blk.4.ffn_down_exps.weight
47,7,4816896,205946880,0x0,7,blk.4.ffn_down_exps.weight
48,7,4030464,209977344,0x0,0,blk.4.ffn_gate_exps.weight
49,7,4030464,214007808,0x0,1,blk.4.ffn_gate_exps.weight
50,7,4030464,218038272,0x0,2,blk.4.ffn_gate_exps.weight
51,7,4030464,222068736,0x0,3,blk.4.ffn_gate_exps.weight
52,7,4030464,226099200,0x0,4,blk.4.ffn_gate_exps.weight
53,7,4030464,230129664,0x0,5,blk.4.ffn_gate_exps.weight
54,7,4030464,234160128,0x0,6,blk.4.ffn_gate_exps.weight
55,7,4030464,238190592,0x0,7,blk.4.ffn_gate_exps.weight
56,7,4030464,242221056,0x0,0,blk.4.ffn_up_exps.weight
57,7,4030464,246251520,0x0,1,blk.4.ffn_up_exps.weight
58,7,4030464,250281984,0x0,2,blk.4.ffn_up_exps.weight
59,7,4030464,254312448,0x0,3,blk.4.ffn_up_exps.weight
60,7,4030464,258342912,0x0,4,blk.4.ffn_up_exps.weight
61,7,4030464,262373376,0x0,5,blk.4.ffn_up_exps.weight
62,7,4030464,266403840,0x0,6,blk.4.ffn_up_exps.weight
63,7,4030464,270434304,0x0,7,blk.4.ffn_up_exps.weight
64,7,4816896,275251200,0x0,179,blk.42.ffn_down_exps.weight
65,7,4030464,279281664,0x0,179,blk.42.ffn_gate_exps.weight
66,7,4030464,283312128,0x0,179,blk.42.ffn_up_exps.weight
67,7,4816896,288129024,0x0,102,blk.43.ffn_down_exps.weight
68,7,4816896,292945920,0x0,180,blk.43.ffn_down_exps.weight
69,7,4030464,296976384,0x0,102,blk.43.ffn_gate_exps.weight
70,7,4030464,301006848,0x0,180,blk.43.ffn_gate_exps.weight
71,7,4030464,305037312,0x0,102,blk.43.ffn_up_exps.weight
72,7,4030464,309067776,0x0,180,blk.43.ffn_up_exps.weight
73,7,4816896,313884672,0x0,174,blk.45.ffn_down_exps.weight
74,7,4030464,317915136,0x0,174,blk.45.ffn_gate_exps.weight
75,7,4030464,321945600,0x0,174,blk.45.ffn_up_exps.weight
76,7,4816896,326762496,0x0,48,blk.48.ffn_down_exps.weight
77,7,4030464,330792960,0x0,48,blk.48.ffn_gate_exps.weight
78,7,4030464,334823424,0x0,48,blk.48.ffn_up_exps.weight
79,7,4816896,339640320,0x0,41,blk.49.ffn_down_exps.weight
80,7,4816896,344457216,0x0,133,blk.49.ffn_down_exps.weight
81,7,4030464,348487680,0x0,41,blk.49.ffn_gate_exps.weight
82,7,4030464,352518144,0x0,133,blk.49.ffn_gate_exps.weight
83,7,4030464,356548608,0x0,41,blk.49.ffn_up_exps.weight
