seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,20.020,preload_load,blk.3.ffn_down_exps.weight,60,4816896,0,1,0,20.019
2,21.010,preload_load,blk.3.ffn_down_exps.weight,133,4816896,0,1,0,0.972
3,22.174,preload_load,blk.3.ffn_down_exps.weight,2,4816896,0,1,0,1.162
4,22.919,preload_load,blk.3.ffn_down_exps.weight,179,4816896,0,1,0,0.743
5,23.731,preload_load,blk.3.ffn_down_exps.weight,200,4816896,0,1,0,0.810
6,24.567,preload_load,blk.3.ffn_down_exps.weight,210,4816896,0,1,0,0.834
7,25.536,preload_load,blk.3.ffn_down_exps.weight,52,4816896,0,1,0,0.968
8,26.205,preload_load,blk.3.ffn_down_exps.weight,73,4816896,0,1,0,0.668
9,27.196,preload_load,blk.3.ffn_gate_exps.weight,60,4030464,0,1,0,0.485
10,27.677,preload_load,blk.3.ffn_gate_exps.weight,133,4030464,0,1,0,0.479
11,28.163,preload_load,blk.3.ffn_gate_exps.weight,2,4030464,0,1,0,0.484
12,28.638,preload_load,blk.3.ffn_gate_exps.weight,179,4030464,0,1,0,0.474
13,29.116,preload_load,blk.3.ffn_gate_exps.weight,200,4030464,0,1,0,0.476
14,29.598,preload_load,blk.3.ffn_gate_exps.weight,210,4030464,0,1,0,0.481
15,30.061,preload_load,blk.3.ffn_gate_exps.weight,52,4030464,0,1,0,0.462
16,30.518,preload_load,blk.3.ffn_gate_exps.weight,73,4030464,0,1,0,0.455
17,31.328,preload_load,blk.3.ffn_up_exps.weight,60,4030464,0,1,0,0.616
18,31.795,preload_load,blk.3.ffn_up_exps.weight,133,4030464,0,1,0,0.464
19,32.256,preload_load,blk.3.ffn_up_exps.weight,2,4030464,0,1,0,0.460
20,32.719,preload_load,blk.3.ffn_up_exps.weight,179,4030464,0,1,0,0.462
21,33.178,preload_load,blk.3.ffn_up_exps.weight,200,4030464,0,1,0,0.458
22,33.642,preload_load,blk.3.ffn_up_exps.weight,210,4030464,0,1,0,0.463
23,34.104,preload_load,blk.3.ffn_up_exps.weight,52,4030464,0,1,0,0.461
24,34.569,preload_load,blk.3.ffn_up_exps.weight,73,4030464,0,1,0,0.463
25,34.893,mark_ready,,-1,0,0,0,0,0.000
26,35.947,mark_submit,,-1,0,0,0,0,0.000
27,264.071,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
28,264.073,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
29,264.074,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
30,264.074,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
31,264.075,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
32,264.075,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
33,264.076,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
34,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
35,264.079,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
36,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
37,264.079,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
38,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
39,264.079,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
40,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
41,264.079,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
42,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
43,264.079,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
44,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
45,264.079,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
46,264.079,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
47,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
48,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
49,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
50,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
51,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
52,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
53,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
54,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
55,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
56,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
57,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
58,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
59,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
60,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
61,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
62,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
63,264.080,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
64,264.080,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
65,264.081,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
66,264.085,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
67,264.085,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
68,264.085,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
69,264.085,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
70,264.085,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
71,264.085,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
72,264.085,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
73,264.085,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
74,264.086,cpu_gate_route,blk.3.ffn_gate_exps.weight,163,4030464,0,0,0,0.000
75,264.086,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
76,264.086,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
77,264.086,cpu_up_route,blk.3.ffn_up_exps.weight,26,4030464,0,0,0,0.000
78,264.087,cpu_gate_route,blk.3.ffn_gate_exps.weight,26,4030464,0,0,0,0.000
79,264.087,cpu_up_route,blk.3.ffn_up_exps.weight,166,4030464,0,0,0,0.000
80,264.087,cpu_gate_route,blk.3.ffn_gate_exps.weight,166,4030464,0,0,0,0.000
81,264.087,cpu_up_route,blk.3.ffn_up_exps.weight,233,4030464,0,0,0,0.000
82,264.087,cpu_gate_route,blk.3.ffn_gate_exps.weight,233,4030464,0,0,0,0.000
83,264.087,cpu_up_route,blk.3.ffn_up_exps.weight,15,4030464,0,0,0,0.000
84,264.087,cpu_gate_route,blk.3.ffn_gate_exps.weight,15,4030464,0,0,0,0.000
85,264.087,cpu_up_route,blk.3.ffn_up_exps.weight,174,4030464,0,0,0,0.000
86,264.087,cpu_gate_route,blk.3.ffn_gate_exps.weight,174,4030464,0,0,0,0.000
87,264.087,cpu_up_route,blk.3.ffn_up_exps.weight,11,4030464,0,0,0,0.000
88,264.087,cpu_gate_route,blk.3.ffn_gate_exps.weight,11,4030464,0,0,0,0.000
89,264.087,cpu_up_route,blk.3.ffn_up_exps.weight,163,4030464,0,0,0,0.000
