seq,t_ms,op,tensor,expert_idx,expert_bytes,cache_hit,pack_hit,ram_hit,copy_ms
1,19.988,preload_load,blk.3.ffn_down_exps.weight,60,4816896,0,1,0,19.988
2,20.963,preload_load,blk.3.ffn_down_exps.weight,133,4816896,0,1,0,0.963
3,21.922,preload_load,blk.3.ffn_down_exps.weight,2,4816896,0,1,0,0.957
4,22.695,preload_load,blk.3.ffn_down_exps.weight,179,4816896,0,1,0,0.771
5,23.481,preload_load,blk.3.ffn_down_exps.weight,200,4816896,0,1,0,0.784
6,24.203,preload_load,blk.3.ffn_down_exps.weight,210,4816896,0,1,0,0.721
7,25.092,preload_load,blk.3.ffn_down_exps.weight,52,4816896,0,1,0,0.887
8,25.748,preload_load,blk.3.ffn_down_exps.weight,73,4816896,0,1,0,0.656
9,26.825,preload_load,blk.3.ffn_gate_exps.weight,60,4030464,0,1,0,0.475
10,27.300,preload_load,blk.3.ffn_gate_exps.weight,133,4030464,0,1,0,0.473
11,27.778,preload_load,blk.3.ffn_gate_exps.weight,2,4030464,0,1,0,0.476
12,28.252,preload_load,blk.3.ffn_gate_exps.weight,179,4030464,0,1,0,0.472
13,28.722,preload_load,blk.3.ffn_gate_exps.weight,200,4030464,0,1,0,0.469
14,29.200,preload_load,blk.3.ffn_gate_exps.weight,210,4030464,0,1,0,0.477
15,29.677,preload_load,blk.3.ffn_gate_exps.weight,52,4030464,0,1,0,0.475
16,30.142,preload_load,blk.3.ffn_gate_exps.weight,73,4030464,0,1,0,0.464
17,30.844,preload_load,blk.3.ffn_up_exps.weight,60,4030464,0,1,0,0.484
18,31.307,preload_load,blk.3.ffn_up_exps.weight,133,4030464,0,1,0,0.462
19,31.769,preload_load,blk.3.ffn_up_exps.weight,2,4030464,0,1,0,0.460
20,32.239,preload_load,blk.3.ffn_up_exps.weight,179,4030464,0,1,0,0.469
21,32.705,preload_load,blk.3.ffn_up_exps.weight,200,4030464,0,1,0,0.464
22,33.176,preload_load,blk.3.ffn_up_exps.weight,210,4030464,0,1,0,0.469
23,33.641,preload_load,blk.3.ffn_up_exps.weight,52,4030464,0,1,0,0.465
24,34.100,preload_load,blk.3.ffn_up_exps.weight,73,4030464,0,1,0,0.457
25,34.435,mark_ready,,-1,0,0,0,0,0.000
26,35.182,mark_submit,,-1,0,0,0,0,0.000
27,264.773,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
28,264.777,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
29,264.778,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
30,264.778,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
31,264.779,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
32,264.779,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
33,264.779,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
34,264.791,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
35,264.791,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
36,264.792,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
37,264.792,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
38,264.792,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
39,264.793,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
40,264.793,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
41,264.793,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
42,264.794,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
43,264.794,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
44,264.795,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
45,264.795,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
46,264.795,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
47,264.796,cpu_up_route,blk.3.ffn_up_exps.weight,41,4030464,0,0,0,0.000
48,264.796,cpu_gate_route,blk.3.ffn_gate_exps.weight,41,4030464,0,0,0,0.000
