rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,1,7798784,7798784,0x0,0,blk.4.ffn_down_exps.weight
2,1,7798784,15597568,0x0,1,blk.4.ffn_down_exps.weight
3,1,7798784,23396352,0x0,2,blk.4.ffn_down_exps.weight
4,1,7798784,31195136,0x0,3,blk.4.ffn_down_exps.weight
5,1,7798784,38993920,0x0,4,blk.4.ffn_down_exps.weight
6,1,7798784,46792704,0x0,5,blk.4.ffn_down_exps.weight
7,1,7798784,54591488,0x0,6,blk.4.ffn_down_exps.weight
8,1,7798784,62390272,0x0,7,blk.4.ffn_down_exps.weight
9,1,7798784,70189056,0x0,8,blk.4.ffn_down_exps.weight
10,1,7798784,77987840,0x0,9,blk.4.ffn_down_exps.weight
11,1,7798784,85786624,0x0,10,blk.4.ffn_down_exps.weight
12,1,7798784,93585408,0x0,11,blk.4.ffn_down_exps.weight
13,1,7798784,101384192,0x0,12,blk.4.ffn_down_exps.weight
14,1,7798784,109182976,0x0,13,blk.4.ffn_down_exps.weight
15,1,7798784,116981760,0x0,14,blk.4.ffn_down_exps.weight
16,1,7798784,124780544,0x0,15,blk.4.ffn_down_exps.weight
17,1,7798784,132579328,0x0,16,blk.4.ffn_down_exps.weight
18,1,7798784,140378112,0x0,17,blk.4.ffn_down_exps.weight
19,1,7798784,148176896,0x0,18,blk.4.ffn_down_exps.weight
20,1,7798784,155975680,0x0,19,blk.4.ffn_down_exps.weight
21,1,7798784,163774464,0x0,20,blk.4.ffn_down_exps.weight
22,1,7798784,171573248,0x0,21,blk.4.ffn_down_exps.weight
23,1,7798784,179372032,0x0,22,blk.4.ffn_down_exps.weight
24,1,7798784,187170816,0x0,23,blk.4.ffn_down_exps.weight
25,1,7798784,194969600,0x0,24,blk.4.ffn_down_exps.weight
26,1,7798784,202768384,0x0,25,blk.4.ffn_down_exps.weight
27,1,7798784,210567168,0x0,26,blk.4.ffn_down_exps.weight
28,1,7798784,218365952,0x0,27,blk.4.ffn_down_exps.weight
29,1,7798784,226164736,0x0,28,blk.4.ffn_down_exps.weight
30,1,7798784,233963520,0x0,29,blk.4.ffn_down_exps.weight
31,1,7798784,241762304,0x0,30,blk.4.ffn_down_exps.weight
32,1,7798784,249561088,0x0,31,blk.4.ffn_down_exps.weight
33,1,7798784,257359872,0x0,32,blk.4.ffn_down_exps.weight
34,1,7798784,265158656,0x0,33,blk.4.ffn_down_exps.weight
35,1,7798784,272957440,0x0,34,blk.4.ffn_down_exps.weight
36,1,7798784,280756224,0x0,35,blk.4.ffn_down_exps.weight
37,1,7798784,288555008,0x0,36,blk.4.ffn_down_exps.weight
38,1,7798784,296353792,0x0,37,blk.4.ffn_down_exps.weight
39,1,7798784,304152576,0x0,38,blk.4.ffn_down_exps.weight
40,1,7798784,311951360,0x0,39,blk.4.ffn_down_exps.weight
41,1,7798784,319750144,0x0,40,blk.4.ffn_down_exps.weight
42,1,7798784,327548928,0x0,41,blk.4.ffn_down_exps.weight
43,1,7798784,335347712,0x0,42,blk.4.ffn_down_exps.weight
44,1,7798784,343146496,0x0,43,blk.4.ffn_down_exps.weight
45,1,7798784,350945280,0x0,44,blk.4.ffn_down_exps.weight
46,1,7798784,358744064,0x0,45,blk.4.ffn_down_exps.weight
47,1,7798784,366542848,0x0,46,blk.4.ffn_down_exps.weight
48,1,7798784,374341632,0x0,47,blk.4.ffn_down_exps.weight
49,1,7798784,382140416,0x0,48,blk.4.ffn_down_exps.weight
50,1,7798784,389939200,0x0,49,blk.4.ffn_down_exps.weight
51,1,7798784,397737984,0x0,50,blk.4.ffn_down_exps.weight
52,1,7798784,405536768,0x0,51,blk.4.ffn_down_exps.weight
53,1,7798784,413335552,0x0,52,blk.4.ffn_down_exps.weight
54,1,7798784,421134336,0x0,53,blk.4.ffn_down_exps.weight
