rank	tensor	role	calls	miss_entries	full_pack_gib	saved_if_full_gib	current_top2048_saved_gib	incremental_saved_gib	incremental_saved_per_pack_gib	packed_type	logical_mib	packed_mib
1	blk.10.ffn_down_exps.weight	down	31	188	1.025	0.944	0.422	0.522	0.509	19	7.88	2.73
2	blk.7.ffn_down_exps.weight	down	31	184	1.025	0.924	0.492	0.432	0.421	19	7.88	2.73
3	blk.6.ffn_down_exps.weight	down	31	183	1.025	0.919	0.537	0.382	0.372	19	7.88	2.73
4	blk.4.ffn_down_exps.weight	down	31	200	1.025	0.919	0.400	0.519	0.506	19	7.44	2.73
5	blk.9.ffn_down_exps.weight	down	31	173	1.025	0.868	0.407	0.462	0.450	19	7.88	2.73
6	blk.18.ffn_down_exps.weight	down	31	173	1.025	0.868	0.502	0.366	0.357	19	7.88	2.73
7	blk.24.ffn_down_exps.weight	down	31	187	1.025	0.859	0.432	0.427	0.417	19	7.44	2.73
8	blk.8.ffn_down_exps.weight	down	31	168	1.025	0.843	0.407	0.437	0.426	19	7.88	2.73
9	blk.23.ffn_down_exps.weight	down	31	183	1.025	0.840	0.413	0.427	0.417	19	7.44	2.73
10	blk.16.ffn_down_exps.weight	down	31	180	1.025	0.827	0.404	0.423	0.412	19	7.44	2.73
11	blk.25.ffn_down_exps.weight	down	31	172	1.025	0.790	0.363	0.427	0.417	19	7.44	2.73
12	blk.20.ffn_down_exps.weight	down	31	171	1.025	0.785	0.450	0.335	0.327	19	7.44	2.73
13	blk.15.ffn_down_exps.weight	down	31	153	1.025	0.768	0.472	0.296	0.289	19	7.88	2.73
14	blk.26.ffn_down_exps.weight	down	31	167	1.025	0.767	0.358	0.409	0.399	19	7.44	2.73
15	blk.19.ffn_down_exps.weight	down	31	166	1.025	0.762	0.354	0.409	0.399	19	7.44	2.73
16	blk.21.ffn_down_exps.weight	down	31	163	1.025	0.749	0.427	0.322	0.314	19	7.44	2.73
17	blk.22.ffn_down_exps.weight	down	31	159	1.025	0.730	0.418	0.312	0.305	19	7.44	2.73
18	blk.5.ffn_down_exps.weight	down	31	212	1.025	0.679	0.211	0.468	0.456	19	6.02	2.73
19	blk.27.ffn_down_exps.weight	down	31	173	1.025	0.554	0.240	0.314	0.306	19	6.02	2.73
20	blk.12.ffn_down_exps.weight	down	31	171	1.025	0.548	0.103	0.445	0.434	19	6.02	2.73
