rank,pair_key,layer,expert,role,tensor,model_offset,nbytes,shape,n_expert,hot_ms,calls,fused_calls
1,blk.37.expert.162,37,162,up,blk.37.ffn_up_exps.weight,136714572032,4456448,4096x2048x256,256,11.393000,134,134
1,blk.37.expert.162,37,162,down,blk.37.ffn_down_exps.weight,134432870656,4456448,2048x4096x256,256,11.208000,134,134
2,blk.25.expert.135,25,135,up,blk.25.ffn_up_exps.weight,93605469440,4456448,4096x2048x256,256,11.358000,128,128
2,blk.25.expert.135,25,135,down,blk.25.ffn_down_exps.weight,91323768064,4456448,2048x4096x256,256,10.948000,128,128
3,blk.27.expert.24,27,24,up,blk.27.ffn_up_exps.weight,100275600128,4456448,4096x2048x256,256,10.997000,127,127
3,blk.27.expert.24,27,24,down,blk.27.ffn_down_exps.weight,97993898752,4456448,2048x4096x256,256,11.095000,127,127
4,blk.24.expert.184,24,184,up,blk.24.ffn_up_exps.weight,90252097280,4456448,4096x2048x256,256,11.094000,125,125
4,blk.24.expert.184,24,184,down,blk.24.ffn_down_exps.weight,87970395904,4456448,2048x4096x256,256,10.987000,125,125
5,blk.32.expert.124,32,124,up,blk.32.ffn_up_exps.weight,118643896064,4456448,4096x2048x256,256,11.072000,128,128
5,blk.32.expert.124,32,124,down,blk.32.ffn_down_exps.weight,116362194688,4456448,2048x4096x256,256,10.843000,128,128
6,blk.24.expert.12,24,12,up,blk.24.ffn_up_exps.weight,89485588224,4456448,4096x2048x256,256,10.960000,124,124
6,blk.24.expert.12,24,12,down,blk.24.ffn_down_exps.weight,87203886848,4456448,2048x4096x256,256,10.810000,124,124
7,blk.29.expert.56,29,56,up,blk.29.ffn_up_exps.weight,107583002880,4456448,4096x2048x256,256,10.798000,125,125
7,blk.29.expert.56,29,56,down,blk.29.ffn_down_exps.weight,105301301504,4456448,2048x4096x256,256,10.704000,125,125
8,blk.27.expert.152,27,152,up,blk.27.ffn_up_exps.weight,100846025472,4456448,4096x2048x256,256,10.048000,116,116
8,blk.27.expert.152,27,152,down,blk.27.ffn_down_exps.weight,98564324096,4456448,2048x4096x256,256,10.094000,116,116
9,blk.33.expert.120,33,120,up,blk.33.ffn_up_exps.weight,122197808384,4456448,4096x2048x256,256,9.870000,115,115
9,blk.33.expert.120,33,120,down,blk.33.ffn_down_exps.weight,119916107008,4456448,2048x4096x256,256,10.110000,115,115
10,blk.23.expert.72,23,72,up,blk.23.ffn_up_exps.weight,86159916800,4456448,4096x2048x256,256,9.837000,113,113
10,blk.23.expert.72,23,72,down,blk.23.ffn_down_exps.weight,83878215424,4456448,2048x4096x256,256,10.077000,113,113
11,blk.34.expert.246,34,246,up,blk.34.ffn_up_exps.weight,126352379136,4456448,4096x2048x256,256,9.877000,118,118
11,blk.34.expert.246,34,246,down,blk.34.ffn_down_exps.weight,124070677760,4456448,2048x4096x256,256,9.537000,118,118
12,blk.30.expert.253,30,253,up,blk.30.ffn_up_exps.weight,112053981440,4456448,4096x2048x256,256,9.441000,117,117
12,blk.30.expert.253,30,253,down,blk.30.ffn_down_exps.weight,109772280064,4456448,2048x4096x256,256,9.701000,117,117
13,blk.26.expert.44,26,44,up,blk.26.ffn_up_exps.weight,96792990976,4456448,4096x2048x256,256,9.266000,108,108
13,blk.26.expert.44,26,44,down,blk.26.ffn_down_exps.weight,94511289600,4456448,2048x4096x256,256,9.372000,108,108
14,blk.36.expert.251,36,251,up,blk.36.ffn_up_exps.weight,133539457792,4456448,4096x2048x256,256,9.154000,106,106
14,blk.36.expert.251,36,251,down,blk.36.ffn_down_exps.weight,131257756416,4456448,2048x4096x256,256,9.401000,106,106
15,blk.23.expert.77,23,77,up,blk.23.ffn_up_exps.weight,86182199040,4456448,4096x2048x256,256,9.061000,106,106
15,blk.23.expert.77,23,77,down,blk.23.ffn_down_exps.weight,83900497664,4456448,2048x4096x256,256,9.257000,106,106
