rank	layer	expert	hot_ms	up_hot_ms	down_hot_ms	up_calls	down_calls	fused_calls	up_tensor	down_tensor	up_nbytes	down_nbytes
1	37	162	22.601000	11.393000	11.208000	134	134	134	blk.37.ffn_up_exps.weight	blk.37.ffn_down_exps.weight	4456448	4456448
2	25	135	22.306000	11.358000	10.948000	128	128	128	blk.25.ffn_up_exps.weight	blk.25.ffn_down_exps.weight	4456448	4456448
3	27	24	22.092000	10.997000	11.095000	127	127	127	blk.27.ffn_up_exps.weight	blk.27.ffn_down_exps.weight	4456448	4456448
4	24	184	22.081000	11.094000	10.987000	125	125	125	blk.24.ffn_up_exps.weight	blk.24.ffn_down_exps.weight	4456448	4456448
5	32	124	21.915000	11.072000	10.843000	128	128	128	blk.32.ffn_up_exps.weight	blk.32.ffn_down_exps.weight	4456448	4456448
6	24	12	21.770000	10.960000	10.810000	124	124	124	blk.24.ffn_up_exps.weight	blk.24.ffn_down_exps.weight	4456448	4456448
7	29	56	21.502000	10.798000	10.704000	125	125	125	blk.29.ffn_up_exps.weight	blk.29.ffn_down_exps.weight	4456448	4456448
8	27	152	20.142000	10.048000	10.094000	116	116	116	blk.27.ffn_up_exps.weight	blk.27.ffn_down_exps.weight	4456448	4456448
9	33	120	19.980000	9.870000	10.110000	115	115	115	blk.33.ffn_up_exps.weight	blk.33.ffn_down_exps.weight	4456448	4456448
10	23	72	19.914000	9.837000	10.077000	113	113	113	blk.23.ffn_up_exps.weight	blk.23.ffn_down_exps.weight	4456448	4456448
11	34	246	19.414000	9.877000	9.537000	118	118	118	blk.34.ffn_up_exps.weight	blk.34.ffn_down_exps.weight	4456448	4456448
12	30	253	19.142000	9.441000	9.701000	117	117	117	blk.30.ffn_up_exps.weight	blk.30.ffn_down_exps.weight	4456448	4456448
13	26	44	18.638000	9.266000	9.372000	108	108	108	blk.26.ffn_up_exps.weight	blk.26.ffn_down_exps.weight	4456448	4456448
14	36	251	18.555000	9.154000	9.401000	106	106	106	blk.36.ffn_up_exps.weight	blk.36.ffn_down_exps.weight	4456448	4456448
15	23	77	18.318000	9.061000	9.257000	106	106	106	blk.23.ffn_up_exps.weight	blk.23.ffn_down_exps.weight	4456448	4456448
16	28	31	18.252000	8.989000	9.263000	104	104	104	blk.28.ffn_up_exps.weight	blk.28.ffn_down_exps.weight	4456448	4456448
17	22	66	17.435000	8.582000	8.853000	101	101	101	blk.22.ffn_up_exps.weight	blk.22.ffn_down_exps.weight	4456448	4456448
18	3	101	17.355000	8.778000	8.577000	101	101	101	blk.3.ffn_up_exps.weight	blk.3.ffn_down_exps.weight	4456448	4456448
19	13	17	17.298000	8.750000	8.548000	105	105	105	blk.13.ffn_up_exps.weight	blk.13.ffn_down_exps.weight	4456448	4456448
20	8	146	17.123000	8.588000	8.535000	100	100	100	blk.8.ffn_up_exps.weight	blk.8.ffn_down_exps.weight	4456448	4456448
21	26	114	16.546000	8.216000	8.330000	96	96	96	blk.26.ffn_up_exps.weight	blk.26.ffn_down_exps.weight	4456448	4456448
22	17	93	16.400000	8.084000	8.316000	99	99	99	blk.17.ffn_up_exps.weight	blk.17.ffn_down_exps.weight	4456448	4456448
23	17	3	15.773000	7.764000	8.009000	95	95	95	blk.17.ffn_up_exps.weight	blk.17.ffn_down_exps.weight	4456448	4456448
24	36	88	15.388000	7.615000	7.773000	89	89	89	blk.36.ffn_up_exps.weight	blk.36.ffn_down_exps.weight	4456448	4456448
