rank,pair_key,layer,expert,role,tensor,model_offset,nbytes,shape,n_expert,hot_ms,calls,fused_calls
1,blk.37.expert.162,37,162,up,blk.37.ffn_up_exps.weight,136714572032,4456448,4096x2048x256,256,10.541000,134,134
1,blk.37.expert.162,37,162,down,blk.37.ffn_down_exps.weight,134432870656,4456448,2048x4096x256,256,10.053000,134,134
2,blk.25.expert.135,25,135,up,blk.25.ffn_up_exps.weight,93605469440,4456448,4096x2048x256,256,10.513000,128,128
2,blk.25.expert.135,25,135,down,blk.25.ffn_down_exps.weight,91323768064,4456448,2048x4096x256,256,9.899000,128,128
3,blk.32.expert.124,32,124,up,blk.32.ffn_up_exps.weight,118643896064,4456448,4096x2048x256,256,10.105000,128,128
3,blk.32.expert.124,32,124,down,blk.32.ffn_down_exps.weight,116362194688,4456448,2048x4096x256,256,9.914000,128,128
4,blk.27.expert.24,27,24,up,blk.27.ffn_up_exps.weight,100275600128,4456448,4096x2048x256,256,9.833000,127,127
4,blk.27.expert.24,27,24,down,blk.27.ffn_down_exps.weight,97993898752,4456448,2048x4096x256,256,9.081000,127,127
5,blk.33.expert.120,33,120,up,blk.33.ffn_up_exps.weight,122197808384,4456448,4096x2048x256,256,9.868000,115,115
5,blk.33.expert.120,33,120,down,blk.33.ffn_down_exps.weight,119916107008,4456448,2048x4096x256,256,8.990000,115,115
6,blk.34.expert.246,34,246,up,blk.34.ffn_up_exps.weight,126352379136,4456448,4096x2048x256,256,9.443000,118,118
6,blk.34.expert.246,34,246,down,blk.34.ffn_down_exps.weight,124070677760,4456448,2048x4096x256,256,9.327000,118,118
7,blk.29.expert.56,29,56,up,blk.29.ffn_up_exps.weight,107583002880,4456448,4096x2048x256,256,9.478000,125,125
7,blk.29.expert.56,29,56,down,blk.29.ffn_down_exps.weight,105301301504,4456448,2048x4096x256,256,9.237000,125,125
8,blk.24.expert.184,24,184,up,blk.24.ffn_up_exps.weight,90252097280,4456448,4096x2048x256,256,9.301000,125,125
8,blk.24.expert.184,24,184,down,blk.24.ffn_down_exps.weight,87970395904,4456448,2048x4096x256,256,8.591000,125,125
9,blk.24.expert.12,24,12,up,blk.24.ffn_up_exps.weight,89485588224,4456448,4096x2048x256,256,9.187000,124,124
9,blk.24.expert.12,24,12,down,blk.24.ffn_down_exps.weight,87203886848,4456448,2048x4096x256,256,8.476000,124,124
10,blk.13.expert.17,13,17,up,blk.13.ffn_up_exps.weight,50090830080,4456448,4096x2048x256,256,8.680000,105,105
10,blk.13.expert.17,13,17,down,blk.13.ffn_down_exps.weight,47809128704,4456448,2048x4096x256,256,8.907000,105,105
11,blk.30.expert.253,30,253,up,blk.30.ffn_up_exps.weight,112053981440,4456448,4096x2048x256,256,8.947000,117,117
11,blk.30.expert.253,30,253,down,blk.30.ffn_down_exps.weight,109772280064,4456448,2048x4096x256,256,8.437000,117,117
12,blk.27.expert.152,27,152,up,blk.27.ffn_up_exps.weight,100846025472,4456448,4096x2048x256,256,9.034000,116,116
12,blk.27.expert.152,27,152,down,blk.27.ffn_down_exps.weight,98564324096,4456448,2048x4096x256,256,8.217000,116,116
13,blk.26.expert.44,26,44,up,blk.26.ffn_up_exps.weight,96792990976,4456448,4096x2048x256,256,8.964000,108,108
13,blk.26.expert.44,26,44,down,blk.26.ffn_down_exps.weight,94511289600,4456448,2048x4096x256,256,8.200000,108,108
14,blk.8.expert.146,8,146,up,blk.8.ffn_up_exps.weight,32764380928,4456448,4096x2048x256,256,8.696000,100,100
14,blk.8.expert.146,8,146,down,blk.8.ffn_down_exps.weight,30482679552,4456448,2048x4096x256,256,8.349000,100,100
15,blk.23.expert.72,23,72,up,blk.23.ffn_up_exps.weight,86159916800,4456448,4096x2048x256,256,8.809000,113,113
15,blk.23.expert.72,23,72,down,blk.23.ffn_down_exps.weight,83878215424,4456448,2048x4096x256,256,8.200000,113,113
16,blk.36.expert.251,36,251,up,blk.36.ffn_up_exps.weight,133539457792,4456448,4096x2048x256,256,8.704000,106,106
16,blk.36.expert.251,36,251,down,blk.36.ffn_down_exps.weight,131257756416,4456448,2048x4096x256,256,8.303000,106,106
17,blk.28.expert.31,28,31,up,blk.28.ffn_up_exps.weight,103899853568,4456448,4096x2048x256,256,8.603000,104,104
17,blk.28.expert.31,28,31,down,blk.28.ffn_down_exps.weight,101618152192,4456448,2048x4096x256,256,8.081000,104,104
18,blk.3.expert.101,3,101,up,blk.3.ffn_up_exps.weight,14641189632,4456448,4096x2048x256,256,8.405000,101,101
18,blk.3.expert.101,3,101,down,blk.3.ffn_down_exps.weight,12359488256,4456448,2048x4096x256,256,8.216000,101,101
19,blk.17.expert.93,17,93,up,blk.17.ffn_up_exps.weight,64759112960,4456448,4096x2048x256,256,8.266000,99,99
19,blk.17.expert.93,17,93,down,blk.17.ffn_down_exps.weight,62477411584,4456448,2048x4096x256,256,8.120000,99,99
20,blk.23.expert.77,23,77,up,blk.23.ffn_up_exps.weight,86182199040,4456448,4096x2048x256,256,8.388000,106,106
20,blk.23.expert.77,23,77,down,blk.23.ffn_down_exps.weight,83900497664,4456448,2048x4096x256,256,7.910000,106,106
21,blk.17.expert.3,17,3,up,blk.17.ffn_up_exps.weight,64358032640,4456448,4096x2048x256,256,8.161000,95,95
21,blk.17.expert.3,17,3,down,blk.17.ffn_down_exps.weight,62076331264,4456448,2048x4096x256,256,8.012000,95,95
22,blk.22.expert.66,22,66,up,blk.22.ffn_up_exps.weight,82561440000,4456448,4096x2048x256,256,8.021000,101,101
22,blk.22.expert.66,22,66,down,blk.22.ffn_down_exps.weight,80279738624,4456448,2048x4096x256,256,8.013000,101,101
23,blk.11.expert.9,11,9,up,blk.11.ffn_up_exps.weight,42890382080,4456448,4096x2048x256,256,8.186000,93,93
23,blk.11.expert.9,11,9,down,blk.11.ffn_down_exps.weight,40608680704,4456448,2048x4096x256,256,7.847000,93,93
24,blk.26.expert.114,26,114,up,blk.26.ffn_up_exps.weight,97104942336,4456448,4096x2048x256,256,8.160000,96,96
24,blk.26.expert.114,26,114,down,blk.26.ffn_down_exps.weight,94823240960,4456448,2048x4096x256,256,7.462000,96,96
25,blk.36.expert.88,36,88,up,blk.36.ffn_up_exps.weight,132813056768,4456448,4096x2048x256,256,7.259000,89,89
25,blk.36.expert.88,36,88,down,blk.36.ffn_down_exps.weight,130531355392,4456448,2048x4096x256,256,6.883000,89,89
26,blk.12.expert.141,12,141,up,blk.12.ffn_up_exps.weight,47071691520,4456448,4096x2048x256,256,7.166000,83,83
26,blk.12.expert.141,12,141,down,blk.12.ffn_down_exps.weight,44789990144,4456448,2048x4096x256,256,6.754000,83,83
27,blk.14.expert.1,14,1,up,blk.14.ffn_up_exps.weight,53612585216,4456448,4096x2048x256,256,6.959000,88,88
27,blk.14.expert.1,14,1,down,blk.14.ffn_down_exps.weight,51330883840,4456448,2048x4096x256,256,6.871000,88,88
28,blk.13.expert.121,13,121,up,blk.13.ffn_up_exps.weight,50554300672,4456448,4096x2048x256,256,6.801000,82,82
28,blk.13.expert.121,13,121,down,blk.13.ffn_down_exps.weight,48272599296,4456448,2048x4096x256,256,7.023000,82,82
29,blk.33.expert.215,33,215,up,blk.33.ffn_up_exps.weight,122621170944,4456448,4096x2048x256,256,6.995000,83,83
29,blk.33.expert.215,33,215,down,blk.33.ffn_down_exps.weight,120339469568,4456448,2048x4096x256,256,6.411000,83,83
30,blk.7.expert.243,7,243,up,blk.7.ffn_up_exps.weight,29603598080,4456448,4096x2048x256,256,6.679000,78,78
30,blk.7.expert.243,7,243,down,blk.7.ffn_down_exps.weight,27321896704,4456448,2048x4096x256,256,6.190000,78,78
31,blk.5.expert.86,5,86,up,blk.5.ffn_up_exps.weight,21739139328,4456448,4096x2048x256,256,6.536000,80,80
31,blk.5.expert.86,5,86,down,blk.5.ffn_down_exps.weight,19457437952,4456448,2048x4096x256,256,6.252000,80,80
32,blk.38.expert.155,38,155,up,blk.38.ffn_up_exps.weight,140276435200,4456448,4096x2048x256,256,6.483000,79,79
