rank	layer	expert	hot_ms	up_hot_ms	down_hot_ms	up_calls	down_calls	fused_calls	up_tensor	down_tensor	up_nbytes	down_nbytes
1	37	162	20.594000	10.541000	10.053000	134	134	134	blk.37.ffn_up_exps.weight	blk.37.ffn_down_exps.weight	4456448	4456448
2	25	135	20.412000	10.513000	9.899000	128	128	128	blk.25.ffn_up_exps.weight	blk.25.ffn_down_exps.weight	4456448	4456448
3	32	124	20.019000	10.105000	9.914000	128	128	128	blk.32.ffn_up_exps.weight	blk.32.ffn_down_exps.weight	4456448	4456448
4	27	24	18.914000	9.833000	9.081000	127	127	127	blk.27.ffn_up_exps.weight	blk.27.ffn_down_exps.weight	4456448	4456448
5	33	120	18.858000	9.868000	8.990000	115	115	115	blk.33.ffn_up_exps.weight	blk.33.ffn_down_exps.weight	4456448	4456448
6	34	246	18.770000	9.443000	9.327000	118	118	118	blk.34.ffn_up_exps.weight	blk.34.ffn_down_exps.weight	4456448	4456448
7	29	56	18.715000	9.478000	9.237000	125	125	125	blk.29.ffn_up_exps.weight	blk.29.ffn_down_exps.weight	4456448	4456448
8	24	184	17.892000	9.301000	8.591000	125	125	125	blk.24.ffn_up_exps.weight	blk.24.ffn_down_exps.weight	4456448	4456448
9	24	12	17.663000	9.187000	8.476000	124	124	124	blk.24.ffn_up_exps.weight	blk.24.ffn_down_exps.weight	4456448	4456448
10	13	17	17.587000	8.680000	8.907000	105	105	105	blk.13.ffn_up_exps.weight	blk.13.ffn_down_exps.weight	4456448	4456448
11	30	253	17.384000	8.947000	8.437000	117	117	117	blk.30.ffn_up_exps.weight	blk.30.ffn_down_exps.weight	4456448	4456448
12	27	152	17.251000	9.034000	8.217000	116	116	116	blk.27.ffn_up_exps.weight	blk.27.ffn_down_exps.weight	4456448	4456448
13	26	44	17.164000	8.964000	8.200000	108	108	108	blk.26.ffn_up_exps.weight	blk.26.ffn_down_exps.weight	4456448	4456448
14	8	146	17.045000	8.696000	8.349000	100	100	100	blk.8.ffn_up_exps.weight	blk.8.ffn_down_exps.weight	4456448	4456448
15	23	72	17.009000	8.809000	8.200000	113	113	113	blk.23.ffn_up_exps.weight	blk.23.ffn_down_exps.weight	4456448	4456448
16	36	251	17.007000	8.704000	8.303000	106	106	106	blk.36.ffn_up_exps.weight	blk.36.ffn_down_exps.weight	4456448	4456448
