tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.30.ffn_up_exps.weight,253,112053981440,4456448,4096x2048x256,256,69.453000,117
blk.32.ffn_up_exps.weight,124,118643896064,4456448,4096x2048x256,256,67.147000,128
blk.37.ffn_down_exps.weight,162,134432870656,4456448,2048x4096x256,256,63.470000,134
blk.3.ffn_down_exps.weight,101,12359488256,4456448,2048x4096x256,256,60.083000,101
blk.37.ffn_up_exps.weight,162,136714572032,4456448,4096x2048x256,256,59.746000,134
blk.29.ffn_up_exps.weight,56,107583002880,4456448,4096x2048x256,256,56.978000,125
blk.34.ffn_up_exps.weight,246,126352379136,4456448,4096x2048x256,256,56.013000,118
blk.27.ffn_down_exps.weight,152,98564324096,4456448,2048x4096x256,256,56.012000,116
blk.13.ffn_up_exps.weight,17,50090830080,4456448,4096x2048x256,256,51.644000,105
blk.25.ffn_down_exps.weight,135,91323768064,4456448,2048x4096x256,256,51.532000,128
blk.36.ffn_up_exps.weight,251,133539457792,4456448,4096x2048x256,256,50.749000,106
blk.30.ffn_down_exps.weight,253,109772280064,4456448,2048x4096x256,256,50.482000,117
blk.27.ffn_up_exps.weight,24,100275600128,4456448,4096x2048x256,256,50.071000,127
blk.29.ffn_down_exps.weight,56,105301301504,4456448,2048x4096x256,256,49.824000,125
blk.3.ffn_up_exps.weight,101,14641189632,4456448,4096x2048x256,256,48.803000,101
blk.27.ffn_down_exps.weight,24,97993898752,4456448,2048x4096x256,256,47.610000,127
blk.14.ffn_down_exps.weight,1,51330883840,4456448,2048x4096x256,256,45.585000,88
blk.34.ffn_down_exps.weight,246,124070677760,4456448,2048x4096x256,256,45.025000,118
blk.27.ffn_up_exps.weight,152,100846025472,4456448,4096x2048x256,256,44.967000,116
blk.36.ffn_up_exps.weight,88,132813056768,4456448,4096x2048x256,256,43.013000,89
blk.18.ffn_up_exps.weight,79,68289780992,4456448,4096x2048x256,256,42.261000,66
blk.25.ffn_up_exps.weight,135,93605469440,4456448,4096x2048x256,256,42.025000,128
blk.24.ffn_down_exps.weight,184,87970395904,4456448,2048x4096x256,256,41.209000,125
blk.36.ffn_down_exps.weight,251,131257756416,4456448,2048x4096x256,256,41.143000,106
blk.13.ffn_up_exps.weight,121,50554300672,4456448,4096x2048x256,256,41.080000,82
blk.28.ffn_up_exps.weight,31,103899853568,4456448,4096x2048x256,256,40.854000,104
blk.23.ffn_up_exps.weight,72,86159916800,4456448,4096x2048x256,256,40.561000,113
blk.5.ffn_up_exps.weight,86,21739139328,4456448,4096x2048x256,256,40.319000,80
blk.24.ffn_up_exps.weight,12,89485588224,4456448,4096x2048x256,256,39.757000,124
blk.32.ffn_down_exps.weight,124,116362194688,4456448,2048x4096x256,256,39.685000,128
blk.17.ffn_down_exps.weight,93,62477411584,4456448,2048x4096x256,256,39.380000,99
blk.23.ffn_up_exps.weight,77,86182199040,4456448,4096x2048x256,256,38.594000,106
blk.24.ffn_up_exps.weight,184,90252097280,4456448,4096x2048x256,256,38.476000,125
blk.12.ffn_up_exps.weight,141,47071691520,4456448,4096x2048x256,256,38.423000,83
blk.8.ffn_up_exps.weight,146,32764380928,4456448,4096x2048x256,256,38.423000,100
blk.23.ffn_down_exps.weight,77,83900497664,4456448,2048x4096x256,256,37.769000,106
blk.5.ffn_down_exps.weight,86,19457437952,4456448,2048x4096x256,256,37.492000,80
blk.18.ffn_down_exps.weight,166,66395790592,4456448,2048x4096x256,256,36.959000,74
blk.24.ffn_down_exps.weight,12,87203886848,4456448,2048x4096x256,256,36.957000,124
blk.18.ffn_up_exps.weight,166,68677491968,4456448,4096x2048x256,256,36.680000,74
blk.7.ffn_up_exps.weight,243,29603598080,4456448,4096x2048x256,256,36.610000,78
blk.26.ffn_up_exps.weight,44,96792990976,4456448,4096x2048x256,256,36.592000,108
blk.17.ffn_up_exps.weight,3,64358032640,4456448,4096x2048x256,256,36.188000,95
blk.23.ffn_down_exps.weight,72,83878215424,4456448,2048x4096x256,256,35.616000,113
blk.22.ffn_up_exps.weight,66,82561440000,4456448,4096x2048x256,256,34.999000,101
blk.17.ffn_up_exps.weight,93,64759112960,4456448,4096x2048x256,256,34.176000,99
