tensor	expert	fallback_ms	calls	expert_bytes
blk.30.ffn_down_exps.weight	253	64.144	117	4456448
blk.37.ffn_up_exps.weight	162	62.216	134	4456448
blk.3.ffn_up_exps.weight	101	54.618	101	4456448
blk.37.ffn_down_exps.weight	162	54.539	134	4456448
blk.3.ffn_down_exps.weight	101	52.837	101	4456448
blk.27.ffn_down_exps.weight	152	52.424	116	4456448
blk.27.ffn_down_exps.weight	24	52.378	127	4456448
blk.34.ffn_up_exps.weight	246	50.151	118	4456448
blk.34.ffn_down_exps.weight	246	47.529	118	4456448
blk.18.ffn_up_exps.weight	166	45.537	74	4456448
blk.13.ffn_up_exps.weight	17	45.277	105	4456448
blk.18.ffn_down_exps.weight	166	45.195	74	4456448
blk.8.ffn_up_exps.weight	146	45.161	100	4456448
blk.30.ffn_up_exps.weight	253	45.120	117	4456448
blk.25.ffn_up_exps.weight	135	45.047	128	4456448
blk.12.ffn_down_exps.weight	141	44.800	83	4456448
blk.29.ffn_down_exps.weight	56	44.714	125	4456448
blk.32.ffn_up_exps.weight	124	43.737	128	4456448
blk.27.ffn_up_exps.weight	24	43.350	127	4456448
blk.22.ffn_down_exps.weight	66	43.030	101	4456448
blk.36.ffn_down_exps.weight	251	42.415	106	4456448
blk.27.ffn_up_exps.weight	152	41.730	116	4456448
blk.29.ffn_up_exps.weight	56	41.452	125	4456448
blk.8.ffn_down_exps.weight	146	40.665	100	4456448
blk.25.ffn_down_exps.weight	135	40.467	128	4456448
blk.17.ffn_down_exps.weight	93	40.227	99	4456448
blk.36.ffn_up_exps.weight	251	39.443	106	4456448
blk.17.ffn_down_exps.weight	3	39.125	95	4456448
blk.28.ffn_up_exps.weight	31	38.823	104	4456448
blk.4.ffn_down_exps.weight	233	38.130	59	4456448
blk.23.ffn_down_exps.weight	77	37.632	106	4456448
blk.13.ffn_up_exps.weight	121	36.962	82	4456448
blk.7.ffn_up_exps.weight	243	36.424	78	4456448
blk.17.ffn_up_exps.weight	93	36.187	99	4456448
blk.18.ffn_up_exps.weight	79	35.921	66	4456448
blk.22.ffn_up_exps.weight	66	35.897	101	4456448
blk.12.ffn_up_exps.weight	141	35.770	83	4456448
blk.28.ffn_down_exps.weight	31	35.612	104	4456448
blk.32.ffn_down_exps.weight	124	35.559	128	4456448
blk.31.ffn_up_exps.weight	92	35.470	69	4456448
blk.5.ffn_down_exps.weight	86	34.708	80	4456448
blk.23.ffn_down_exps.weight	72	34.453	113	4456448
blk.23.ffn_up_exps.weight	72	34.275	113	4456448
blk.5.ffn_up_exps.weight	86	34.257	80	4456448
blk.23.ffn_up_exps.weight	77	34.121	106	4456448
blk.13.ffn_down_exps.weight	17	34.028	105	4456448
blk.26.ffn_down_exps.weight	44	33.903	108	4456448
blk.14.ffn_up_exps.weight	1	33.537	88	4456448
blk.24.ffn_up_exps.weight	184	33.374	125	4456448
blk.24.ffn_up_exps.weight	12	33.024	124	4456448
blk.24.ffn_down_exps.weight	12	31.746	124	4456448
blk.24.ffn_down_exps.weight	184	31.253	125	4456448
blk.8.ffn_up_exps.weight	223	30.898	53	4456448
blk.31.ffn_down_exps.weight	92	30.617	69	4456448
blk.7.ffn_down_exps.weight	243	30.228	78	4456448
blk.36.ffn_down_exps.weight	88	29.877	89	4456448
blk.4.ffn_up_exps.weight	233	29.462	59	4456448
