tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.37.ffn_down_exps.weight,162,134432870656,4456448,2048x4096x256,256,11.621000,134
blk.24.ffn_up_exps.weight,184,90252097280,4456448,4096x2048x256,256,11.541000,125
blk.27.ffn_up_exps.weight,24,100275600128,4456448,4096x2048x256,256,11.499000,127
blk.25.ffn_up_exps.weight,135,93605469440,4456448,4096x2048x256,256,11.486000,128
blk.32.ffn_down_exps.weight,124,116362194688,4456448,2048x4096x256,256,11.479000,128
blk.27.ffn_down_exps.weight,24,97993898752,4456448,2048x4096x256,256,11.399000,127
blk.25.ffn_down_exps.weight,135,91323768064,4456448,2048x4096x256,256,11.370000,128
blk.29.ffn_down_exps.weight,56,105301301504,4456448,2048x4096x256,256,11.365000,125
blk.37.ffn_up_exps.weight,162,136714572032,4456448,4096x2048x256,256,11.364000,134
blk.24.ffn_up_exps.weight,12,89485588224,4456448,4096x2048x256,256,11.311000,124
blk.29.ffn_up_exps.weight,56,107583002880,4456448,4096x2048x256,256,11.295000,125
blk.32.ffn_up_exps.weight,124,118643896064,4456448,4096x2048x256,256,11.184000,128
blk.24.ffn_down_exps.weight,184,87970395904,4456448,2048x4096x256,256,11.140000,125
blk.24.ffn_down_exps.weight,12,87203886848,4456448,2048x4096x256,256,10.922000,124
blk.34.ffn_up_exps.weight,246,126352379136,4456448,4096x2048x256,256,10.873000,118
blk.23.ffn_up_exps.weight,72,86159916800,4456448,4096x2048x256,256,10.560000,113
blk.34.ffn_down_exps.weight,246,124070677760,4456448,2048x4096x256,256,10.507000,118
blk.27.ffn_up_exps.weight,152,100846025472,4456448,4096x2048x256,256,10.480000,116
blk.30.ffn_up_exps.weight,253,112053981440,4456448,4096x2048x256,256,10.328000,117
blk.27.ffn_down_exps.weight,152,98564324096,4456448,2048x4096x256,256,10.275000,116
blk.23.ffn_down_exps.weight,72,83878215424,4456448,2048x4096x256,256,10.140000,113
blk.33.ffn_up_exps.weight,120,122197808384,4456448,4096x2048x256,256,10.067000,115
blk.23.ffn_up_exps.weight,77,86182199040,4456448,4096x2048x256,256,10.021000,106
blk.30.ffn_down_exps.weight,253,109772280064,4456448,2048x4096x256,256,10.016000,117
blk.26.ffn_up_exps.weight,44,96792990976,4456448,4096x2048x256,256,9.988000,108
blk.13.ffn_down_exps.weight,17,47809128704,4456448,2048x4096x256,256,9.722000,105
blk.36.ffn_up_exps.weight,251,133539457792,4456448,4096x2048x256,256,9.689000,106
blk.23.ffn_down_exps.weight,77,83900497664,4456448,2048x4096x256,256,9.607000,106
blk.13.ffn_up_exps.weight,17,50090830080,4456448,4096x2048x256,256,9.598000,105
