op,role,tensor,expert_bytes,calls,failures,bytes,wall_ms
current_down_overlap,down,blk.41.ffn_down_exps.weight,6307840,4,0,25231360,5.727
runtime_load,gate,blk.41.ffn_gate_exps.weight,5619712,4,0,22478848,5.424
runtime_load,up,blk.41.ffn_up_exps.weight,4702208,4,0,18808832,5.100
runtime_load,down,blk.23.ffn_down_exps.weight,7798784,4,0,31195136,10.445
runtime_load,up,blk.23.ffn_up_exps.weight,4702208,4,0,18808832,5.621
runtime_load,gate,blk.23.ffn_gate_exps.weight,4702208,4,0,18808832,5.474
runtime_load,down,blk.19.ffn_down_exps.weight,7798784,8,0,62390272,12.038
runtime_load,up,blk.19.ffn_up_exps.weight,4702208,8,0,37617664,9.572
runtime_load,up,blk.15.ffn_up_exps.weight,4702208,5,0,23511040,8.308
runtime_load,gate,blk.39.ffn_gate_exps.weight,5619712,4,0,22478848,8.085
runtime_load,up,blk.9.ffn_up_exps.weight,5619712,7,0,39337984,15.244
runtime_load,up,blk.51.ffn_up_exps.weight,4702208,14,0,65830912,22.298
runtime_load,down,blk.59.ffn_down_exps.weight,6307840,5,0,31539200,7.800
runtime_load,gate,blk.19.ffn_gate_exps.weight,4702208,8,0,37617664,9.879
runtime_load,gate,blk.11.ffn_gate_exps.weight,4702208,8,0,37617664,15.387
current_down_overlap,down,blk.48.ffn_down_exps.weight,6307840,7,0,44154880,12.927
runtime_load,gate,blk.59.ffn_gate_exps.weight,5619712,5,0,28098560,7.983
runtime_load,up,blk.16.ffn_up_exps.weight,4702208,7,0,32915456,15.589
runtime_load,up,blk.33.ffn_up_exps.weight,4702208,5,0,23511040,8.465
runtime_load,gate,blk.45.ffn_gate_exps.weight,5619712,7,0,39337984,14.536
runtime_load,gate,blk.15.ffn_gate_exps.weight,4702208,5,0,23511040,8.736
current_down_overlap,down,blk.39.ffn_down_exps.weight,6307840,4,0,25231360,6.972
current_down_overlap,down,blk.51.ffn_down_exps.weight,6307840,14,0,88309760,24.585
runtime_load,up,blk.14.ffn_up_exps.weight,4702208,6,0,28213248,7.483
runtime_load,up,blk.22.ffn_up_exps.weight,4702208,4,0,18808832,6.804
