op,role,tensor,expert_bytes,calls,failures,bytes,wall_ms
runtime_load,down,blk.33.ffn_down_exps.weight,6307840,1,0,6307840,1.994
current_down_overlap,down,blk.14.ffn_down_exps.weight,6307840,152,0,958791680,277.332
runtime_load,gate,blk.14.ffn_gate_exps.weight,5619712,151,0,848576512,295.560
runtime_load,gate,blk.13.ffn_gate_exps.weight,4702208,156,0,733544448,277.896
runtime_load,up,blk.13.ffn_up_exps.weight,4702208,155,0,728842240,276.132
runtime_load,down,blk.12.ffn_down_exps.weight,6307840,107,0,674938880,246.088
runtime_load,gate,blk.10.ffn_gate_exps.weight,4702208,104,0,489029632,182.597
runtime_load,up,blk.9.ffn_up_exps.weight,5619712,103,0,578830336,201.357
runtime_load,down,blk.59.ffn_down_exps.weight,6307840,168,0,1059717120,323.148
runtime_load,down,blk.58.ffn_down_exps.weight,7798784,189,0,1473970176,417.035
runtime_load,down,blk.57.ffn_down_exps.weight,7798784,180,0,1403781120,509.817
runtime_load,gate,blk.58.ffn_gate_exps.weight,5619712,189,0,1062125568,353.962
runtime_load,gate,blk.57.ffn_gate_exps.weight,5619712,180,0,1011548160,442.842
runtime_load,up,blk.56.ffn_up_exps.weight,5619712,184,0,1034027008,355.362
current_down_overlap,down,blk.55.ffn_down_exps.weight,6307840,177,0,1116487680,367.560
runtime_load,gate,blk.55.ffn_gate_exps.weight,5619712,177,0,994689024,380.862
current_down_overlap,down,blk.54.ffn_down_exps.weight,6307840,161,0,1015562240,322.483
runtime_load,up,blk.54.ffn_up_exps.weight,4702208,161,0,757055488,330.956
current_down_overlap,down,blk.53.ffn_down_exps.weight,6307840,179,0,1129103360,363.996
runtime_load,up,blk.53.ffn_up_exps.weight,4702208,179,0,841695232,355.057
runtime_load,gate,blk.53.ffn_gate_exps.weight,5619712,179,0,1005928448,378.778
runtime_load,up,blk.14.ffn_up_exps.weight,4702208,151,0,710033408,270.092
current_down_overlap,down,blk.52.ffn_down_exps.weight,6307840,181,0,1141719040,349.188
runtime_load,down,blk.56.ffn_down_exps.weight,6307840,184,0,1160642560,376.327
runtime_load,gate,blk.52.ffn_gate_exps.weight,5619712,181,0,1017167872,397.617
runtime_load,up,blk.51.ffn_up_exps.weight,4702208,189,0,888717312,385.088
runtime_load,gate,blk.51.ffn_gate_exps.weight,5619712,189,0,1062125568,414.626
runtime_load,gate,blk.59.ffn_gate_exps.weight,5619712,167,0,938491904,292.319
current_down_overlap,down,blk.50.ffn_down_exps.weight,6307840,141,0,889405440,276.617
runtime_load,gate,blk.50.ffn_gate_exps.weight,5619712,141,0,792379392,308.150
runtime_load,gate,blk.56.ffn_gate_exps.weight,5619712,184,0,1034027008,342.851
runtime_load,up,blk.50.ffn_up_exps.weight,4702208,141,0,663011328,288.758
