entry_idx	tensor	expert_idx	kind	layer	remote_type	current_nbytes	remote_nbytes	runtime_nbytes_match	remote_shard_name	remote_url	remote_abs_start	remote_abs_end	remote_range_header	remote_range_valid	pack_offset	source_pack
0	blk.1.ffn_down_exps.weight	0	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3131775424	3136018879	bytes=3131775424-3136018879	1	4804608	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
1	blk.1.ffn_down_exps.weight	1	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3136018880	3140262335	bytes=3136018880-3140262335	1	9048064	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
2	blk.1.ffn_down_exps.weight	2	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3140262336	3144505791	bytes=3140262336-3144505791	1	13291520	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
3	blk.1.ffn_down_exps.weight	3	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3144505792	3148749247	bytes=3144505792-3148749247	1	17534976	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
4	blk.1.ffn_down_exps.weight	4	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3148749248	3152992703	bytes=3148749248-3152992703	1	21778432	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
5	blk.1.ffn_down_exps.weight	5	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3152992704	3157236159	bytes=3152992704-3157236159	1	26021888	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
6	blk.1.ffn_down_exps.weight	6	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3157236160	3161479615	bytes=3157236160-3161479615	1	30265344	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
7	blk.1.ffn_down_exps.weight	7	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3161479616	3165723071	bytes=3161479616-3165723071	1	34508800	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
8	blk.1.ffn_down_exps.weight	8	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3165723072	3169966527	bytes=3165723072-3169966527	1	38752256	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
9	blk.1.ffn_down_exps.weight	9	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3169966528	3174209983	bytes=3169966528-3174209983	1	42995712	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
