depth,mode,kind,layer,tensor,calls,transitions,actual_events,covered_events,actual_bytes,covered_bytes,false_bytes,event_coverage,byte_coverage,false_prefetch_ratio,net_byte_multiplier,exact_repeat_rate,avg_jaccard
1,decode,up,60,blk.60.ffn_up_exps.weight,32,31,248,67,1393688576,376520704,1017167872,0.2701612903225806,0.2701612903225806,0.7298387096774194,1.7298387096774193,0.0,0.1689471818504077
1,decode,gate,60,blk.60.ffn_gate_exps.weight,32,31,248,67,1393688576,376520704,1017167872,0.2701612903225806,0.2701612903225806,0.7298387096774194,1.7298387096774193,0.0,0.1689471818504077
1,decode,down,60,blk.60.ffn_down_exps.weight,32,31,248,67,1564344320,422625280,1141719040,0.2701612903225806,0.2701612903225806,0.7298387096774194,1.7298387096774193,0.0,0.1689471818504077
1,decode,up,1,blk.1.ffn_up_exps.weight,31,30,240,35,1128529920,164577280,963952640,0.14583333333333334,0.14583333333333334,0.8541666666666666,1.8541666666666667,0.0,0.08498168498168499
1,decode,gate,1,blk.1.ffn_gate_exps.weight,31,30,240,35,1128529920,164577280,963952640,0.14583333333333334,0.14583333333333334,0.8541666666666666,1.8541666666666667,0.0,0.08498168498168499
1,decode,down,1,blk.1.ffn_down_exps.weight,31,30,240,35,1513881600,220774400,1293107200,0.14583333333333334,0.14583333333333334,0.8541666666666666,1.8541666666666667,0.0,0.08498168498168499
1,decode,up,2,blk.2.ffn_up_exps.weight,31,30,240,59,1348730880,331563008,1017167872,0.24583333333333332,0.24583333333333332,0.7541666666666667,1.7541666666666667,0.0,0.15892107892107893
1,decode,gate,2,blk.2.ffn_gate_exps.weight,31,30,240,59,1348730880,331563008,1017167872,0.24583333333333332,0.24583333333333332,0.7541666666666667,1.7541666666666667,0.0,0.15892107892107893
1,decode,down,2,blk.2.ffn_down_exps.weight,31,30,240,59,1513881600,372162560,1141719040,0.24583333333333332,0.24583333333333332,0.7541666666666667,1.7541666666666667,0.0,0.15892107892107893
1,decode,up,3,blk.3.ffn_up_exps.weight,31,30,240,54,1348730880,303464448,1045266432,0.225,0.225,0.775,1.775,0.0,0.13219669219669222
1,decode,gate,3,blk.3.ffn_gate_exps.weight,31,30,240,54,1348730880,303464448,1045266432,0.225,0.225,0.775,1.775,0.0,0.13219669219669222
1,decode,down,3,blk.3.ffn_down_exps.weight,31,30,240,54,1513881600,340623360,1173258240,0.225,0.225,0.775,1.775,0.0,0.13219669219669222
1,decode,up,4,blk.4.ffn_up_exps.weight,31,30,240,49,1348730880,275365888,1073364992,0.20416666666666666,0.20416666666666666,0.7958333333333333,1.7958333333333334,0.0,0.12480852480852483
1,decode,gate,4,blk.4.ffn_gate_exps.weight,31,30,240,49,1348730880,275365888,1073364992,0.20416666666666666,0.20416666666666666,0.7958333333333333,1.7958333333333334,0.0,0.12480852480852483
1,decode,down,4,blk.4.ffn_down_exps.weight,31,30,240,49,1871708160,382140416,1489567744,0.20416666666666666,0.20416666666666666,0.7958333333333333,1.7958333333333334,0.0,0.12480852480852483
