layer	kind	tensor	expert_idx	current_nbytes	remote_nbytes	remote_type	source_pack
1	down	blk.1.ffn_down_exps.weight	2	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	6	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	19	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	23	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	28	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	41	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	43	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	55	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	56	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	60	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	62	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	71	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	82	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	93	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	114	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	116	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	128	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	144	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	147	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	153	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	167	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	175	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	195	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	197	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	224	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	230	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	241	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	256	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	265	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	302	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	306	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	310	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	319	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	321	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	down	blk.1.ffn_down_exps.weight	344	6307840	4816896	Q2_K	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	2	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	5	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	6	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	7	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	11	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	15	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	19	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	23	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	24	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	25	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	26	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	28	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	34	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	41	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	43	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	45	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	48	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	55	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	56	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	58	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	60	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	62	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	65	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	68	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	71	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	76	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	80	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	82	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	90	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	92	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	93	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	99	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	112	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	114	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
