packed_ratio,max_entries,selected_entries,events,event_coverage,byte_coverage,hybrid_byte_ratio,logical_gib,hybrid_gib,ideal_transfer_only_tps,target_met_transfer_only
0.276,512,512,675560,0.09632749126650482,0.10011999575016321,0.9275131305750091,3506.5684814453125,3252.3883098009974,1.4932403157908647,False
0.276,1024,1024,675560,0.1573894250695719,0.161996090345097,0.882714843116081,3506.5684814453125,3095.300046974793,1.5690231231535623,False
0.276,2048,2048,675560,0.24357866066670614,0.2495885102835572,0.8192979382006403,3506.5684814453125,2872.924327007495,1.6904717263682691,False
0.276,4096,4096,675560,0.35967641660252236,0.3665840316281432,0.7345931903240044,3506.5684814453125,2575.9013278745115,1.885397275993156,False
0.276,8192,8192,675560,0.5097563502871691,0.5174622845260859,0.6253573473026486,3506.5684814453125,2192.8583636917174,2.214733713410285,False
0.276,16384,16384,675560,0.6971741962223933,0.7052337324947053,0.48941083433039656,3506.5684814453125,1716.1526061408222,2.8299332643400366,False
0.276,32768,32768,675560,0.9024883059979869,0.9063509229626918,0.3438020057885257,3506.5684814453125,1205.565277355723,4.028481441879429,False
0.276,56896,56896,675560,1.0,1.0,0.27600008253578606,3506.5684814453125,967.8131902962923,5.018114441398478,True
0.35,512,512,675560,0.09632749126650482,0.10011999575016321,0.9349220087350124,3506.5684814453125,3278.3680484397337,1.4814069912355166,False
0.35,1024,1024,675560,0.1573894250695719,0.161996090345097,0.8947025514601439,3506.5684814453125,3137.335767218843,1.5480005033401285,False
0.35,2048,2048,675560,0.24357866066670614,0.2495885102835572,0.8377674842398906,3506.5684814453125,2937.689055015333,1.6532033363130767,False
0.35,4096,4096,675560,0.35967641660252236,0.3665840316281432,0.7617204027687504,3506.5684814453125,2671.024756022729,1.8182524650327243,False
0.35,8192,8192,675560,0.5097563502871691,0.5174622845260859,0.6636495476116542,3506.5684814453125,2327.132586380467,2.0869448415724023,False
0.35,16384,16384,675560,0.6971741962223933,0.7052337324947053,0.5415981190255497,3506.5684814453125,1899.1508937850595,2.557246695191464,False
0.35,32768,32768,675560,0.9024883059979869,0.9063509229626918,0.41087195855209174,3506.5684814453125,1440.7506597684696,3.370879835364586,False
0.35,56896,56896,675560,1.0,1.0,0.3500000647249776,3506.5684814453125,1227.2991954684258,3.9571421253544705,False
0.55,512,512,675560,0.09632749126650482,0.10011999575016321,0.9549460138650471,3506.5684814453125,3348.5835937010124,1.4503437680150661,False
0.55,1024,1024,675560,0.1573894250695719,0.161996090345097,0.9271017783697159,3506.5684814453125,3250.945875123143,1.4939028619225454,False
0.55,2048,2048,675560,0.24357866066670614,0.2495885102835572,0.8876851995295436,3506.5684814453125,3112.728942115791,1.5602377968383656,False
0.55,4096,4096,675560,0.35967641660252236,0.3665840316281432,0.8350372286239104,3506.5684814453125,2928.1152267260477,1.6586086853665125,False
0.55,8192,8192,675560,0.5097563502871691,0.5174622845260859,0.7671420327179846,3506.5684814453125,2690.0360727207735,1.8054023126499068,False
0.55,16384,16384,675560,0.6971741962223933,0.7052337324947053,0.682644902741661,3506.5684814453125,2393.741099973209,2.028873275750712,False
0.55,32768,32768,675560,0.9024883059979869,0.9063509229626918,0.5921421902542103,3506.5684814453125,2076.3871408794075,2.3389652397600833,False
0.55,56896,56896,675560,1.0,1.0,0.5500001163644712,3506.5684814453125,1928.613072834909,2.518181285405757,False
