scope,prompt,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
aggregate,all,all,84445,0.9856593048729942,675560,0.3378204748652969,0.3427355407645914,0.337250410423602,0.9856594813395856
aggregate,all,down,25871,0.9856596188782807,206968,0.3404004483784933,0.3453529411764706,0.3388133383321114,0.9856594217739035
aggregate,all,gate,29287,0.985659166182948,234296,0.33668095059241304,0.3415794852253438,0.33804853596870543,0.9856593739168223
aggregate,all,up,29287,0.985659166182948,234296,0.33668095059241304,0.3415794852253438,0.334515610330983,0.9856596688172902
prompt,dev_france_regression,all,13324,0.9870159111377964,106592,0.36318860702491745,0.36796631434871874,0.36292591259814794,0.9870160557968284
prompt,dev_france_regression,down,4082,0.987016168544831,32656,0.3690286624203822,0.37388309754281457,0.3668998021325712,0.9870160069676394
prompt,dev_france_regression,gate,4621,0.9870157974464402,36968,0.36060917550313787,0.3653529927647446,0.3632314642634653,0.9870159677366471
prompt,dev_france_regression,up,4621,0.9870157974464402,36968,0.36060917550313787,0.3653529927647446,0.3578359758351605,0.9870162094826233
prompt,dev_japan_factual,all,14708,0.9882376937720968,117664,0.38082166168071796,0.3853543171654627,0.38028577904380284,0.9882378124877579
prompt,dev_japan_factual,down,4506,0.9882379050155349,36048,0.3865679094540613,0.3911688749157871,0.3845924776896856,0.9882377724156421
prompt,dev_japan_factual,gate,5101,0.988237600470496,40808,0.3782836698686532,0.38278615354096407,0.3801502318930364,0.9882377402203939
prompt,dev_japan_factual,up,5101,0.988237600470496,40808,0.3782836698686532,0.38278615354096407,0.3752740963993596,0.9882379386115813
prompt,dev_linear_equation,all,5885,0.9706032285471538,47080,0.22289719626168225,0.22964810924369747,0.22250918735204955,0.9706039700550018
prompt,dev_linear_equation,down,1803,0.9706045479755963,14424,0.22254575707154742,0.2292857142857143,0.2214353061673798,0.9706037197637577
prompt,dev_linear_equation,gate,2041,0.9706026457618814,16328,0.22305242528172464,0.22980817768803635,0.22380616562562966,0.9706035186697349
prompt,dev_linear_equation,up,2041,0.9706026457618814,16328,0.22305242528172464,0.22980817768803635,0.2223932358842075,0.9706047578102608
prompt,dev_mixed_summary,all,9345,0.9814874264312466,74760,0.310366506153023,0.3162205625817706,0.30969312819428757,0.9814877205035551
prompt,dev_mixed_summary,down,2863,0.9814879497031086,22904,0.31597100943066714,0.3219306049822064,0.31455069353603915,0.9814876212407091
prompt,dev_mixed_summary,gate,3241,0.9814871953100894,25928,0.30789108299907436,0.3136985224772084,0.3094417211510849,0.9814875414894114
prompt,dev_mixed_summary,up,3241,0.9814871953100894,25928,0.30789108299907436,0.3136985224772084,0.30414696220353055,0.9814880329229991
prompt,dev_photosynthesis_factual,all,16265,0.9893636643098678,130120,0.3362050415001537,0.33981947551578423,0.33566034000032896,0.9893637613848998
prompt,dev_photosynthesis_factual,down,4983,0.9893638370459562,39864,0.3363686534216336,0.3399847870182556,0.3352914844023288,0.9893637286174926
prompt,dev_photosynthesis_factual,gate,5641,0.9893635880163092,45128,0.33613277787626306,0.3397464612076689,0.3368088996496775,0.9893637022911015
prompt,dev_photosynthesis_factual,up,5641,0.9893635880163092,45128,0.33613277787626306,0.3397464612076689,0.33486041109244397,0.9893638645178686
prompt,dev_python_reverse,all,16438,0.9894756053047816,131504,0.3064849738410999,0.3097448509068552,0.3055570855939651,0.9894757003472631
prompt,dev_python_reverse,down,5036,0.9894757744241461,40288,0.30306791104050834,0.30629139072847683,0.30260023989033585,0.9894756682659356
prompt,dev_python_reverse,gate,5701,0.9894755306086651,45608,0.30799421154183476,0.31127016486438575,0.3075446392977687,0.9894756424907646
prompt,dev_python_reverse,up,5701,0.9894755306086651,45608,0.30799421154183476,0.31127016486438575,0.3069498089307923,0.9894758013208608
prompt,dev_zh_france,all,8480,0.9795990566037736,67840,0.39722877358490566,0.4055013843746238,0.39674978645752446,0.9795994137288399
prompt,dev_zh_france,down,2598,0.9795996920708238,20784,0.40415704387990764,0.412573673870334,0.40043113183732576,0.9795992931829354
prompt,dev_zh_france,gate,2941,0.9795987759265556,23528,0.39416865011900715,0.4023776466504686,0.39777335384207774,0.9795991963319767
prompt,dev_zh_france,up,2941,0.9795987759265556,23528,0.39416865011900715,0.4023776466504686,0.391234037474639,0.9795997931336278
