scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
aggregate,all,8,all,84445,1.0,675560,0.12362484457339097,0.12362484457339097,0.12323820018437079,1.0
aggregate,all,8,down,25871,1.0,206968,0.12307216574542924,0.12307216574542924,0.12333917932427105,1.0
aggregate,all,8,gate,29287,1.0,234296,0.12386895209478609,0.12386895209478609,0.12306210502121458,1.0
aggregate,all,8,up,29287,1.0,234296,0.12386895209478609,0.12386895209478609,0.12330763238319717,1.0
fold,dev_france_regression,8,all,13324,1.0,106592,0.2201197087961573,0.2201197087961573,0.2194233673929562,1.0
fold,dev_france_regression,8,down,4082,1.0,32656,0.22100073493385594,0.22100073493385594,0.22017877829546512,1.0
fold,dev_france_regression,8,gate,4621,1.0,36968,0.21973057779701363,0.21973057779701363,0.21962956630896563,1.0
fold,dev_france_regression,8,up,4621,1.0,36968,0.21973057779701363,0.21973057779701363,0.21829567493936003,1.0
fold,dev_japan_factual,8,all,14708,1.0,117664,0.18625917867827033,0.18625917867827033,0.18590608158399882,1.0
fold,dev_japan_factual,8,down,4506,1.0,36048,0.18652907234798047,0.18652907234798047,0.1866406220077368,1.0
fold,dev_japan_factual,8,gate,5101,1.0,40808,0.1861399725544011,0.1861399725544011,0.18558868582630725,1.0
fold,dev_japan_factual,8,up,5101,1.0,40808,0.1861399725544011,0.1861399725544011,0.18536944524723725,1.0
fold,dev_linear_equation,8,all,5885,1.0,47080,0.057412914188615126,0.057412914188615126,0.057169631212171015,1.0
fold,dev_linear_equation,8,down,1803,1.0,14424,0.05511647254575707,0.05511647254575707,0.05597354239056562,1.0
fold,dev_linear_equation,8,gate,2041,1.0,16328,0.05842724154826066,0.05842724154826066,0.05691856580803207,1.0
fold,dev_linear_equation,8,up,2041,1.0,16328,0.05842724154826066,0.05842724154826066,0.05887360275150473,1.0
fold,dev_mixed_summary,8,all,9345,1.0,74760,0.08428303905831996,0.08428303905831996,0.08429230772618473,1.0
fold,dev_mixed_summary,8,down,2863,1.0,22904,0.08352252881592735,0.08352252881592735,0.08397331950882819,1.0
fold,dev_mixed_summary,8,gate,3241,1.0,25928,0.08461894477013268,0.08461894477013268,0.08404235426113786,1.0
fold,dev_mixed_summary,8,up,3241,1.0,25928,0.08461894477013268,0.08461894477013268,0.0849445868380203,1.0
fold,dev_photosynthesis_factual,8,all,16265,1.0,130120,0.07224869351367968,0.07224869351367968,0.07191100579318861,1.0
fold,dev_photosynthesis_factual,8,down,4983,1.0,39864,0.06936082681115793,0.06936082681115793,0.07015488572329069,1.0
fold,dev_photosynthesis_factual,8,gate,5641,1.0,45128,0.0735241978372629,0.0735241978372629,0.07205880660125778,1.0
fold,dev_photosynthesis_factual,8,up,5641,1.0,45128,0.0735241978372629,0.0735241978372629,0.07385456204758052,1.0
fold,dev_python_reverse,8,all,16438,1.0,131504,0.040918907409660546,0.040918907409660546,0.04085520731881355,1.0
fold,dev_python_reverse,8,down,5036,1.0,40288,0.03929209690230342,0.03929209690230342,0.04037054489376285,1.0
fold,dev_python_reverse,8,gate,5701,1.0,45608,0.04163743202946851,0.04163743202946851,0.04058778081089187,1.0
fold,dev_python_reverse,8,up,5701,1.0,45608,0.04163743202946851,0.04163743202946851,0.04172481519030986,1.0
fold,dev_zh_france,8,all,8480,1.0,67840,0.21154186320754717,0.21154186320754717,0.2103278119661438,1.0
fold,dev_zh_france,8,down,2598,1.0,20784,0.21530985373364125,0.21530985373364125,0.21436187173661764,1.0
fold,dev_zh_france,8,gate,2941,1.0,23528,0.20987759265555933,0.20987759265555933,0.20948541695798406,1.0
fold,dev_zh_france,8,up,2941,1.0,23528,0.20987759265555933,0.20987759265555933,0.2064068902414767,1.0
aggregate,all,16,all,84445,1.0,675560,0.19250399668423235,0.09625199834211617,0.19224882404530366,2.0
aggregate,all,16,down,25871,1.0,206968,0.1923195856364269,0.09615979281821345,0.19311549512252232,2.0
aggregate,all,16,gate,29287,1.0,234296,0.19258544746815995,0.09629272373407997,0.191504154598512,2.0
aggregate,all,16,up,29287,1.0,234296,0.19258544746815995,0.09629272373407997,0.19201586001637935,2.0
fold,dev_france_regression,16,all,13324,1.0,106592,0.3340682227559291,0.16703411137796456,0.33364929605307864,2.0
fold,dev_france_regression,16,down,4082,1.0,32656,0.3360178833904949,0.16800894169524744,0.3355448964578348,2.0
fold,dev_france_regression,16,gate,4621,1.0,36968,0.3332070980307293,0.16660354901536464,0.3332462891054976,2.0
fold,dev_france_regression,16,up,4621,1.0,36968,0.3332070980307293,0.16660354901536464,0.3318145910663014,2.0
fold,dev_japan_factual,16,all,14708,1.0,117664,0.27932077780799563,0.13966038890399782,0.27913649286181985,2.0
fold,dev_japan_factual,16,down,4506,1.0,36048,0.28023746116289394,0.14011873058144697,0.2806187521544295,2.0
