name,entries,pack_size_gib,unique_payload_gib,added_traffic_gib,added_miss_traffic_pct,worst_prompt_added_miss_pct,optimistic_direct_save_s,remaining_miss_traffic_gib
top512,512,2.766602,2.766525,165.774155,15.829647,2.772218,447.590218,881.464340
top1024,1024,5.519207,5.519058,251.873001,24.051160,4.580331,680.057103,795.365494
top2048,2048,11.008717,11.008423,368.363144,35.174714,10.218175,994.580489,678.875351
top4096,4096,22.135136,22.134552,526.027847,50.229995,24.005871,1420.275188,521.210648
top8192,8192,43.618290,43.617126,728.396912,69.554062,48.305311,1966.671661,318.841583
top16384,16384,86.124454,86.122131,945.262650,90.262405,74.956632,2552.209154,101.975845
budget4gib,744,3.999344,3.999237,209.253601,19.981466,3.072458,564.984723,837.984894
budget8gib,1477,7.996441,7.996231,308.864105,29.493196,6.381772,833.933084,738.374390
budget16gib,2978,15.999294,15.998871,448.135010,42.792068,16.096210,1209.964526,599.103485
budget32gib,5954,31.998692,31.997849,629.814148,60.140470,35.605151,1700.498199,417.424347
budget64gib,12152,63.996029,63.994308,855.599930,81.700581,60.378303,2310.119810,191.638565
