scope,key,rows,blocks,values,zero_value_ratio,mean_l1_per_value,rms,max_abs,low_ratio_le_0,low_ratio_le_1e-06,low_ratio_le_1e-05,low_ratio_le_0.0001,low_ratio_le_0.001,low_ratio_le_0.01,low_ratio_le_0.05,low_ratio_le_0.1,low_ratio_le_0.2,low_ratio_le_0.5
global,all,39456,1262592,80805888,1.2375335817112733e-08,0.0666869942248308,0.15603202797359791,30.8457279,0.0,0.0,0.0,0.0,0.0001687005778588808,0.041501134174776966,0.12199903056569343,0.19798715657948093,0.3454362137570965,0.665814451540957
layer,1,744,23808,1523712,0.0,0.0007485708908960489,0.0016085263183241924,0.282382369,0.0,0.0,0.0,0.0,0.008568548387096774,0.8802923387096774,0.9964717741935484,0.9994539650537635,0.999957997311828,1.0
layer,2,744,23808,1523712,0.0,0.0014487584603553672,0.0030171446251893875,0.415376216,0.0,0.0,0.0,0.0,0.0003780241935483871,0.5856014784946236,0.9878612231182796,0.9968497983870968,0.9996219758064516,1.0
layer,3,744,23808,1523712,0.0,0.002105943356362618,0.004337020471966416,0.437101275,0.0,0.0,0.0,0.0,0.0,0.3569388440860215,0.9729922715053764,0.9949176747311828,0.9987819220430108,1.0
layer,4,744,23808,1523712,0.0,0.002627580420591292,0.005537407158717874,0.666383445,0.0,0.0,0.0,0.0,0.0,0.21761592741935484,0.9551411290322581,0.9886592741935484,0.9967657930107527,0.9999159946236559
layer,5,744,23808,1523712,0.0,0.0031164193808147435,0.00644040997972358,0.757670879,0.0,0.0,0.0,0.0,0.0,0.1578881048387097,0.9301075268817204,0.9846270161290323,0.9963877688172043,0.9997479838709677
layer,11,744,23808,1523712,0.0,0.008307343500208689,0.015389372719330587,1.47052383,0.0,0.0,0.0,0.0,0.0,0.0019321236559139785,0.5401965725806451,0.9009996639784946,0.9841229838709677,0.9982778897849462
layer,12,744,23808,1523712,0.0,0.008965214101057158,0.016033639005672787,1.77833569,0.0,0.0,0.0,0.0,0.0,0.0006300403225806451,0.49340557795698925,0.8972194220430108,0.9844590053763441,0.9987399193548387
layer,13,744,23808,1523712,0.0,0.012088949299959576,0.021529577055492737,1.53732836,0.0,0.0,0.0,0.0,0.0,0.0,0.22668850806451613,0.7586945564516129,0.9586693548387096,0.9975638440860215
layer,14,744,23808,1523712,0.0,0.012627490961933744,0.022519342334680528,1.43248916,0.0,0.0,0.0,0.0,0.0,0.0,0.2249243951612903,0.7419774865591398,0.9512348790322581,0.9969338037634409
layer,16,744,23808,1523712,0.0,0.01640899922190022,0.028514389445842142,2.07399821,0.0,0.0,0.0,0.0,0.0,0.0,0.07027049731182795,0.5661962365591398,0.9170866935483871,0.9945396505376344
layer,17,744,23808,1523712,0.0,0.019181188117833304,0.03410698718862053,2.61162233,0.0,0.0,0.0,0.0,0.0,0.0,0.03721438172043011,0.42620127688172044,0.870127688172043,0.9890793010752689
layer,19,744,23808,1523712,0.0,0.020711943665075824,0.03559928587186955,2.08868814,0.0,0.0,0.0,0.0,0.0,0.0,0.015498991935483871,0.36029905913978494,0.8576108870967742,0.9910954301075269
