scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
global,all,0.1,39456,0.19798715657948093,0.19798715657948093,0.21506065362238533,0.2096515584965782,1.0,0.102448998,0.0020266203203520715,8.175618747700078
global,all,0.2,39456,0.3454362137570965,0.3454362137570965,0.801214362818427,0.36754207106468045,1.0,0.228624359,0.007550446485668078,8.175618747700078
layer,1,0.1,744,0.9994539650537635,0.9994539650537635,0.09924714113400535,0.9955912398494623,1.0,0.0474075601,0.0009326970481827946,0.10085113130201609
layer,2,0.1,744,0.9968497983870968,0.9968497983870968,0.17891953140766106,0.9790721204583331,1.0,0.0562705584,0.001684879013618279,0.18849507103266097
layer,3,0.1,744,0.9949176747311828,0.9949176747311828,0.25490405968763435,0.9727035965967737,1.0,0.0353876054,0.0024010324600497314,0.2706493387252687
layer,4,0.1,744,0.9886592741935484,0.9886592741935484,0.3101309354458335,0.9563580873131722,1.0,0.0414143279,0.0029213885949919364,0.34329230211384437
layer,5,0.1,744,0.9846270161290323,0.9846270161290323,0.35939605251411344,0.9504024308561821,1.0,0.053493842,0.003386280146518818,0.39879159867137115
layer,11,0.1,744,0.9009996639784946,0.9009996639784946,0.7991745249274188,0.8734168561290317,1.0,0.0606136513,0.007532003166478498,0.9733101297043018
layer,12,0.1,744,0.8972194220430108,0.8972194220430108,0.8504005835954296,0.8771501066801082,1.0,0.0738755539,0.008014048729448942,1.0215927299381715
layer,13,0.1,744,0.7586945564516129,0.7586945564516129,0.9941815125766121,0.7559745191868281,1.0,0.0792346559,0.00936931941505376,1.4142079166263437
layer,14,0.1,744,0.7419774865591398,0.7419774865591398,0.9993103865846776,0.7484489331236557,1.0,0.0806826092,0.00941779622901882,1.4552119899287628
layer,16,0.1,744,0.5661962365591398,0.5661962365591398,1.0563418730215062,0.6176586076599465,1.0,0.102448998,0.009956204669973127,1.8800294289946244
layer,17,0.1,744,0.42620127688172044,0.42620127688172044,0.9556128894395165,0.5026599602775534,1.0,0.0733250026,0.009003000669475816,2.2199258956666656
layer,19,0.1,744,0.36029905913978494,0.36029905913978494,0.9251427205241932,0.45129784155752756,1.0,0.0757044824,0.008719367588588704,2.333744856263441
layer,20,0.1,744,0.3041834677419355,0.3041834677419355,0.8409947566115583,0.39986186694045667,1.0,0.0804499984,0.007926414378037629,2.496403583794356
layer,21,0.1,744,0.17615927419354838,0.17615927419354838,0.6438906547526883,0.26811087572459685,0.943376106,0.0721922871,0.006067820991061836,2.930868221559138
layer,22,0.1,744,0.11013104838709678,0.11013104838709678,0.4856641325416667,0.18646213484435484,0.968398424,0.0717487019,0.004578067868172043,3.2378681375537646
layer,23,0.1,744,0.09450604838709678,0.09450604838709678,0.4384209493911284,0.16587522775174726,0.833097923,0.0742134545,0.004130994909233869,3.3356270091532245
layer,24,0.1,744,0.07367271505376344,0.07367271505376344,0.3426152666854837,0.1299417370274193,0.876226431,0.0740923369,0.003228065462997311,3.753286812634412
layer,25,0.1,744,0.043430779569892476,0.043430779569892476,0.27740101413978474,0.09449287556639781,0.687667656,0.0613061339,0.002614216995739248,3.833981448682793
layer,26,0.1,744,0.03721438172043011,0.03721438172043011,0.221726722301075,0.07686924882379036,0.734206383,0.0653627254,0.0020903319454301083,4.231855302553758
layer,27,0.1,744,0.012894825268817205,0.012894825268817205,0.09914647865053762,0.031962772179704314,0.54326741,0.0579031948,0.0009345618354973118,5.132845075766128
layer,28,0.1,744,0.013776881720430107,0.013776881720430107,0.0959331456209677,0.03172971165094086,0.587105915,0.0672228187,0.0009038962202956995,5.007962991008067
layer,29,0.1,744,0.007728494623655914,0.007728494623655914,0.06708659865053763,0.021166474282123652,0.440842592,0.0528214239,0.0006322080417204299,5.072825856142475
layer,30,0.1,744,0.0059223790322580645,0.0059223790322580645,0.05682559601747309,0.01728132528091398,0.469034683,0.0528270267,0.0005353136688844084,5.320556292204298
layer,31,0.1,744,0.0014700940860215054,0.0014700940860215054,0.019276003602150538,0.00519734539905914,0.202279011,0.0290205777,0.00018157557663978495,5.921824399045699
layer,32,0.1,744,0.0015540994623655913,0.0015540994623655913,0.01970883325,0.005385903602419355,0.240494012,0.0381956073,0.00018561083997311828,5.615160460295699
layer,33,0.1,744,0.0003360215053763441,0.0003360215053763441,0.004840146349462365,0.0011889930793010752,0.136534042,0.0249243155,4.568249879032258e-05,6.9765442910618285
layer,34,0.1,744,0.00025201612903225806,0.00025201612903225806,0.0036654338427419353,0.0008376712947580645,0.116936621,0.0234852931,3.453409715053764e-05,6.92701325766129
