layer,kind,top_k,calls,actual_events,actual_gib,byte_recall,precision,predicted_to_actual_byte_ratio,false_to_actual_byte_ratio,extra_to_actual_byte_ratio
1,down,8,488,3904,22.9345703125,0.13140368852459017,0.13140368852459017,1.0,0.8685963114754098,0.0
1,down,10,488,3904,22.9345703125,0.14805327868852458,0.11844262295081967,1.25,1.1019467213114753,0.25
1,down,12,488,3904,22.9345703125,0.15906762295081966,0.10604508196721311,1.5,1.3409323770491803,0.5
1,down,16,488,3904,22.9345703125,0.1762295081967213,0.08811475409836066,2.0,1.8237704918032787,1.0
1,upgate,8,976,7808,34.193359375,0.13140368852459017,0.13140368852459017,1.0,0.8685963114754098,0.0
1,upgate,10,976,7808,34.193359375,0.14805327868852458,0.11844262295081967,1.25,1.1019467213114753,0.25
1,upgate,12,976,7808,34.193359375,0.15906762295081966,0.10604508196721311,1.5,1.3409323770491803,0.5
1,upgate,16,976,7808,34.193359375,0.1762295081967213,0.08811475409836066,2.0,1.8237704918032787,1.0
2,down,8,488,3904,22.9345703125,0.07505122950819672,0.07505122950819672,1.0,0.9249487704918032,0.0
2,down,10,488,3904,22.9345703125,0.08657786885245902,0.06926229508196721,1.25,1.163422131147541,0.25
2,down,12,488,3904,22.9345703125,0.11859631147540983,0.07906420765027322,1.5,1.3814036885245902,0.5
2,down,16,488,3904,22.9345703125,0.17443647540983606,0.08721823770491803,2.0,1.825563524590164,1.0
2,upgate,8,976,7808,40.865234375,0.07505122950819672,0.07505122950819672,1.0,0.9249487704918032,0.0
2,upgate,10,976,7808,40.865234375,0.08657786885245902,0.06926229508196721,1.25,1.163422131147541,0.25
2,upgate,12,976,7808,40.865234375,0.11859631147540983,0.07906420765027322,1.5,1.3814036885245902,0.5
2,upgate,16,976,7808,40.865234375,0.17443647540983606,0.08721823770491803,2.0,1.825563524590164,1.0
3,down,8,488,3904,22.9345703125,0.11449795081967214,0.11449795081967214,1.0,0.8855020491803278,0.0
3,down,10,488,3904,22.9345703125,0.12653688524590165,0.10122950819672132,1.25,1.1234631147540983,0.25
3,down,12,488,3904,22.9345703125,0.15035860655737704,0.10023907103825136,1.5,1.349641393442623,0.5
3,down,16,488,3904,22.9345703125,0.18084016393442623,0.09042008196721311,2.0,1.8191598360655739,1.0
3,upgate,8,976,7808,40.865234375,0.11449795081967214,0.11449795081967214,1.0,0.8855020491803278,0.0
3,upgate,10,976,7808,40.865234375,0.12653688524590165,0.10122950819672132,1.25,1.1234631147540983,0.25
3,upgate,12,976,7808,40.865234375,0.15035860655737704,0.10023907103825136,1.5,1.349641393442623,0.5
3,upgate,16,976,7808,40.865234375,0.18084016393442623,0.09042008196721311,2.0,1.8191598360655739,1.0
4,down,8,488,3904,28.35546875,0.1449795081967213,0.1449795081967213,1.0,0.8550204918032787,0.0
4,down,10,488,3904,28.35546875,0.15496926229508196,0.12397540983606557,1.25,1.095030737704918,0.25
4,down,12,488,3904,28.35546875,0.16162909836065573,0.10775273224043716,1.5,1.3383709016393444,0.5
4,down,16,488,3904,28.35546875,0.1872438524590164,0.0936219262295082,2.0,1.8127561475409837,1.0
4,upgate,8,976,7808,40.865234375,0.1449795081967213,0.1449795081967213,1.0,0.8550204918032787,0.0
4,upgate,10,976,7808,40.865234375,0.15496926229508196,0.12397540983606557,1.25,1.095030737704918,0.25
4,upgate,12,976,7808,40.865234375,0.16162909836065573,0.10775273224043716,1.5,1.3383709016393444,0.5
4,upgate,16,976,7808,40.865234375,0.1872438524590164,0.0936219262295082,2.0,1.8127561475409837,1.0
5,down,8,488,3904,22.9345703125,0.09067622950819672,0.09067622950819672,1.0,0.9093237704918032,0.0
5,down,10,488,3904,22.9345703125,0.11116803278688525,0.0889344262295082,1.25,1.1388319672131149,0.25
5,down,12,488,3904,22.9345703125,0.12397540983606557,0.08265027322404371,1.5,1.3760245901639345,0.5
5,down,16,488,3904,22.9345703125,0.16214139344262296,0.08107069672131148,2.0,1.837858606557377,1.0
5,upgate,8,976,7808,40.865234375,0.09067622950819672,0.09067622950819672,1.0,0.9093237704918032,0.0
5,upgate,10,976,7808,40.865234375,0.11116803278688525,0.0889344262295082,1.25,1.1388319672131149,0.25
5,upgate,12,976,7808,40.865234375,0.12397540983606557,0.08265027322404371,1.5,1.3760245901639345,0.5
5,upgate,16,976,7808,40.865234375,0.16214139344262296,0.08107069672131148,2.0,1.837858606557377,1.0
6,upgate,8,976,7808,40.865234375,0.11270491803278689,0.11270491803278689,1.0,0.8872950819672131,0.0
6,upgate,10,976,7808,40.865234375,0.1396004098360656,0.11168032786885246,1.25,1.1103995901639345,0.25
6,upgate,12,976,7808,40.865234375,0.1603483606557377,0.10689890710382513,1.5,1.3396516393442623,0.5
6,upgate,16,976,7808,40.865234375,0.19748975409836064,0.09874487704918032,2.0,1.8025102459016393,1.0
7,upgate,8,976,7808,37.529296875,0.15061475409836064,0.15061475409836064,1.0,0.8493852459016393,0.0
7,upgate,10,976,7808,37.529296875,0.1603483606557377,0.12827868852459015,1.25,1.0896516393442623,0.25
7,upgate,12,976,7808,37.529296875,0.16495901639344263,0.10997267759562841,1.5,1.3350409836065573,0.5
7,upgate,16,976,7808,37.529296875,0.2074795081967213,0.10373975409836066,2.0,1.7925204918032787,1.0
8,upgate,8,976,7808,37.529296875,0.1411372950819672,0.1411372950819672,1.0,0.8588627049180327,0.0
8,upgate,10,976,7808,37.529296875,0.15394467213114754,0.12315573770491803,1.25,1.0960553278688525,0.25
8,upgate,12,976,7808,37.529296875,0.18468237704918034,0.12312158469945356,1.5,1.3153176229508197,0.5
8,upgate,16,976,7808,37.529296875,0.21542008196721313,0.10771004098360656,2.0,1.7845799180327868,1.0
9,upgate,8,976,7808,37.529296875,0.06608606557377049,0.06608606557377049,1.0,0.9339139344262295,0.0
9,upgate,10,976,7808,37.529296875,0.08990778688524591,0.07192622950819672,1.25,1.1600922131147542,0.25
9,upgate,12,976,7808,37.529296875,0.11936475409836066,0.07957650273224044,1.5,1.3806352459016393,0.5
9,upgate,16,976,7808,37.529296875,0.16700819672131148,0.08350409836065574,2.0,1.8329918032786885,1.0
10,upgate,8,976,7808,34.193359375,0.125,0.125,1.0,0.875,0.0
10,upgate,10,976,7808,34.193359375,0.13114754098360656,0.10491803278688525,1.25,1.1188524590163935,0.25
10,upgate,12,976,7808,34.193359375,0.1416495901639344,0.09443306010928962,1.5,1.3583504098360655,0.5
10,upgate,16,976,7808,34.193359375,0.16393442622950818,0.08196721311475409,2.0,1.8360655737704918,1.0
11,down,8,488,3904,22.9345703125,0.16470286885245902,0.16470286885245902,1.0,0.835297131147541,0.0
11,down,10,488,3904,22.9345703125,0.18237704918032788,0.14590163934426228,1.25,1.0676229508196722,0.25
11,down,12,488,3904,22.9345703125,0.20876024590163936,0.13917349726775957,1.5,1.2912397540983607,0.5
11,down,16,488,3904,22.9345703125,0.22412909836065573,0.11206454918032786,2.0,1.7758709016393444,1.0
11,upgate,8,976,7808,34.193359375,0.16470286885245902,0.16470286885245902,1.0,0.835297131147541,0.0
11,upgate,10,976,7808,34.193359375,0.18237704918032788,0.14590163934426228,1.25,1.0676229508196722,0.25
11,upgate,12,976,7808,34.193359375,0.20876024590163936,0.13917349726775957,1.5,1.2912397540983607,0.5
11,upgate,16,976,7808,34.193359375,0.22412909836065573,0.11206454918032786,2.0,1.7758709016393444,1.0
12,down,8,488,3904,22.9345703125,0.052766393442622954,0.052766393442622954,1.0,0.9472336065573771,0.0
12,down,10,488,3904,22.9345703125,0.07607581967213115,0.06086065573770492,1.25,1.1739241803278688,0.25
12,down,12,488,3904,22.9345703125,0.09528688524590163,0.06352459016393443,1.5,1.4047131147540983,0.5
