seq,time_us,name,kind,ne0,ne1,nbytes,copy_us,values
0,42094988489,ffn_moe_topk-1,actual,8,17,544,56,116|0|165|5|50|154|182|72|121|116|154|33|137|234|12|246|116|45|138|34|252|50|373|204|116|220|239|137|234|246|334|365|116|362|335|160|134|204|97|152|116|160|244|204|97|12|178|344|116|160|137|271|12|234|41|23|116|347|33|137|23|252|299|234|116|376|160|221|23|147|321|93|362|335|160|23|134|156|321|93|116|99|160|23|107|93|182|137|155|45|107|23|154|124|256|299|304|189|265|107|321|259|197|356|23|338|333|372|152|246|266|8|116|34|373|181|242|45|23|12|89|361|34|151|23|163|336|112|45|262|197|189|93|265|369|361
1,42095796722,ffn_moe_topk-2,actual,8,17,544,26,165|343|240|190|36|70|37|92|21|303|26|25|92|335|149|282|21|191|229|49|291|374|206|373|21|191|229|25|373|34|15|206|305|135|191|309|360|327|229|373|305|93|157|275|240|322|373|261|285|305|326|155|200|322|93|378|240|304|190|343|92|7|222|93|285|306|305|155|327|93|376|216|305|376|285|155|275|378|326|322|305|376|155|135|38|378|322|111|227|376|305|157|38|372|378|135|376|38|305|157|372|125|172|326|21|376|113|322|305|135|157|372|21|376|208|367|322|160|206|135|322|378|376|305|21|135|259|326|21|206|322|105|376|372|157|305
2,42096469702,ffn_moe_topk-3,actual,8,17,544,25,298|217|45|325|154|153|94|83|253|266|284|229|362|96|380|135|339|317|73|379|334|303|83|330|229|380|182|287|339|349|262|166|41|103|31|287|67|379|335|339|241|31|93|332|352|156|243|61|241|234|266|31|86|197|83|246|217|147|353|15|337|276|160|73|35|241|93|17|31|332|246|197|18|270|142|227|308|295|224|1|337|211|287|276|197|93|290|303|229|290|22|114|68|303|254|95|203|55|214|97|246|290|261|303|229|303|290|93|97|362|324|253|303|360|290|73|56|335|313|374|303|290|246|93|97|166|154|203|229|290|97|69|83|75|132|214
3,42097482605,ffn_moe_topk-4,actual,8,17,544,36,189|350|65|22|345|128|167|153|50|79|340|62|94|173|116|108|203|79|5|188|240|377|84|323|214|261|79|224|323|116|287|311|323|38|116|79|335|304|224|356|159|139|127|141|148|241|79|373|368|9|5|323|260|139|93|116|5|83|16|47|281|244|29|373|15|323|1|116|67|63|100|78|228|135|63|323|335|78|116|374|79|217|323|267|63|335|116|49|79|55|203|73|116|182|323|167|68|79|73|287|299|383|379|203|173|137|79|255|311|335|365|74|173|79|172|110|306|203|108|41|79|173|377|63|335|22|369|1|203|79|173|311|108|166|121|22
4,42099060328,ffn_moe_topk-5,actual,8,17,544,33,12|264|72|182|252|45|224|128|296|45|19|357|82|10|216|212|205|348|128|19|84|357|130|203|290|26|357|19|210|203|50|114|193|161|203|210|26|39|356|347|113|35|346|143|210|9|347|183|15|259|55|347|269|161|197|127|45|285|84|380|177|303|176|57|237|291|306|173|78|205|347|280|306|327|230|74|7|94|347|197|159|347|210|19|160|298|94|351|347|348|299|357|160|128|19|210|108|141|23|112|168|113|235|226|210|357|347|26|304|203|212|197|348|357|203|210|84|26|205|197|26|93|348|94|202|2|212|203|357|128|348|210|26|2|72|252
5,42100510774,ffn_moe_topk-6,actual,8,17,544,23,243|144|346|182|375|254|99|116|187|116|281|82|218|341|282|356|273|371|103|149|356|244|160|82|273|371|187|365|356|17|116|260|17|318|371|36|264|282|356|220|17|286|43|371|247|356|36|244|17|159|286|43|225|318|170|247|17|120|50|310|159|281|318|30|17|120|318|68|247|43|223|264|17|216|3|318|247|264|127|120|17|318|264|312|282|216|163|235|103|17|325|318|294|264|209|282|187|376|301|50|34|55|84|148|9|356|187|318|17|290|273|272|356|72|103|318|173|174|17|273|356|275|364|341|17|149|261|172|103|341|149|143|273|124|209|187
6,42101871365,ffn_moe_topk-7,actual,8,17,544,32,183|185|361|57|155|302|55|300|132|295|39|68|108|192|134|343|39|271|41|93|320|108|16|295|364|295|39|108|134|139|132|233|39|133|190|80|349|108|364|132|302|39|108|8|271|1|63|184|302|140|62|257|145|8|80|184|33|39|302|193|248|134|32|46|302|133|159|264|349|193|257|63|264|362|302|133|349|330|212|184|39|302|133|63|349|335|84|178|39|295|271|133|104|25|66|117|54|1|362|79|345|242|120|217|295|74|178|205|39|132|378|133|271|39|320|74|260|275|335|125|271|39|21|18|244|84|22|133|271|354|295|40|320|106|219|154
7,42103279963,ffn_moe_topk-8,actual,8,17,544,32,351|311|34|381|254|250|370|45|341|356|352|170|244|45|4|57|98|356|341|244|352|338|374|145|356|352|211|155|59|215|346|244|356|352|59|211|108|222|215|300|147|356|211|222|41|106|102|352|211|355|147|183|222|352|356|241|53|211|147|352|338|155|356|341|356|215|43|211|264|301|106|47|215|356|211|279|164|222|364|25|211|356|215|155|106|101|222|147|211|356|155|341|106|215|338|60|158|177|287|270|208|121|293|335|356|168|341|211|155|57|244|122|341|356|211|244|280|155|98|122|150|338|341|168|356|244|155|126|341|98|356|244|203|42|155|87
8,42104450808,ffn_moe_topk-9,actual,8,17,544,24,377|365|131|198|318|22|224|296|313|249|167|347|129|278|111|79|347|243|278|167|7|275|338|139|167|331|129|313|87|139|347|228|167|96|217|139|331|294|281|168|2|139|117|167|331|94|160|316|225|157|331|139|132|303|281|359|331|157|197|225|167|103|249|256|331|156|167|225|294|337|338|139|198|59|331|156|354|60|168|52|292|331|167|156|52|225|383|103|249|67|331|339|172|13|87|139|297|376|299|312|182|52|32|159|87|331|249|289|358|198|70|69|87|278|227|331|129|347|7|368|7|278|266|249|359|129|212|84|278|347|7|249|14|349|2|338
9,42105709288,ffn_moe_topk-10,actual,8,17,544,35,296|34|247|73|240|292|268|320|266|94|300|127|360|96|21|285|266|127|96|378|300|94|142|276|127|105|300|198|142|66|94|266|346|127|105|142|66|354|251|25|127|35|49|315|298|313|373|105|35|368|105|298|313|127|201|289|28|105|127|304|368|159|298|35|105|127|364|35|31|304|298|354|364|105|127|312|354|304|35|31|105|127|304|364|298|354|312|299|0|304|127|298|105|266|378|66|103|145|68|84|263|52|118|181|266|127|304|142|105|178|299|354|266|142|96|304|364|127|105|300|266|127|142|382|89|51|304|94|266|300|304|48|127|142|96|335
