rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,154,6307840,6307840,0x0,116,blk.1.ffn_down_exps.weight
2,154,4702208,11010048,0x0,116,blk.1.ffn_gate_exps.weight
3,154,4702208,15712256,0x0,116,blk.1.ffn_up_exps.weight
4,153,6307840,22020096,0x0,345,blk.2.ffn_down_exps.weight
5,153,5619712,27639808,0x0,345,blk.2.ffn_gate_exps.weight
6,153,5619712,33259520,0x0,345,blk.2.ffn_up_exps.weight
7,129,6307840,39567360,0x0,23,blk.1.ffn_down_exps.weight
8,129,4702208,44269568,0x0,23,blk.1.ffn_gate_exps.weight
9,129,4702208,48971776,0x0,23,blk.1.ffn_up_exps.weight
10,99,6307840,55279616,0x0,93,blk.1.ffn_down_exps.weight
11,99,4702208,59981824,0x0,93,blk.1.ffn_gate_exps.weight
12,99,4702208,64684032,0x0,93,blk.1.ffn_up_exps.weight
13,86,6307840,70991872,0x0,204,blk.2.ffn_down_exps.weight
14,86,5619712,76611584,0x0,204,blk.2.ffn_gate_exps.weight
15,86,5619712,82231296,0x0,204,blk.2.ffn_up_exps.weight
16,83,6307840,88539136,0x0,332,blk.2.ffn_down_exps.weight
17,83,5619712,94158848,0x0,332,blk.2.ffn_gate_exps.weight
18,83,5619712,99778560,0x0,332,blk.2.ffn_up_exps.weight
19,75,6307840,106086400,0x0,29,blk.2.ffn_down_exps.weight
20,75,5619712,111706112,0x0,29,blk.2.ffn_gate_exps.weight
21,75,5619712,117325824,0x0,29,blk.2.ffn_up_exps.weight
22,67,6307840,123633664,0x0,135,blk.2.ffn_down_exps.weight
23,67,5619712,129253376,0x0,135,blk.2.ffn_gate_exps.weight
24,67,5619712,134873088,0x0,135,blk.2.ffn_up_exps.weight
25,66,6307840,141180928,0x0,319,blk.1.ffn_down_exps.weight
26,66,4702208,145883136,0x0,319,blk.1.ffn_gate_exps.weight
27,66,4702208,150585344,0x0,319,blk.1.ffn_up_exps.weight
28,66,6307840,156893184,0x0,200,blk.2.ffn_down_exps.weight
29,66,5619712,162512896,0x0,200,blk.2.ffn_gate_exps.weight
30,66,5619712,168132608,0x0,200,blk.2.ffn_up_exps.weight
31,63,6307840,174440448,0x0,321,blk.1.ffn_down_exps.weight
32,63,4702208,179142656,0x0,321,blk.1.ffn_gate_exps.weight
33,63,4702208,183844864,0x0,321,blk.1.ffn_up_exps.weight
34,63,6307840,190152704,0x0,298,blk.2.ffn_down_exps.weight
35,63,5619712,195772416,0x0,298,blk.2.ffn_gate_exps.weight
36,63,5619712,201392128,0x0,298,blk.2.ffn_up_exps.weight
37,60,6307840,207699968,0x0,15,blk.2.ffn_down_exps.weight
38,60,5619712,213319680,0x0,15,blk.2.ffn_gate_exps.weight
39,60,5619712,218939392,0x0,15,blk.2.ffn_up_exps.weight
40,59,6307840,225247232,0x0,197,blk.1.ffn_down_exps.weight
41,59,4702208,229949440,0x0,197,blk.1.ffn_gate_exps.weight
42,59,4702208,234651648,0x0,197,blk.1.ffn_up_exps.weight
43,59,6307840,240959488,0x0,111,blk.2.ffn_down_exps.weight
44,59,5619712,246579200,0x0,111,blk.2.ffn_gate_exps.weight
45,59,5619712,252198912,0x0,111,blk.2.ffn_up_exps.weight
46,58,6307840,258506752,0x0,283,blk.2.ffn_down_exps.weight
47,58,5619712,264126464,0x0,283,blk.2.ffn_gate_exps.weight
48,58,5619712,269746176,0x0,283,blk.2.ffn_up_exps.weight
49,56,6307840,276054016,0x0,41,blk.1.ffn_down_exps.weight
50,56,4702208,280756224,0x0,41,blk.1.ffn_gate_exps.weight
51,56,4702208,285458432,0x0,41,blk.1.ffn_up_exps.weight
52,54,6307840,291766272,0x0,246,blk.2.ffn_down_exps.weight
53,54,6307840,298074112,0x0,326,blk.2.ffn_down_exps.weight
54,54,6307840,304381952,0x0,331,blk.2.ffn_down_exps.weight
55,54,5619712,310001664,0x0,246,blk.2.ffn_gate_exps.weight
56,54,5619712,315621376,0x0,326,blk.2.ffn_gate_exps.weight
57,54,5619712,321241088,0x0,331,blk.2.ffn_gate_exps.weight
58,54,5619712,326860800,0x0,246,blk.2.ffn_up_exps.weight
59,54,5619712,332480512,0x0,326,blk.2.ffn_up_exps.weight
60,54,5619712,338100224,0x0,331,blk.2.ffn_up_exps.weight
61,51,6307840,344408064,0x0,82,blk.1.ffn_down_exps.weight
62,51,4702208,349110272,0x0,82,blk.1.ffn_gate_exps.weight
63,51,4702208,353812480,0x0,82,blk.1.ffn_up_exps.weight
64,50,6307840,360120320,0x0,322,blk.2.ffn_down_exps.weight
65,50,5619712,365740032,0x0,322,blk.2.ffn_gate_exps.weight
66,50,5619712,371359744,0x0,322,blk.2.ffn_up_exps.weight
67,49,6307840,377667584,0x0,43,blk.1.ffn_down_exps.weight
68,49,6307840,383975424,0x0,114,blk.1.ffn_down_exps.weight
69,49,4702208,388677632,0x0,43,blk.1.ffn_gate_exps.weight
70,49,4702208,393379840,0x0,114,blk.1.ffn_gate_exps.weight
71,49,4702208,398082048,0x0,43,blk.1.ffn_up_exps.weight
72,49,4702208,402784256,0x0,114,blk.1.ffn_up_exps.weight
73,47,6307840,409092096,0x0,96,blk.2.ffn_down_exps.weight
74,47,6307840,415399936,0x0,376,blk.2.ffn_down_exps.weight
75,47,5619712,421019648,0x0,96,blk.2.ffn_gate_exps.weight
76,47,5619712,426639360,0x0,376,blk.2.ffn_gate_exps.weight
77,47,5619712,432259072,0x0,96,blk.2.ffn_up_exps.weight
78,47,5619712,437878784,0x0,376,blk.2.ffn_up_exps.weight
79,44,6307840,444186624,0x0,147,blk.1.ffn_down_exps.weight
80,44,4702208,448888832,0x0,147,blk.1.ffn_gate_exps.weight
81,44,4702208,453591040,0x0,147,blk.1.ffn_up_exps.weight
82,43,6307840,459898880,0x0,266,blk.2.ffn_down_exps.weight
83,43,5619712,465518592,0x0,266,blk.2.ffn_gate_exps.weight
84,43,5619712,471138304,0x0,266,blk.2.ffn_up_exps.weight
85,42,6307840,477446144,0x0,126,blk.2.ffn_down_exps.weight
86,42,5619712,483065856,0x0,126,blk.2.ffn_gate_exps.weight
87,42,5619712,488685568,0x0,126,blk.2.ffn_up_exps.weight
88,41,6307840,494993408,0x0,56,blk.1.ffn_down_exps.weight
89,41,6307840,501301248,0x0,302,blk.1.ffn_down_exps.weight
90,41,4702208,506003456,0x0,56,blk.1.ffn_gate_exps.weight
91,41,4702208,510705664,0x0,302,blk.1.ffn_gate_exps.weight
92,41,4702208,515407872,0x0,56,blk.1.ffn_up_exps.weight
93,41,4702208,520110080,0x0,302,blk.1.ffn_up_exps.weight
94,38,6307840,526417920,0x0,50,blk.2.ffn_down_exps.weight
95,38,5619712,532037632,0x0,50,blk.2.ffn_gate_exps.weight
96,38,5619712,537657344,0x0,50,blk.2.ffn_up_exps.weight
97,37,6307840,543965184,0x0,344,blk.1.ffn_down_exps.weight
98,37,4702208,548667392,0x0,344,blk.1.ffn_gate_exps.weight
99,37,4702208,553369600,0x0,344,blk.1.ffn_up_exps.weight
100,36,6307840,559677440,0x0,55,blk.1.ffn_down_exps.weight
101,36,4702208,564379648,0x0,55,blk.1.ffn_gate_exps.weight
102,36,4702208,569081856,0x0,55,blk.1.ffn_up_exps.weight
103,34,6307840,575389696,0x0,240,blk.2.ffn_down_exps.weight
104,34,5619712,581009408,0x0,240,blk.2.ffn_gate_exps.weight
105,34,5619712,586629120,0x0,240,blk.2.ffn_up_exps.weight
106,33,6307840,592936960,0x0,310,blk.1.ffn_down_exps.weight
107,33,4702208,597639168,0x0,310,blk.1.ffn_gate_exps.weight
108,33,4702208,602341376,0x0,310,blk.1.ffn_up_exps.weight
109,33,6307840,608649216,0x0,155,blk.2.ffn_down_exps.weight
110,33,6307840,614957056,0x0,160,blk.2.ffn_down_exps.weight
111,33,5619712,620576768,0x0,155,blk.2.ffn_gate_exps.weight
112,33,5619712,626196480,0x0,160,blk.2.ffn_gate_exps.weight
113,33,5619712,631816192,0x0,155,blk.2.ffn_up_exps.weight
114,33,5619712,637435904,0x0,160,blk.2.ffn_up_exps.weight
115,32,6307840,643743744,0x0,230,blk.1.ffn_down_exps.weight
116,32,4702208,648445952,0x0,230,blk.1.ffn_gate_exps.weight
117,32,4702208,653148160,0x0,230,blk.1.ffn_up_exps.weight
118,32,6307840,659456000,0x0,79,blk.2.ffn_down_exps.weight
119,32,6307840,665763840,0x0,206,blk.2.ffn_down_exps.weight
120,32,5619712,671383552,0x0,79,blk.2.ffn_gate_exps.weight
121,32,5619712,677003264,0x0,206,blk.2.ffn_gate_exps.weight
122,32,5619712,682622976,0x0,79,blk.2.ffn_up_exps.weight
123,32,5619712,688242688,0x0,206,blk.2.ffn_up_exps.weight
124,31,6307840,694550528,0x0,195,blk.1.ffn_down_exps.weight
125,31,4702208,699252736,0x0,195,blk.1.ffn_gate_exps.weight
126,31,4702208,703954944,0x0,195,blk.1.ffn_up_exps.weight
127,30,6307840,710262784,0x0,62,blk.1.ffn_down_exps.weight
128,30,6307840,716570624,0x0,128,blk.1.ffn_down_exps.weight
129,30,4702208,721272832,0x0,62,blk.1.ffn_gate_exps.weight
130,30,4702208,725975040,0x0,128,blk.1.ffn_gate_exps.weight
131,30,4702208,730677248,0x0,62,blk.1.ffn_up_exps.weight
132,30,4702208,735379456,0x0,128,blk.1.ffn_up_exps.weight
133,30,6307840,741687296,0x0,208,blk.2.ffn_down_exps.weight
134,30,6307840,747995136,0x0,229,blk.2.ffn_down_exps.weight
135,30,6307840,754302976,0x0,275,blk.2.ffn_down_exps.weight
136,30,6307840,760610816,0x0,286,blk.2.ffn_down_exps.weight
137,30,5619712,766230528,0x0,208,blk.2.ffn_gate_exps.weight
138,30,5619712,771850240,0x0,229,blk.2.ffn_gate_exps.weight
139,30,5619712,777469952,0x0,275,blk.2.ffn_gate_exps.weight
140,30,5619712,783089664,0x0,286,blk.2.ffn_gate_exps.weight
141,30,5619712,788709376,0x0,208,blk.2.ffn_up_exps.weight
142,30,5619712,794329088,0x0,229,blk.2.ffn_up_exps.weight
143,30,5619712,799948800,0x0,275,blk.2.ffn_up_exps.weight
144,30,5619712,805568512,0x0,286,blk.2.ffn_up_exps.weight
145,29,6307840,811876352,0x0,2,blk.1.ffn_down_exps.weight
146,29,6307840,818184192,0x0,19,blk.1.ffn_down_exps.weight
147,29,6307840,824492032,0x0,28,blk.1.ffn_down_exps.weight
148,29,6307840,830799872,0x0,265,blk.1.ffn_down_exps.weight
149,29,4702208,835502080,0x0,2,blk.1.ffn_gate_exps.weight
150,29,4702208,840204288,0x0,19,blk.1.ffn_gate_exps.weight
151,29,4702208,844906496,0x0,28,blk.1.ffn_gate_exps.weight
152,29,4702208,849608704,0x0,265,blk.1.ffn_gate_exps.weight
153,29,4702208,854310912,0x0,2,blk.1.ffn_up_exps.weight
154,29,4702208,859013120,0x0,19,blk.1.ffn_up_exps.weight
155,29,4702208,863715328,0x0,28,blk.1.ffn_up_exps.weight
156,29,4702208,868417536,0x0,265,blk.1.ffn_up_exps.weight
157,29,6307840,874725376,0x0,39,blk.2.ffn_down_exps.weight
158,29,6307840,881033216,0x0,56,blk.2.ffn_down_exps.weight
159,29,6307840,887341056,0x0,373,blk.2.ffn_down_exps.weight
160,29,5619712,892960768,0x0,39,blk.2.ffn_gate_exps.weight
161,29,5619712,898580480,0x0,56,blk.2.ffn_gate_exps.weight
162,29,5619712,904200192,0x0,373,blk.2.ffn_gate_exps.weight
163,29,5619712,909819904,0x0,39,blk.2.ffn_up_exps.weight
164,29,5619712,915439616,0x0,56,blk.2.ffn_up_exps.weight
165,29,5619712,921059328,0x0,373,blk.2.ffn_up_exps.weight
166,28,6307840,927367168,0x0,71,blk.1.ffn_down_exps.weight
167,28,4702208,932069376,0x0,71,blk.1.ffn_gate_exps.weight
168,28,4702208,936771584,0x0,71,blk.1.ffn_up_exps.weight
169,28,6307840,943079424,0x0,61,blk.2.ffn_down_exps.weight
170,28,6307840,949387264,0x0,113,blk.2.ffn_down_exps.weight
171,28,5619712,955006976,0x0,61,blk.2.ffn_gate_exps.weight
172,28,5619712,960626688,0x0,113,blk.2.ffn_gate_exps.weight
173,28,5619712,966246400,0x0,61,blk.2.ffn_up_exps.weight
174,28,5619712,971866112,0x0,113,blk.2.ffn_up_exps.weight
175,27,6307840,978173952,0x0,6,blk.1.ffn_down_exps.weight
176,27,6307840,984481792,0x0,60,blk.1.ffn_down_exps.weight
177,27,6307840,990789632,0x0,167,blk.1.ffn_down_exps.weight
178,27,6307840,997097472,0x0,175,blk.1.ffn_down_exps.weight
179,27,6307840,1003405312,0x0,256,blk.1.ffn_down_exps.weight
180,27,4702208,1008107520,0x0,6,blk.1.ffn_gate_exps.weight
181,27,4702208,1012809728,0x0,60,blk.1.ffn_gate_exps.weight
182,27,4702208,1017511936,0x0,167,blk.1.ffn_gate_exps.weight
183,27,4702208,1022214144,0x0,175,blk.1.ffn_gate_exps.weight
184,27,4702208,1026916352,0x0,256,blk.1.ffn_gate_exps.weight
185,27,4702208,1031618560,0x0,6,blk.1.ffn_up_exps.weight
186,27,4702208,1036320768,0x0,60,blk.1.ffn_up_exps.weight
187,27,4702208,1041022976,0x0,167,blk.1.ffn_up_exps.weight
188,27,4702208,1045725184,0x0,175,blk.1.ffn_up_exps.weight
189,27,4702208,1050427392,0x0,256,blk.1.ffn_up_exps.weight
190,27,6307840,1056735232,0x0,20,blk.2.ffn_down_exps.weight
191,27,6307840,1063043072,0x0,375,blk.2.ffn_down_exps.weight
192,27,5619712,1068662784,0x0,20,blk.2.ffn_gate_exps.weight
193,27,5619712,1074282496,0x0,375,blk.2.ffn_gate_exps.weight
194,27,5619712,1079902208,0x0,20,blk.2.ffn_up_exps.weight
195,27,5619712,1085521920,0x0,375,blk.2.ffn_up_exps.weight
196,26,6307840,1091829760,0x0,153,blk.1.ffn_down_exps.weight
197,26,6307840,1098137600,0x0,224,blk.1.ffn_down_exps.weight
198,26,6307840,1104445440,0x0,241,blk.1.ffn_down_exps.weight
199,26,4702208,1109147648,0x0,153,blk.1.ffn_gate_exps.weight
200,26,4702208,1113849856,0x0,224,blk.1.ffn_gate_exps.weight
201,26,4702208,1118552064,0x0,241,blk.1.ffn_gate_exps.weight
202,26,4702208,1123254272,0x0,153,blk.1.ffn_up_exps.weight
203,26,4702208,1127956480,0x0,224,blk.1.ffn_up_exps.weight
204,26,4702208,1132658688,0x0,241,blk.1.ffn_up_exps.weight
205,25,6307840,1138966528,0x0,144,blk.1.ffn_down_exps.weight
206,25,6307840,1145274368,0x0,306,blk.1.ffn_down_exps.weight
207,25,4702208,1149976576,0x0,144,blk.1.ffn_gate_exps.weight
208,25,4702208,1154678784,0x0,306,blk.1.ffn_gate_exps.weight
209,25,4702208,1159380992,0x0,144,blk.1.ffn_up_exps.weight
210,25,4702208,1164083200,0x0,306,blk.1.ffn_up_exps.weight
211,25,6307840,1170391040,0x0,248,blk.2.ffn_down_exps.weight
212,25,6307840,1176698880,0x0,265,blk.2.ffn_down_exps.weight
213,25,6307840,1183006720,0x0,303,blk.2.ffn_down_exps.weight
214,25,5619712,1188626432,0x0,248,blk.2.ffn_gate_exps.weight
215,25,5619712,1194246144,0x0,265,blk.2.ffn_gate_exps.weight
216,25,5619712,1199865856,0x0,303,blk.2.ffn_gate_exps.weight
217,25,5619712,1205485568,0x0,248,blk.2.ffn_up_exps.weight
218,25,5619712,1211105280,0x0,265,blk.2.ffn_up_exps.weight
219,25,5619712,1216724992,0x0,303,blk.2.ffn_up_exps.weight
220,24,6307840,1223032832,0x0,80,blk.1.ffn_down_exps.weight
221,24,6307840,1229340672,0x0,204,blk.1.ffn_down_exps.weight
222,24,6307840,1235648512,0x0,222,blk.1.ffn_down_exps.weight
223,24,6307840,1241956352,0x0,368,blk.1.ffn_down_exps.weight
224,24,4702208,1246658560,0x0,80,blk.1.ffn_gate_exps.weight
225,24,4702208,1251360768,0x0,204,blk.1.ffn_gate_exps.weight
226,24,4702208,1256062976,0x0,222,blk.1.ffn_gate_exps.weight
227,24,4702208,1260765184,0x0,368,blk.1.ffn_gate_exps.weight
228,24,4702208,1265467392,0x0,80,blk.1.ffn_up_exps.weight
229,24,4702208,1270169600,0x0,204,blk.1.ffn_up_exps.weight
230,24,4702208,1274871808,0x0,222,blk.1.ffn_up_exps.weight
231,24,4702208,1279574016,0x0,368,blk.1.ffn_up_exps.weight
232,23,6307840,1285881856,0x0,121,blk.1.ffn_down_exps.weight
233,23,6307840,1292189696,0x0,248,blk.1.ffn_down_exps.weight
234,23,4702208,1296891904,0x0,121,blk.1.ffn_gate_exps.weight
235,23,4702208,1301594112,0x0,248,blk.1.ffn_gate_exps.weight
236,23,4702208,1306296320,0x0,121,blk.1.ffn_up_exps.weight
237,23,4702208,1310998528,0x0,248,blk.1.ffn_up_exps.weight
238,23,6307840,1317306368,0x0,21,blk.2.ffn_down_exps.weight
239,23,6307840,1323614208,0x0,64,blk.2.ffn_down_exps.weight
240,23,6307840,1329922048,0x0,157,blk.2.ffn_down_exps.weight
241,23,6307840,1336229888,0x0,295,blk.2.ffn_down_exps.weight
242,23,6307840,1342537728,0x0,378,blk.2.ffn_down_exps.weight
243,23,5619712,1348157440,0x0,21,blk.2.ffn_gate_exps.weight
244,23,5619712,1353777152,0x0,64,blk.2.ffn_gate_exps.weight
245,23,5619712,1359396864,0x0,157,blk.2.ffn_gate_exps.weight
246,23,5619712,1365016576,0x0,295,blk.2.ffn_gate_exps.weight
247,23,5619712,1370636288,0x0,378,blk.2.ffn_gate_exps.weight
248,23,5619712,1376256000,0x0,21,blk.2.ffn_up_exps.weight
249,23,5619712,1381875712,0x0,64,blk.2.ffn_up_exps.weight
250,23,5619712,1387495424,0x0,157,blk.2.ffn_up_exps.weight
251,23,5619712,1393115136,0x0,295,blk.2.ffn_up_exps.weight
252,23,5619712,1398734848,0x0,378,blk.2.ffn_up_exps.weight
