layer,calls,wall_ms,stage_ms,kernel_ms,miss_per_call,staged_jobs_per_call
4,265,1517.104,1477.902,24.183,6.589,6.589
6,265,1495.320,1455.807,24.268,5.968,5.968
10,265,1479.099,1439.311,24.923,5.947,5.947
7,265,1476.494,1435.672,25.227,5.960,5.960
9,265,1439.190,1399.111,24.921,5.713,5.713
8,265,1390.872,1350.881,24.966,5.489,5.489
25,265,1344.492,1304.431,24.838,5.627,5.627
24,265,1337.743,1297.185,25.168,5.591,5.591
23,265,1320.829,1280.741,24.871,5.508,5.508
20,265,1316.988,1276.710,24.948,5.379,5.379
18,265,1314.515,1274.470,24.873,5.040,5.040
15,265,1312.056,1271.518,25.018,4.974,4.974
26,265,1301.792,1261.695,25.010,5.398,5.398
19,265,1288.171,1248.133,24.851,5.312,5.312
58,265,1286.469,1246.954,24.289,5.174,5.174
57,265,1285.703,1246.224,24.212,5.036,5.036
1,265,1277.874,1228.672,33.594,6.587,6.587
22,265,1258.816,1218.304,25.052,5.093,5.093
16,265,1256.153,1215.991,25.069,5.087,5.087
3,265,1253.623,1205.342,32.942,6.346,6.346
5,265,1250.948,1203.097,32.812,6.562,6.562
21,265,1249.144,1208.916,25.000,5.150,5.150
2,265,1228.611,1180.545,32.834,6.178,6.178
60,268,1182.479,1133.851,33.167,5.631,5.631
12,265,1178.122,1129.840,33.470,5.685,5.685
59,265,1130.312,1082.240,32.821,5.347,5.347
27,265,1102.202,1054.029,33.377,5.398,5.398
17,265,1092.862,1044.591,33.434,5.028,5.028
11,265,1091.122,1042.646,33.437,5.114,5.114
13,265,1057.516,1009.119,33.411,5.018,5.018
56,265,1040.163,992.540,32.883,4.768,4.768
47,265,166.586,115.829,34.619,0.000,0.000
29,265,154.848,104.043,34.778,0.000,0.000
43,265,149.876,99.915,34.336,0.000,0.000
52,265,149.853,99.450,34.572,0.000,0.000
28,265,149.700,99.172,34.529,0.000,0.000
51,265,149.499,99.470,34.369,0.000,0.000
53,265,149.039,97.699,34.507,0.000,0.000
54,265,147.639,97.489,34.594,0.000,0.000
50,265,146.391,95.788,34.706,0.000,0.000
55,265,146.295,96.060,34.501,0.000,0.000
48,265,146.172,95.561,34.693,0.000,0.000
33,265,145.568,95.019,34.411,0.000,0.000
31,265,144.381,94.281,34.493,0.000,0.000
45,265,144.245,93.923,34.446,0.000,0.000
49,265,143.711,93.937,34.351,0.000,0.000
30,265,143.007,92.050,34.681,0.000,0.000
44,265,142.284,92.730,34.359,0.000,0.000
36,265,141.324,91.069,34.468,0.000,0.000
46,265,140.359,90.104,34.676,0.000,0.000
32,265,139.913,89.526,34.543,0.000,0.000
42,265,139.824,89.772,34.482,0.000,0.000
41,265,138.668,88.465,34.391,0.000,0.000
39,265,138.320,88.231,34.265,0.000,0.000
40,265,137.368,87.628,34.253,0.000,0.000
38,265,136.994,86.883,34.298,0.000,0.000
34,265,136.330,86.188,34.417,0.000,0.000
14,265,132.161,81.571,34.761,0.000,0.000
37,265,131.716,82.181,34.101,0.000,0.000
35,265,131.337,81.158,34.515,0.000,0.000
