layer,calls,wall_ms,wait_ms,stage_ms,kernel_ms,up_miss_per_call,gate_miss_per_call,avg_stage_jobs
14,265,2417.370,1531.553,11.106,1574.920,4.094,4.094,8.189
29,265,2386.450,1418.192,11.632,1461.802,4.896,4.896,9.793
28,265,2367.113,1433.013,11.132,1476.693,4.878,4.878,9.756
54,265,2347.110,1492.539,11.403,1538.799,4.090,4.086,8.176
30,265,2305.324,1387.932,11.199,1431.750,4.659,4.659,9.318
33,265,2274.659,1380.018,11.728,1423.185,4.543,4.543,9.086
31,265,2267.875,1378.964,11.969,1422.364,4.482,4.487,8.969
32,265,2257.772,1345.205,11.242,1387.999,4.489,4.489,8.978
48,265,2251.466,1370.526,11.768,1413.699,4.336,4.336,8.672
52,265,2226.637,1327.941,11.318,1371.257,4.356,4.356,8.712
51,265,2213.934,1331.674,11.245,1377.597,4.275,4.279,8.554
53,265,2207.497,1339.601,11.325,1385.681,4.300,4.300,8.599
36,265,2196.061,1331.244,11.224,1374.412,4.328,4.321,8.649
34,265,2182.763,1306.748,11.410,1350.098,4.133,4.133,8.265
55,265,2182.692,1313.239,11.296,1357.980,4.267,4.267,8.535
50,265,2114.603,1268.239,11.277,1310.666,3.955,3.955,7.910
43,265,2107.570,1258.416,11.304,1301.693,3.946,3.946,7.891
38,265,2091.410,1251.151,11.338,1293.761,3.915,3.915,7.830
49,265,2088.480,1265.089,11.341,1307.481,3.913,3.913,7.826
44,265,2081.556,1244.118,11.261,1286.918,3.866,3.866,7.733
5,265,2074.681,0.000,12.198,2049.577,5.837,5.837,11.675
4,265,2046.188,0.000,12.381,2020.896,5.688,5.680,11.368
39,265,2042.841,1229.300,11.215,1271.959,3.689,3.689,7.379
45,265,2041.962,1230.231,11.210,1273.241,3.772,3.772,7.545
47,265,2029.443,1217.514,11.260,1260.217,3.775,3.775,7.549
41,265,2024.144,1206.274,11.403,1250.102,3.680,3.680,7.360
40,265,2023.886,1193.698,11.475,1236.984,3.574,3.574,7.147
3,265,2011.667,0.000,12.312,1986.112,5.482,5.482,10.963
46,265,1994.291,1185.141,11.088,1227.523,3.621,3.621,7.242
1,265,1984.692,1922.986,11.941,1957.611,5.580,5.580,11.160
60,268,1981.344,0.000,13.008,1954.671,4.947,4.954,9.901
35,265,1980.528,1169.417,11.303,1211.656,3.639,3.647,7.286
42,265,1965.291,1179.926,11.256,1222.690,3.527,3.527,7.054
2,265,1944.236,0.000,12.239,1918.880,5.010,5.010,10.020
37,265,1931.597,1142.697,11.247,1184.920,3.492,3.492,6.983
6,265,1889.433,0.000,12.134,1864.236,5.004,5.004,10.007
59,265,1846.126,0.000,12.445,1820.110,4.613,4.613,9.226
58,265,1801.888,0.000,12.294,1776.414,4.472,4.472,8.945
57,265,1746.071,0.000,12.184,1720.775,4.324,4.324,8.647
56,265,1675.081,0.000,12.054,1650.330,4.010,4.025,8.036
9,265,1514.484,1459.251,11.077,1489.416,4.928,4.936,9.865
7,265,1475.517,1419.345,11.153,1449.767,4.858,4.858,9.716
10,265,1446.798,1387.628,11.028,1421.935,5.149,5.145,10.294
8,265,1445.854,1390.250,11.099,1420.777,4.602,4.602,9.204
12,265,1436.338,1376.928,11.231,1410.764,4.916,4.916,9.832
25,265,1383.095,1324.463,11.051,1358.047,4.817,4.817,9.635
24,265,1371.358,1312.095,11.314,1346.078,4.712,4.715,9.427
26,265,1364.483,1305.023,11.388,1339.135,4.637,4.637,9.274
23,265,1341.102,1280.723,11.063,1314.397,4.518,4.518,9.036
27,265,1335.741,1276.380,11.296,1310.333,4.577,4.577,9.155
20,265,1335.344,1274.456,11.317,1309.862,4.452,4.452,8.903
19,265,1295.153,1236.080,11.223,1269.970,4.370,4.370,8.740
11,265,1281.531,1222.018,11.285,1256.369,4.262,4.262,8.524
18,265,1279.787,1219.897,11.265,1254.268,4.078,4.071,8.148
16,265,1272.593,1213.408,11.388,1247.290,4.206,4.206,8.411
15,265,1270.738,1211.532,11.342,1245.419,4.165,4.165,8.331
17,265,1264.508,1205.141,11.423,1239.007,4.183,4.173,8.356
22,265,1255.293,1195.862,11.237,1229.831,4.091,4.091,8.182
21,265,1246.383,1187.589,11.038,1221.147,4.153,4.153,8.305
13,265,1202.508,1142.755,11.323,1176.891,3.934,3.934,7.867
