layer,role,prompts,calls,wall_ms,ms_per_token,stage_ms,stage_ms_per_token,kernel_ms,wait_ms,hits,misses,hit_rate,staged_jobs,unique_experts,observed_mib,route_hits,ideal_tok_s_if_removed
14,upgate,3,265,2417.370,9.122,11.106,0.042,1574.920,2724.916,2070,2170,48.82,2170,468,2303.44,4992,1.638
29,upgate,3,265,2386.450,9.005,11.632,0.044,1461.802,2702.995,1658,2582,39.10,2582,494,2431.41,4992,1.638
28,upgate,3,265,2367.113,8.933,11.132,0.042,1476.693,2733.355,1658,2582,39.10,2582,486,2392.03,4992,1.638
54,upgate,3,265,2347.110,8.857,11.403,0.043,1538.799,2665.245,2065,2175,48.70,2175,556,2736.56,4992,1.637
30,upgate,3,265,2305.324,8.699,11.199,0.042,1431.750,2648.035,1774,2466,41.84,2466,482,2372.34,4992,1.637
33,upgate,3,265,2274.659,8.584,11.728,0.044,1423.185,2641.918,1840,2400,43.40,2400,484,2382.19,4992,1.637
31,upgate,3,265,2267.875,8.558,11.969,0.045,1422.364,2636.297,1869,2371,44.08,2371,472,2323.12,4992,1.637
32,upgate,3,265,2257.772,8.520,11.242,0.042,1387.999,2571.128,1862,2378,43.92,2378,484,2382.19,4992,1.637
48,upgate,3,265,2251.466,8.496,11.768,0.044,1413.699,2617.473,1944,2296,45.85,2296,528,2598.75,4992,1.636
52,upgate,3,265,2226.637,8.402,11.318,0.043,1371.257,2535.443,1932,2308,45.57,2308,536,2638.12,4992,1.636
51,upgate,3,265,2213.934,8.354,11.245,0.042,1377.597,2537.644,1981,2259,46.72,2259,506,2490.47,4992,1.636
53,upgate,3,265,2207.497,8.330,11.325,0.043,1385.681,2561.459,1960,2280,46.23,2280,546,2687.34,4992,1.636
36,upgate,3,265,2196.061,8.287,11.224,0.042,1374.412,2556.294,1948,2292,45.94,2292,484,2382.19,4992,1.636
34,upgate,3,265,2182.763,8.237,11.410,0.043,1350.098,2501.565,2044,2196,48.21,2196,466,2293.59,4992,1.636
55,upgate,3,265,2182.692,8.237,11.296,0.043,1357.980,2507.073,1986,2254,46.84,2254,538,2647.97,4992,1.636
50,upgate,3,265,2114.603,7.980,11.277,0.043,1310.666,2428.494,2142,2098,50.52,2098,510,2510.16,4992,1.635
43,upgate,3,265,2107.570,7.953,11.304,0.043,1301.693,2399.421,2142,2098,50.52,2098,506,2490.47,4992,1.635
38,upgate,3,265,2091.410,7.892,11.338,0.043,1293.761,2392.228,2162,2078,50.99,2078,452,2224.69,4992,1.635
49,upgate,3,265,2088.480,7.881,11.341,0.043,1307.481,2426.529,2162,2078,50.99,2078,534,2628.28,4992,1.635
44,upgate,3,265,2081.556,7.855,11.261,0.042,1286.918,2376.350,2182,2058,51.46,2058,514,2529.84,4992,1.635
5,upgate,3,265,2074.681,7.829,12.198,0.046,2049.577,0.000,1148,3092,27.08,3092,528,2829.75,4992,1.635
4,upgate,3,265,2046.188,7.721,12.381,0.047,2020.896,0.000,1228,3012,28.96,3012,554,2969.09,4992,1.634
39,upgate,3,265,2042.841,7.709,11.215,0.042,1271.959,2352.060,2282,1958,53.82,1958,470,2313.28,4992,1.634
45,upgate,3,265,2041.962,7.706,11.210,0.042,1273.241,2350.461,2238,2002,52.78,2002,512,2520.00,4992,1.634
47,upgate,3,265,2029.443,7.658,11.260,0.042,1260.217,2327.313,2240,2000,52.83,2000,496,2441.25,4992,1.634
41,upgate,3,265,2024.144,7.638,11.403,0.043,1250.102,2299.450,2292,1948,54.06,1948,486,2392.03,4992,1.634
40,upgate,3,265,2023.886,7.637,11.475,0.043,1236.984,2277.773,2340,1900,55.19,1900,472,2323.12,4992,1.634
3,upgate,3,265,2011.667,7.591,12.312,0.046,1986.112,0.000,1338,2902,31.56,2902,578,3097.72,4992,1.634
46,upgate,3,265,1994.291,7.526,11.088,0.042,1227.523,2261.263,2314,1926,54.58,1926,486,2392.03,4992,1.634
1,upgate,3,265,1984.692,7.489,11.941,0.045,1957.611,3677.522,1284,2956,30.28,2956,530,2376.72,4992,1.634
60,upgate,3,268,1981.344,7.477,13.008,0.049,1954.671,0.000,1634,2654,38.11,2654,520,2786.88,4288,1.634
35,upgate,3,265,1980.528,7.474,11.303,0.043,1211.656,2232.751,2304,1936,54.34,1936,468,2303.44,4992,1.634
42,upgate,3,265,1965.291,7.416,11.256,0.042,1222.690,2257.577,2376,1864,56.04,1864,466,2293.59,4992,1.634
2,upgate,3,265,1944.237,7.337,12.239,0.046,1918.880,0.000,1582,2658,37.31,2658,512,2744.00,4992,1.633
37,upgate,3,265,1931.597,7.289,11.247,0.042,1184.920,2189.214,2390,1850,56.37,1850,414,2037.66,4992,1.633
6,upgate,3,265,1889.433,7.130,12.134,0.046,1864.236,0.000,1586,2654,37.41,2654,490,2626.09,4992,1.633
59,upgate,3,265,1846.126,6.967,12.445,0.047,1820.110,0.000,1786,2454,42.12,2454,574,3076.28,4992,1.632
58,upgate,3,265,1801.888,6.800,12.294,0.046,1776.414,0.000,1862,2378,43.92,2378,558,2990.53,4992,1.632
57,upgate,3,265,1746.071,6.589,12.184,0.046,1720.775,0.000,1944,2296,45.85,2296,536,2872.62,4992,1.631
56,upgate,3,265,1675.081,6.321,12.054,0.045,1650.330,0.000,2104,2136,49.62,2136,548,2936.94,4992,1.631
4,down,3,265,1517.104,5.725,1477.902,5.577,24.183,0.000,373,1747,17.59,1747,277,2060.19,2496,1.629
9,upgate,3,265,1514.484,5.715,11.077,0.042,1489.416,2855.524,1626,2614,38.35,2614,564,2775.94,4992,1.629
6,down,3,265,1495.320,5.643,1455.807,5.494,24.268,0.000,538,1582,25.38,1582,245,1929.38,2496,1.629
10,down,3,265,1479.099,5.582,1439.311,5.431,24.923,0.000,549,1571,25.90,1571,262,2063.25,2496,1.629
7,down,3,265,1476.494,5.572,1435.672,5.418,25.227,0.000,542,1578,25.57,1578,257,2023.88,2496,1.629
7,upgate,3,265,1475.517,5.568,11.153,0.042,1449.767,2776.053,1670,2570,39.39,2570,514,2529.84,4992,1.629
10,upgate,3,265,1446.798,5.460,11.028,0.042,1421.935,2709.549,1525,2715,35.97,2715,524,2349.81,4992,1.628
8,upgate,3,265,1445.854,5.456,11.099,0.042,1420.777,2722.783,1808,2432,42.64,2432,496,2441.25,4992,1.628
9,down,3,265,1439.190,5.431,1399.111,5.280,24.921,0.000,607,1513,28.63,1513,282,2220.75,2496,1.628
12,upgate,3,265,1436.338,5.420,11.231,0.042,1410.764,2691.025,1638,2602,38.63,2602,520,2331.88,4992,1.628
8,down,3,265,1390.872,5.249,1350.881,5.098,24.966,0.000,668,1452,31.51,1452,248,1953.00,2496,1.628
25,upgate,3,265,1383.095,5.219,11.051,0.042,1358.047,2578.620,1696,2544,40.00,2544,468,2098.69,4992,1.628
