kind,name,layer,role,source_idx,offset_start,offset_end,entries,resident_mib,read_gib,prompts,prompt_coverage,rows,hit_batches,dominant_batches,ram_only_batches,mixed_risk_batches,proportional_wait_ms,full_or_dominant_wait_ms,wait_ms_per_gib_resident,read_gib_per_gib_resident,vram_overlap_entries,vram_overlap_mib,resident_after_vram_overlap_mib,proportional_wait_ms_per_token,full_or_dominant_wait_ms_per_token
contig_window,src0.gate.win512MiB.rank1,mixed,gate,0,74065498112,74070200320,1,4.48,0.044,2,1.000,9,9,0,0,9,5.271,0.000,1203.635,10.000,1,4.48,0.00,0.085,0.000
contig_window,src0.gate.win1024MiB.rank1,mixed,gate,0,74065498112,74070200320,1,4.48,0.044,2,1.000,9,9,0,0,9,5.271,0.000,1203.635,10.000,1,4.48,0.00,0.085,0.000
contig_window,src0.up.win512MiB.rank1,mixed,up,0,73289633792,73294336000,1,4.48,0.044,2,1.000,9,9,0,0,9,5.248,0.000,1198.349,10.000,1,4.48,0.00,0.085,0.000
contig_window,src0.up.win1024MiB.rank1,mixed,up,0,73289633792,73294336000,1,4.48,0.044,2,1.000,9,9,0,0,9,5.248,0.000,1198.349,10.000,1,4.48,0.00,0.085,0.000
contig_window,src0.gate.win512MiB.rank2,mixed,gate,0,40416612352,40421314560,1,4.48,0.031,2,1.000,6,6,0,0,6,4.172,0.000,952.645,7.000,0,0.00,4.48,0.067,0.000
contig_window,src0.gate.win1024MiB.rank2,mixed,gate,0,40416612352,40421314560,1,4.48,0.031,2,1.000,6,6,0,0,6,4.172,0.000,952.645,7.000,0,0.00,4.48,0.067,0.000
contig_window,src0.down.win512MiB.rank1,mixed,down,0,57852170240,57859969024,1,7.44,0.087,2,1.000,11,11,0,0,11,6.783,0.000,933.880,12.000,1,7.44,0.00,0.109,0.000
contig_window,src0.down.win1024MiB.rank1,mixed,down,0,57852170240,57859969024,1,7.44,0.087,2,1.000,11,11,0,0,11,6.783,0.000,933.880,12.000,1,7.44,0.00,0.109,0.000
contig_window,src0.up.win512MiB.rank2,mixed,up,0,39650152448,39654854656,1,4.48,0.031,2,1.000,6,6,0,0,6,3.999,0.000,913.069,7.000,0,0.00,4.48,0.065,0.000
contig_window,src0.up.win1024MiB.rank2,mixed,up,0,39650152448,39654854656,1,4.48,0.031,2,1.000,6,6,0,0,6,3.999,0.000,913.069,7.000,0,0.00,4.48,0.065,0.000
contig_window,src0.gate.win512MiB.rank3,mixed,gate,0,57124933632,57129635840,1,4.48,0.031,2,1.000,6,6,0,0,6,3.719,0.000,849.293,7.000,1,4.48,0.00,0.060,0.000
contig_window,src0.gate.win1024MiB.rank3,mixed,gate,0,57124933632,57129635840,1,4.48,0.031,2,1.000,6,6,0,0,6,3.719,0.000,849.293,7.000,1,4.48,0.00,0.060,0.000
contig_window,src0.up.win512MiB.rank3,mixed,up,0,56400793600,56405495808,1,4.48,0.031,2,1.000,6,6,0,0,6,3.667,0.000,837.406,7.000,1,4.48,0.00,0.059,0.000
contig_window,src0.up.win1024MiB.rank3,mixed,up,0,56400793600,56405495808,1,4.48,0.031,2,1.000,6,6,0,0,6,3.667,0.000,837.406,7.000,1,4.48,0.00,0.059,0.000
contig_window,src0.up.win2048MiB.rank1,mixed,up,0,56400793600,56405495808,1,4.48,0.031,2,1.000,6,6,0,0,6,3.667,0.000,837.406,7.000,1,4.48,0.00,0.059,0.000
