layer,calls,wall_ms,stage_ms,kernel_ms,miss_per_call,staged_jobs_per_call
4,85,505.330,491.969,8.141,6.541,6.541
10,85,492.885,479.449,8.302,6.188,6.188
7,85,484.203,470.627,8.487,6.024,6.024
6,85,483.376,470.237,8.215,5.941,5.941
9,85,477.747,464.282,8.320,5.765,5.765
18,85,472.949,458.553,8.333,5.165,5.165
24,85,469.402,456.033,8.322,5.824,5.824
8,85,463.049,449.650,8.337,5.624,5.624
25,85,450.740,437.427,8.273,5.788,5.788
23,85,445.498,432.000,8.460,5.694,5.694
20,85,440.284,426.408,8.406,5.600,5.600
19,85,431.097,417.648,8.328,5.341,5.341
16,85,428.650,415.274,8.351,5.235,5.235
15,85,427.616,414.157,8.392,5.024,5.024
1,85,426.810,410.674,11.067,6.612,6.612
22,85,424.551,411.172,8.319,5.282,5.282
21,85,421.864,408.478,8.262,5.282,5.282
58,85,420.853,407.881,8.043,4.976,4.976
57,85,418.317,404.980,8.192,4.918,4.918
26,85,417.113,403.498,8.243,5.224,5.224
5,85,417.079,401.246,10.885,6.565,6.565
3,85,414.945,399.086,10.832,6.329,6.329
2,85,399.090,383.178,10.814,5.988,5.988
60,86,397.894,380.767,11.980,5.535,5.535
12,85,396.583,380.532,11.029,5.706,5.706
17,85,378.646,362.703,11.033,5.247,5.247
59,85,368.586,352.539,10.977,4.988,4.988
27,85,360.328,344.396,11.020,5.365,5.365
11,85,350.171,334.243,11.080,5.118,5.118
56,85,340.465,324.522,10.949,4.541,4.541
13,85,340.108,324.163,10.975,5.000,5.000
33,85,57.932,31.021,18.798,0.000,0.000
47,85,57.909,41.186,11.042,0.000,0.000
46,85,56.423,39.983,11.081,0.000,0.000
51,85,50.663,34.169,11.053,0.000,0.000
52,85,48.830,32.186,11.082,0.000,0.000
29,85,48.392,31.501,11.214,0.000,0.000
53,85,48.371,31.696,11.118,0.000,0.000
31,85,47.872,30.891,11.096,0.000,0.000
45,85,47.661,31.280,11.125,0.000,0.000
48,85,47.604,31.056,11.108,0.000,0.000
55,85,47.459,31.012,11.224,0.000,0.000
54,85,47.092,30.609,11.212,0.000,0.000
28,85,46.948,30.463,11.130,0.000,0.000
50,85,46.935,30.567,11.112,0.000,0.000
30,85,46.540,30.040,11.081,0.000,0.000
49,85,46.076,29.401,11.263,0.000,0.000
44,85,45.690,29.481,11.059,0.000,0.000
32,85,45.651,29.008,11.249,0.000,0.000
42,85,45.613,29.216,11.127,0.000,0.000
43,85,45.182,28.788,11.069,0.000,0.000
36,85,44.713,28.105,11.081,0.000,0.000
41,85,44.246,27.937,11.028,0.000,0.000
40,85,43.917,27.635,11.023,0.000,0.000
38,85,43.691,27.125,11.269,0.000,0.000
34,85,43.295,26.745,11.110,0.000,0.000
37,85,43.194,26.902,11.006,0.000,0.000
14,85,43.056,26.719,11.055,0.000,0.000
39,85,42.741,26.508,11.069,0.000,0.000
35,85,41.140,24.804,11.080,0.000,0.000
