layer,calls,wall_ms,wait_ms,stage_ms,kernel_ms,up_miss_per_call,gate_miss_per_call,avg_stage_jobs
29,85,854.252,484.685,3.232,501.791,5.224,5.224,10.447
14,85,834.170,513.356,3.171,530.141,4.094,4.094,8.188
33,85,827.266,483.011,3.326,499.992,4.741,4.741,9.482
51,85,826.527,471.318,3.327,488.449,4.471,4.471,8.941
28,85,825.530,470.502,3.188,487.991,4.965,4.965,9.929
54,85,816.138,503.089,3.333,519.689,3.882,3.882,7.765
30,85,804.599,458.359,3.393,475.632,4.741,4.741,9.482
55,85,798.142,459.137,4.365,476.615,4.459,4.459,8.918
32,85,794.507,445.210,3.334,461.999,4.518,4.518,9.035
31,85,791.405,451.778,3.351,468.791,4.624,4.635,9.259
48,85,790.838,452.477,3.472,469.301,4.388,4.388,8.776
52,85,790.777,457.835,3.578,474.730,4.376,4.376,8.753
36,85,773.870,444.217,3.262,461.159,4.329,4.318,8.647
53,85,757.435,439.638,3.410,456.744,4.271,4.271,8.541
43,85,738.380,421.785,3.285,438.556,3.776,3.776,7.553
34,85,731.764,416.115,3.284,432.866,3.988,3.988,7.976
50,85,729.069,410.739,3.470,427.315,3.906,3.906,7.812
47,85,718.276,416.293,3.339,432.693,3.788,3.788,7.576
41,85,715.435,405.230,3.300,421.710,3.741,3.741,7.482
38,85,714.238,406.247,3.324,422.651,3.835,3.835,7.671
44,85,710.808,401.393,3.584,418.613,3.647,3.647,7.294
45,85,699.896,402.843,3.241,419.236,3.706,3.706,7.412
49,85,697.915,401.022,3.368,417.401,3.812,3.812,7.624
42,85,697.553,395.553,3.312,412.014,3.659,3.659,7.318
5,85,693.839,0.000,3.530,685.964,5.882,5.882,11.765
39,85,691.474,389.010,3.359,405.308,3.624,3.624,7.247
3,85,682.593,0.000,3.548,674.745,5.565,5.565,11.129
40,85,682.380,379.994,3.380,396.271,3.424,3.424,6.847
4,85,676.178,0.000,3.484,668.375,5.706,5.694,11.400
46,85,675.977,382.186,3.261,398.391,3.447,3.447,6.894
37,85,675.383,381.249,3.348,397.290,3.506,3.506,7.012
60,86,672.443,0.000,3.623,664.296,4.930,4.942,9.872
1,85,670.805,651.025,3.530,662.371,5.612,5.612,11.224
35,85,662.031,368.940,3.431,385.303,3.506,3.518,7.024
2,85,631.429,0.000,3.534,623.548,4.941,4.941,9.882
59,85,618.520,0.000,4.425,609.710,4.388,4.388,8.776
6,85,616.645,0.000,3.427,608.894,4.953,4.953,9.906
58,85,587.470,0.000,3.497,579.567,4.282,4.282,8.565
57,85,577.607,0.000,3.471,569.821,4.212,4.212,8.424
56,85,561.125,0.000,3.487,553.334,3.847,3.859,7.706
10,85,491.736,469.767,3.303,483.788,5.471,5.471,10.941
9,85,490.041,471.921,3.175,482.309,4.929,4.941,9.871
7,85,487.676,469.537,3.171,479.823,4.976,4.976,9.953
8,85,478.531,460.432,3.167,470.709,4.776,4.776,9.553
24,85,470.554,451.674,3.262,462.721,4.941,4.941,9.882
25,85,466.637,447.567,3.276,458.818,5.047,5.047,10.094
12,85,465.958,446.796,3.202,458.128,5.000,5.000,10.000
18,85,464.868,445.688,3.239,457.005,4.306,4.306,8.612
20,85,451.132,432.049,3.336,443.206,4.635,4.635,9.271
23,85,442.072,423.135,3.238,434.260,4.682,4.682,9.365
16,85,432.687,413.684,3.217,424.885,4.329,4.329,8.659
19,85,431.498,412.695,3.303,423.732,4.424,4.424,8.847
27,85,431.012,412.038,3.194,423.199,4.576,4.576,9.153
17,85,429.811,410.790,3.201,422.085,4.412,4.412,8.824
26,85,427.900,409.190,3.156,420.216,4.529,4.529,9.059
11,85,419.966,399.602,3.375,411.889,4.235,4.235,8.471
22,85,418.710,399.899,3.213,410.983,4.294,4.294,8.588
15,85,416.935,398.015,3.230,409.199,4.306,4.306,8.612
21,85,413.484,394.356,3.331,405.618,4.224,4.224,8.447
13,85,392.273,373.299,3.317,384.363,3.953,3.953,7.906
