op,role,layer,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,gate,1,85,477,477,5.6117647058823525,3.9806479350104818,8,341.7739220000001,418.7505670000001,0.7165071740041931,0.29411764705882354,1.0
runtime_load,up,1,85,477,477,5.6117647058823525,3.7094489161425566,8,338.67690899999997,397.244468,0.7100144842767295,0.29411764705882354,1.0
runtime_load,down,4,85,556,556,6.541176470588235,4.163493482014387,8,324.6405159999999,337.283941,0.5838858201438847,0.07058823529411765,1.0
runtime_load,down,7,85,512,512,6.023529411764706,4.021656449218749,8,324.27017300000006,335.9547000000001,0.6333401816406251,0.16470588235294117,1.0
runtime_load,down,10,85,526,526,6.188235294117647,4.046184134980988,8,324.0668819999999,334.8378049999999,0.6160967338403041,0.10588235294117647,1.0
runtime_load,down,6,85,505,505,5.9411764705882355,4.077637912871287,8,319.6455949999998,330.9254519999999,0.6329615742574253,0.15294117647058825,1.0
runtime_load,gate,29,85,444,444,5.223529411764706,3.9665111689189185,8,314.489571,325.18812900000006,0.7083098445945947,0.32941176470588235,1.0
runtime_load,down,9,85,490,490,5.764705882352941,3.948279885714286,8,312.79479999999995,323.25326500000006,0.6383567346938774,0.21176470588235294,1.0
runtime_load,down,8,85,478,478,5.623529411764705,3.807845175732217,8,309.13139900000016,319.95617399999986,0.6467184079497911,0.2235294117647059,1.0
runtime_load,up,7,85,423,423,4.976470588235294,3.6141562411347516,8,302.40138499999995,314.2068279999999,0.714896891252955,0.4235294117647059,1.0
runtime_load,up,9,85,419,419,4.929411764705883,3.474860770883055,8,301.004515,311.58640699999995,0.7183878639618139,0.4,1.0
runtime_load,up,29,85,444,444,5.223529411764706,3.412789599099099,8,300.63758999999993,311.2228779999999,0.6771116891891891,0.32941176470588235,1.0
runtime_load,down,25,85,492,492,5.788235294117647,3.756586315040651,8,299.84683299999983,310.2041040000001,0.6094447825203249,0.2,1.0
runtime_load,gate,9,85,420,420,4.9411764705882355,3.4395975047619056,8,293.17047,304.5160819999999,0.6980249285714286,0.4,1.0
runtime_load,gate,7,85,423,423,4.976470588235294,3.556974004728132,8,293.14145300000007,305.365773,0.6930057990543737,0.4235294117647059,1.0
runtime_load,gate,28,85,422,422,4.964705882352941,3.850315973933649,8,292.08695700000004,302.450019,0.6921491872037916,0.3058823529411765,1.0
runtime_load,down,24,85,495,495,5.823529411764706,3.81638286060606,8,290.98796000000004,301.6408430000001,0.5878544646464647,0.2235294117647059,1.0
