layer,calls,wall_ms,stage_ms,kernel_ms,miss_per_call,staged_jobs_per_call
4,180,1079.671,1051.683,17.173,6.613,6.613
6,180,1053.661,1025.010,17.685,5.981,5.981
7,180,1040.326,1011.622,17.662,5.928,5.928
10,180,1021.811,993.070,17.585,5.826,5.826
9,180,1015.287,986.339,17.814,5.688,5.688
8,180,974.872,946.259,17.816,5.422,5.422
25,180,938.008,909.620,17.684,5.547,5.547
58,180,933.334,905.442,17.099,5.272,5.272
24,180,932.927,904.313,17.857,5.475,5.475
26,180,932.819,904.166,17.630,5.485,5.485
57,180,929.448,900.418,17.368,5.096,5.096
15,180,921.247,892.448,17.782,4.949,4.949
1,180,919.649,885.075,23.492,6.574,6.574
23,180,917.882,889.456,17.782,5.415,5.415
20,180,907.954,879.606,17.593,5.268,5.268
3,180,906.423,872.213,23.087,6.354,6.354
5,180,905.777,871.167,23.153,6.561,6.561
18,180,901.076,872.680,17.560,4.977,4.977
19,180,899.993,871.691,17.561,5.297,5.297
2,180,887.323,853.192,23.022,6.273,6.273
16,180,884.631,856.319,17.714,5.012,5.012
60,182,881.976,846.919,23.247,5.679,5.679
22,180,877.969,849.614,17.583,4.999,4.999
21,180,863.567,835.119,17.677,5.083,5.083
59,180,846.394,812.019,23.078,5.526,5.526
12,180,821.369,786.776,23.662,5.674,5.674
27,180,785.639,751.418,23.624,5.414,5.414
56,180,761.448,727.200,23.143,4.881,4.881
11,180,759.249,724.853,23.471,5.111,5.111
17,180,755.818,721.822,23.487,4.918,4.918
13,180,753.426,719.209,23.485,5.026,5.026
47,180,111.677,76.518,23.423,0.000,0.000
43,180,111.301,76.162,23.682,0.000,0.000
54,180,109.062,72.237,23.606,0.000,0.000
52,180,106.671,71.638,23.807,0.000,0.000
55,180,106.221,69.986,24.565,0.000,0.000
53,180,105.973,69.467,25.018,0.000,0.000
51,180,105.500,70.266,23.567,0.000,0.000
28,180,104.705,69.188,23.846,0.000,0.000
50,180,104.597,69.144,23.668,0.000,0.000
48,180,104.056,69.078,23.644,0.000,0.000
49,180,103.244,67.571,23.581,0.000,0.000
33,180,103.106,67.943,23.675,0.000,0.000
45,180,102.702,66.871,23.555,0.000,0.000
44,180,102.676,66.930,23.509,0.000,0.000
29,180,100.822,65.324,24.013,0.000,0.000
31,180,99.991,65.031,23.515,0.000,0.000
36,180,99.050,64.071,23.732,0.000,0.000
32,180,98.280,63.000,23.582,0.000,0.000
46,180,98.181,63.280,23.533,0.000,0.000
42,180,98.038,62.408,23.585,0.000,0.000
38,180,97.927,63.447,23.519,0.000,0.000
30,180,97.873,62.763,23.592,0.000,0.000
41,180,97.578,62.481,23.709,0.000,0.000
39,180,96.945,61.748,23.547,0.000,0.000
40,180,96.456,61.769,23.400,0.000,0.000
34,180,96.192,61.520,23.541,0.000,0.000
14,180,92.871,57.697,23.585,0.000,0.000
35,180,92.602,56.909,24.295,0.000,0.000
37,180,90.981,56.464,23.508,0.000,0.000
