layer,calls,wall_ms,wait_ms,stage_ms,kernel_ms,up_miss_per_call,gate_miss_per_call,avg_stage_jobs
54,180,1796.309,1066.828,7.914,1102.776,4.194,4.189,8.382
14,180,1787.115,1086.125,7.536,1122.792,4.094,4.094,8.189
28,180,1742.840,989.586,7.817,1027.646,4.835,4.835,9.670
29,180,1736.321,980.560,7.897,1017.742,4.733,4.733,9.466
53,180,1713.809,987.500,8.068,1025.032,4.314,4.314,8.628
52,180,1702.640,972.491,7.926,1008.499,4.346,4.346,8.692
30,180,1698.782,969.699,7.760,1005.680,4.618,4.618,9.236
48,180,1691.286,965.299,8.193,1001.592,4.310,4.310,8.620
32,180,1665.089,942.228,7.716,978.774,4.475,4.475,8.949
55,180,1658.863,952.211,10.494,989.784,4.172,4.172,8.343
51,180,1651.611,937.878,7.813,973.288,4.177,4.183,8.360
33,180,1649.562,948.765,7.797,985.096,4.444,4.444,8.889
31,180,1632.016,931.364,7.978,967.670,4.412,4.412,8.824
50,180,1628.117,926.343,7.924,961.973,3.979,3.979,7.959
34,180,1621.490,916.671,7.788,953.076,4.205,4.205,8.409
43,180,1620.860,922.761,7.867,958.898,4.030,4.030,8.061
49,180,1608.206,923.644,7.977,959.052,3.964,3.964,7.928
36,180,1606.168,915.162,7.619,951.149,4.328,4.322,8.650
44,180,1578.633,898.859,7.840,934.349,3.976,3.976,7.952
38,180,1554.642,873.715,7.647,909.532,3.954,3.954,7.909
45,180,1542.477,882.762,7.743,918.423,3.806,3.806,7.611
47,180,1535.915,866.311,8.254,901.872,3.768,3.768,7.536
39,180,1534.722,874.337,7.717,909.901,3.722,3.722,7.445
40,180,1529.821,857.322,7.862,893.937,3.649,3.649,7.297
46,180,1525.368,861.523,7.735,897.304,3.708,3.708,7.415
41,180,1499.099,848.814,7.763,884.686,3.650,3.650,7.299
42,180,1470.450,834.444,7.907,869.558,3.461,3.461,6.922
4,180,1469.387,0.000,8.492,1450.561,5.679,5.673,11.353
5,180,1466.154,0.000,8.566,1448.063,5.815,5.815,11.630
35,180,1455.819,813.890,7.746,849.096,3.706,3.711,7.417
3,180,1446.030,0.000,8.451,1427.994,5.440,5.440,10.880
60,182,1442.161,0.000,9.024,1422.817,4.955,4.961,9.915
1,180,1420.072,1375.305,8.393,1400.574,5.564,5.564,11.128
37,180,1411.226,782.623,7.915,818.435,3.485,3.485,6.969
2,180,1395.482,0.000,8.517,1377.297,5.044,5.044,10.089
59,180,1384.452,0.000,8.544,1366.073,4.726,4.726,9.451
6,180,1366.024,0.000,8.680,1347.641,5.029,5.029,10.058
58,180,1306.206,0.000,8.744,1288.156,4.567,4.567,9.135
57,180,1294.973,0.000,8.398,1276.883,4.380,4.380,8.759
56,180,1266.743,0.000,8.669,1248.613,4.092,4.108,8.200
9,180,1080.027,1040.773,7.803,1061.973,4.928,4.934,9.862
7,180,1026.407,986.919,7.652,1008.235,4.799,4.799,9.598
8,180,1007.974,968.406,7.847,989.768,4.515,4.515,9.029
10,180,1004.139,962.610,7.905,986.028,4.988,4.983,9.971
12,180,985.208,944.080,7.555,967.444,4.874,4.874,9.747
26,180,965.035,923.320,8.097,946.621,4.691,4.691,9.382
25,180,955.393,913.911,7.599,937.195,4.702,4.702,9.405
24,180,939.297,898.133,7.886,921.217,4.597,4.602,9.199
27,180,928.199,887.143,7.634,910.467,4.578,4.578,9.155
23,180,909.115,868.059,7.544,891.401,4.436,4.436,8.872
20,180,908.395,867.121,7.901,890.418,4.360,4.360,8.720
19,180,896.504,855.271,7.809,878.565,4.343,4.343,8.687
11,180,896.207,855.421,7.675,878.587,4.276,4.276,8.551
15,180,879.714,837.898,7.808,861.680,4.095,4.095,8.190
17,180,877.104,836.442,7.451,859.437,4.069,4.053,8.122
21,180,872.493,830.857,7.904,854.484,4.117,4.117,8.234
16,180,871.806,831.104,7.573,854.205,4.144,4.144,8.287
18,180,865.177,824.219,7.419,847.458,3.963,3.953,7.916
22,180,859.573,818.160,7.622,841.485,3.989,3.989,7.978
13,180,852.194,810.927,7.557,834.498,3.924,3.924,7.848
