layer,role,prompts,calls,wall_ms,ms_per_token,stage_ms,stage_ms_per_token,kernel_ms,wait_ms,hits,misses,hit_rate,staged_jobs,unique_experts,observed_mib,route_hits,ideal_tok_s_if_removed
54,upgate,2,180,1796.309,9.979,7.914,0.044,1102.776,1985.516,1365,1515,47.40,1515,556,2736.56,3360,1.549
14,upgate,2,180,1787.115,9.928,7.536,0.042,1122.792,1951.895,1406,1474,48.82,1474,468,2303.44,3360,1.549
28,upgate,2,180,1742.840,9.682,7.817,0.043,1027.646,1897.459,1142,1738,39.65,1738,486,2392.03,3360,1.548
29,upgate,2,180,1736.321,9.646,7.897,0.044,1017.742,1879.955,1186,1694,41.18,1694,494,2431.41,3360,1.548
53,upgate,2,180,1713.809,9.521,8.068,0.045,1025.032,1903.546,1326,1554,46.04,1554,546,2687.34,3360,1.548
52,upgate,2,180,1702.640,9.459,7.926,0.044,1008.499,1867.941,1316,1564,45.69,1564,536,2638.12,3360,1.547
30,upgate,2,180,1698.782,9.438,7.760,0.043,1005.680,1858.117,1220,1660,42.36,1660,482,2372.34,3360,1.547
48,upgate,2,180,1691.286,9.396,8.193,0.046,1001.592,1857.320,1330,1550,46.18,1550,528,2598.75,3360,1.547
32,upgate,2,180,1665.089,9.250,7.716,0.043,978.774,1813.786,1270,1610,44.10,1610,484,2382.19,3360,1.547
55,upgate,2,180,1658.863,9.216,10.494,0.058,989.784,1837.894,1384,1496,48.06,1496,538,2647.97,3360,1.547
51,upgate,2,180,1651.611,9.176,7.813,0.043,973.288,1801.387,1381,1499,47.95,1499,506,2490.47,3360,1.547
33,upgate,2,180,1649.562,9.164,7.797,0.043,985.096,1832.286,1286,1594,44.65,1594,484,2382.19,3360,1.547
31,upgate,2,180,1632.016,9.067,7.978,0.044,967.670,1795.223,1296,1584,45.00,1584,472,2323.12,3360,1.546
50,upgate,2,180,1628.117,9.045,7.924,0.044,961.973,1785.668,1446,1434,50.21,1434,510,2510.16,3360,1.546
34,upgate,2,180,1621.490,9.008,7.788,0.043,953.076,1765.343,1362,1518,47.29,1518,466,2293.59,3360,1.546
43,upgate,2,180,1620.860,9.005,7.867,0.044,958.898,1778.439,1424,1456,49.44,1456,506,2490.47,3360,1.546
49,upgate,2,180,1608.206,8.934,7.977,0.044,959.052,1779.876,1450,1430,50.35,1430,534,2628.28,3360,1.546
