horizon,policy,budget,samples,actual,predicted,hits,recall,precision,pred_over_actual,full_step_pct
2,static_target_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
2,hidden_knn1_same_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
2,hidden_knn1_target_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
2,hidden_knn3_same_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
2,hidden_knn3_target_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
2,hidden_knn5_same_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
2,hidden_knn5_target_layer,32,528,4224,16896,2667,0.6313920454545454,0.15784801136363635,4.0,0.10984848484848485
1,static_target_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
1,hidden_knn1_same_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
1,hidden_knn1_target_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
1,hidden_knn3_same_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
1,hidden_knn3_target_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
1,hidden_knn5_same_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
1,hidden_knn5_target_layer,32,531,4248,16992,2682,0.6313559322033898,0.15783898305084745,4.0,0.10922787193973635
3,static_target_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
3,hidden_knn1_same_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
3,hidden_knn1_target_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
3,hidden_knn3_same_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
3,hidden_knn3_target_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
3,hidden_knn5_same_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
3,hidden_knn5_target_layer,32,525,4200,16800,2642,0.6290476190476191,0.15726190476190477,4.0,0.10857142857142857
1,source_route_plus_static,32,531,4248,16992,2659,0.6259416195856874,0.15648540489642185,4.0,0.1016949152542373
2,source_route_plus_static,32,528,4224,16896,2642,0.6254734848484849,0.15636837121212122,4.0,0.10795454545454546
3,source_route_plus_static,32,525,4200,16800,2616,0.6228571428571429,0.15571428571428572,4.0,0.10285714285714286
1,hidden_knn3_same_layer,16,531,4248,8496,2555,0.6014595103578154,0.3007297551789077,2.0,0.08097928436911488
1,hidden_knn3_target_layer,16,531,4248,8496,2555,0.6014595103578154,0.3007297551789077,2.0,0.08097928436911488
2,hidden_knn3_same_layer,16,528,4224,8448,2540,0.6013257575757576,0.3006628787878788,2.0,0.08143939393939394
2,hidden_knn3_target_layer,16,528,4224,8448,2540,0.6013257575757576,0.3006628787878788,2.0,0.08143939393939394
3,hidden_knn3_same_layer,16,525,4200,8400,2508,0.5971428571428572,0.2985714285714286,2.0,0.08190476190476191
3,hidden_knn3_target_layer,16,525,4200,8400,2508,0.5971428571428572,0.2985714285714286,2.0,0.08190476190476191
1,hidden_knn5_same_layer,16,531,4248,8496,2535,0.5967514124293786,0.2983757062146893,2.0,0.0847457627118644
1,hidden_knn5_target_layer,16,531,4248,8496,2535,0.5967514124293786,0.2983757062146893,2.0,0.0847457627118644
2,hidden_knn5_same_layer,16,528,4224,8448,2517,0.5958806818181818,0.2979403409090909,2.0,0.08522727272727272
2,hidden_knn5_target_layer,16,528,4224,8448,2517,0.5958806818181818,0.2979403409090909,2.0,0.08522727272727272
3,hidden_knn5_same_layer,16,525,4200,8400,2492,0.5933333333333334,0.2966666666666667,2.0,0.08571428571428572
3,hidden_knn5_target_layer,16,525,4200,8400,2492,0.5933333333333334,0.2966666666666667,2.0,0.08571428571428572
1,hidden_knn1_same_layer,16,531,4248,8496,2499,0.588276836158192,0.294138418079096,2.0,0.0847457627118644
1,hidden_knn1_target_layer,16,531,4248,8496,2499,0.588276836158192,0.294138418079096,2.0,0.0847457627118644
2,hidden_knn1_same_layer,16,528,4224,8448,2484,0.5880681818181818,0.2940340909090909,2.0,0.08522727272727272
2,hidden_knn1_target_layer,16,528,4224,8448,2484,0.5880681818181818,0.2940340909090909,2.0,0.08522727272727272
3,hidden_knn1_same_layer,16,525,4200,8400,2457,0.585,0.2925,2.0,0.0838095238095238
3,hidden_knn1_target_layer,16,525,4200,8400,2457,0.585,0.2925,2.0,0.0838095238095238
2,static_target_layer,16,528,4224,8448,2316,0.5482954545454546,0.2741477272727273,2.0,0.054924242424242424
1,static_target_layer,16,531,4248,8496,2327,0.5477871939736346,0.2738935969868173,2.0,0.054613935969868174
1,hidden_knn1_same_layer,8,531,4248,4248,2324,0.5470809792843692,0.5470809792843692,1.0,0.05273069679849341
1,hidden_knn1_target_layer,8,531,4248,4248,2324,0.5470809792843692,0.5470809792843692,1.0,0.05273069679849341
2,hidden_knn1_same_layer,8,528,4224,4224,2307,0.5461647727272727,0.5461647727272727,1.0,0.05303030303030303
2,hidden_knn1_target_layer,8,528,4224,4224,2307,0.5461647727272727,0.5461647727272727,1.0,0.05303030303030303
3,static_target_layer,16,525,4200,8400,2291,0.5454761904761904,0.2727380952380952,2.0,0.05333333333333334
3,hidden_knn1_same_layer,8,525,4200,4200,2280,0.5428571428571428,0.5428571428571428,1.0,0.05333333333333334
3,hidden_knn1_target_layer,8,525,4200,4200,2280,0.5428571428571428,0.5428571428571428,1.0,0.05333333333333334
1,hidden_knn3_same_layer,8,531,4248,4248,2157,0.507768361581921,0.507768361581921,1.0,0.01694915254237288
1,hidden_knn3_target_layer,8,531,4248,4248,2157,0.507768361581921,0.507768361581921,1.0,0.01694915254237288
2,hidden_knn3_same_layer,8,528,4224,4224,2130,0.5042613636363636,0.5042613636363636,1.0,0.017045454545454544
2,hidden_knn3_target_layer,8,528,4224,4224,2130,0.5042613636363636,0.5042613636363636,1.0,0.017045454545454544
3,hidden_knn3_same_layer,8,525,4200,4200,2105,0.5011904761904762,0.5011904761904762,1.0,0.017142857142857144
3,hidden_knn3_target_layer,8,525,4200,4200,2105,0.5011904761904762,0.5011904761904762,1.0,0.017142857142857144
1,hidden_knn5_same_layer,8,531,4248,4248,1884,0.4435028248587571,0.4435028248587571,1.0,0.007532956685499058
1,hidden_knn5_target_layer,8,531,4248,4248,1884,0.4435028248587571,0.4435028248587571,1.0,0.007532956685499058
2,hidden_knn5_same_layer,8,528,4224,4224,1872,0.4431818181818182,0.4431818181818182,1.0,0.007575757575757576
2,hidden_knn5_target_layer,8,528,4224,4224,1872,0.4431818181818182,0.4431818181818182,1.0,0.007575757575757576
