predictor,horizon,budget,bundle,samples,recall,precision,full_step_pct,pred_over_actual_bytes,predicted_gib_per_token,useful_gib_per_token,waste_gib_per_token
hybrid_recent,3,32,all,10260,0.6051,0.1513,0.0348,4.0000,84.0291,12.6841,71.3450
hybrid_recent,3,32,upgate,10260,0.6051,0.1513,0.0348,4.0000,50.1912,7.5700,42.6212
hybrid_recent,3,32,down,10260,0.6051,0.1513,0.0348,4.0000,33.8379,5.1141,28.7238
hybrid_recent,2,32,all,10440,0.6023,0.1506,0.0346,4.0000,85.5473,12.8514,72.6959
hybrid_recent,2,32,upgate,10440,0.6023,0.1506,0.0346,4.0000,51.1637,7.6786,43.4851
hybrid_recent,2,32,down,10440,0.6023,0.1506,0.0346,4.0000,34.3837,5.1729,29.2108
hybrid_recent,1,32,all,10620,0.6017,0.1504,0.0331,4.0000,87.0656,13.0669,73.9987
hybrid_recent,1,32,upgate,10620,0.6017,0.1504,0.0331,4.0000,52.1362,7.8163,44.3198
hybrid_recent,1,32,down,10620,0.6017,0.1504,0.0331,4.0000,34.9294,5.2506,29.6788
hybrid_balanced,3,32,all,10260,0.5999,0.1500,0.0336,4.0000,84.0291,12.5737,71.4554
hybrid_balanced,3,32,upgate,10260,0.5999,0.1500,0.0336,4.0000,50.1912,7.5035,42.6877
hybrid_balanced,3,32,down,10260,0.5999,0.1500,0.0336,4.0000,33.8379,5.0702,28.7677
hybrid_prev,3,32,all,10260,0.5992,0.1498,0.0335,4.0000,84.0291,12.5591,71.4700
hybrid_prev,3,32,upgate,10260,0.5992,0.1498,0.0335,4.0000,50.1912,7.4949,42.6963
hybrid_prev,3,32,down,10260,0.5992,0.1498,0.0335,4.0000,33.8379,5.0642,28.7736
hybrid_balanced,2,32,all,10440,0.5976,0.1494,0.0326,4.0000,85.5473,12.7495,72.7979
hybrid_balanced,2,32,upgate,10440,0.5976,0.1494,0.0326,4.0000,51.1637,7.6174,43.5463
hybrid_balanced,2,32,down,10440,0.5976,0.1494,0.0326,4.0000,34.3837,5.1320,29.2516
hybrid_balanced,1,32,all,10620,0.5971,0.1493,0.0310,4.0000,87.0656,12.9673,74.0983
hybrid_balanced,1,32,upgate,10620,0.5971,0.1493,0.0310,4.0000,52.1362,7.7556,44.3806
hybrid_balanced,1,32,down,10620,0.5971,0.1493,0.0310,4.0000,34.9294,5.2118,29.7177
hybrid_prev,2,32,all,10440,0.5968,0.1492,0.0323,4.0000,85.5473,12.7334,72.8140
hybrid_prev,2,32,upgate,10440,0.5968,0.1492,0.0323,4.0000,51.1637,7.6079,43.5557
hybrid_prev,2,32,down,10440,0.5968,0.1492,0.0323,4.0000,34.3837,5.1254,29.2582
hybrid_prev,1,32,all,10620,0.5964,0.1491,0.0307,4.0000,87.0656,12.9517,74.1139
hybrid_prev,1,32,upgate,10620,0.5964,0.1491,0.0307,4.0000,52.1362,7.7464,44.3898
hybrid_prev,1,32,down,10620,0.5964,0.1491,0.0307,4.0000,34.9294,5.2053,29.7241
hybrid_cooc,3,32,all,10260,0.5729,0.1432,0.0217,4.0000,84.0291,12.0051,72.0240
hybrid_cooc,3,32,upgate,10260,0.5729,0.1432,0.0217,4.0000,50.1912,7.1637,43.0275
hybrid_cooc,3,32,down,10260,0.5729,0.1432,0.0217,4.0000,33.8379,4.8413,28.9966
hybrid_cooc,2,32,all,10440,0.5707,0.1427,0.0226,4.0000,85.5473,12.1740,73.3734
hybrid_cooc,2,32,upgate,10440,0.5707,0.1427,0.0226,4.0000,51.1637,7.2724,43.8913
hybrid_cooc,2,32,down,10440,0.5707,0.1427,0.0226,4.0000,34.3837,4.9016,29.4821
hybrid_cooc,1,32,all,10620,0.5698,0.1424,0.0226,4.0000,87.0656,12.3726,74.6930
hybrid_cooc,1,32,upgate,10620,0.5698,0.1424,0.0226,4.0000,52.1362,7.3986,44.7376
hybrid_cooc,1,32,down,10620,0.5698,0.1424,0.0226,4.0000,34.9294,4.9740,29.9554
recent_lfu,3,32,upgate,10260,0.5313,0.2034,0.0160,2.6143,32.8034,6.6526,26.1508
