prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,global_hot,1,8,all,5015,40120,40120,3340,0.0833,0.0833,0.0000,1.0000,637.2717,637.2717,53.3904,583.8813
dev_france_regression,global_hot,1,8,upgate,5015,40120,40120,3340,0.0833,0.0833,0.0000,1.0000,381.6077,381.6077,31.5026,350.1051
dev_france_regression,global_hot,1,8,down,5015,40120,40120,3340,0.0833,0.0833,0.0000,1.0000,255.6641,255.6641,21.8878,233.7762
dev_france_regression,global_hot,1,16,all,5015,40120,80240,5290,0.1319,0.0659,0.0000,2.0000,637.2717,1274.5435,84.1006,1190.4428
dev_france_regression,global_hot,1,16,upgate,5015,40120,80240,5290,0.1319,0.0659,0.0000,2.0000,381.6077,763.2153,49.7968,713.4185
dev_france_regression,global_hot,1,16,down,5015,40120,80240,5290,0.1319,0.0659,0.0000,2.0000,255.6641,511.3281,34.3038,477.0243
dev_france_regression,global_hot,1,32,all,5015,40120,160480,8551,0.2131,0.0533,0.0000,4.0000,637.2717,2549.0869,135.6642,2413.4227
dev_france_regression,global_hot,1,32,upgate,5015,40120,160480,8551,0.2131,0.0533,0.0000,4.0000,381.6077,1526.4307,80.4639,1445.9668
dev_france_regression,global_hot,1,32,down,5015,40120,160480,8551,0.2131,0.0533,0.0000,4.0000,255.6641,1022.6562,55.2003,967.4559
dev_france_regression,cooc,1,8,all,5015,40120,40120,4931,0.1229,0.1229,0.0000,1.0000,637.2717,637.2717,78.4584,558.8133
dev_france_regression,cooc,1,8,upgate,5015,40120,40120,4931,0.1229,0.1229,0.0000,1.0000,381.6077,381.6077,46.5457,335.0620
dev_france_regression,cooc,1,8,down,5015,40120,40120,4931,0.1229,0.1229,0.0000,1.0000,255.6641,255.6641,31.9127,223.7513
dev_france_regression,cooc,1,16,all,5015,40120,80240,7539,0.1879,0.0940,0.0000,2.0000,637.2717,1274.5435,119.7585,1154.7850
dev_france_regression,cooc,1,16,upgate,5015,40120,80240,7539,0.1879,0.0940,0.0000,2.0000,381.6077,763.2153,71.1474,692.0680
dev_france_regression,cooc,1,16,down,5015,40120,80240,7539,0.1879,0.0940,0.0000,2.0000,255.6641,511.3281,48.6111,462.7170
dev_france_regression,cooc,1,32,all,5015,40120,160480,10731,0.2675,0.0669,0.0018,4.0000,637.2717,2549.0869,170.4010,2378.6859
dev_france_regression,cooc,1,32,upgate,5015,40120,160480,10731,0.2675,0.0669,0.0018,4.0000,381.6077,1526.4307,101.4143,1425.0163
dev_france_regression,cooc,1,32,down,5015,40120,160480,10731,0.2675,0.0669,0.0018,4.0000,255.6641,1022.6562,68.9867,953.6696
dev_france_regression,previous_same_layer,1,8,all,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,637.2717,629.7744,225.6080,404.1664
dev_france_regression,previous_same_layer,1,8,upgate,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,381.6077,377.1182,135.6961,241.4220
dev_france_regression,previous_same_layer,1,8,down,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,255.6641,252.6562,89.9119,162.7443
dev_france_regression,previous_same_layer,1,16,all,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,637.2717,629.7744,225.6080,404.1664
dev_france_regression,previous_same_layer,1,16,upgate,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,381.6077,377.1182,135.6961,241.4220
dev_france_regression,previous_same_layer,1,16,down,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,255.6641,252.6562,89.9119,162.7443
dev_france_regression,previous_same_layer,1,32,all,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,637.2717,629.7744,225.6080,404.1664
dev_france_regression,previous_same_layer,1,32,upgate,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,381.6077,377.1182,135.6961,241.4220
dev_france_regression,previous_same_layer,1,32,down,5015,40120,39648,14269,0.3557,0.3599,0.0006,0.9882,255.6641,252.6562,89.9119,162.7443
dev_france_regression,recent_lfu,1,8,all,5015,40120,39648,13745,0.3426,0.3467,0.0002,0.9882,637.2717,629.7744,217.4525,412.3220
dev_france_regression,recent_lfu,1,8,upgate,5015,40120,39648,13745,0.3426,0.3467,0.0002,0.9882,381.6077,377.1182,130.5794,246.5387
dev_france_regression,recent_lfu,1,8,down,5015,40120,39648,13745,0.3426,0.3467,0.0002,0.9882,255.6641,252.6562,86.8730,165.7832
dev_france_regression,recent_lfu,1,16,all,5015,40120,78429,18281,0.4557,0.2331,0.0036,1.9550,637.2717,1245.8503,289.3125,956.5378
dev_france_regression,recent_lfu,1,16,upgate,5015,40120,78429,18281,0.4557,0.2331,0.0036,1.9548,381.6077,745.9625,173.5331,572.4294
dev_france_regression,recent_lfu,1,16,down,5015,40120,78429,18281,0.4557,0.2331,0.0036,1.9553,255.6641,499.8878,115.7794,384.1083
dev_france_regression,recent_lfu,1,32,all,5015,40120,104938,21062,0.5250,0.2007,0.0116,2.6200,637.2717,1669.6744,333.6437,1336.0307
dev_france_regression,recent_lfu,1,32,upgate,5015,40120,104938,21062,0.5250,0.2007,0.0116,2.6167,381.6077,998.5532,199.9319,798.6212
dev_france_regression,recent_lfu,1,32,down,5015,40120,104938,21062,0.5250,0.2007,0.0116,2.6250,255.6641,671.1213,133.7118,537.4095
dev_france_regression,hybrid_balanced,1,8,all,5015,40120,40120,14625,0.3645,0.3645,0.0006,1.0000,637.2717,637.2717,231.3375,405.9342
dev_france_regression,hybrid_balanced,1,8,upgate,5015,40120,40120,14625,0.3645,0.3645,0.0006,1.0000,381.6077,381.6077,139.0398,242.5679
dev_france_regression,hybrid_balanced,1,8,down,5015,40120,40120,14625,0.3645,0.3645,0.0006,1.0000,255.6641,255.6641,92.2978,163.3663
dev_france_regression,hybrid_balanced,1,16,all,5015,40120,80240,19376,0.4830,0.2415,0.0040,2.0000,637.2717,1274.5435,306.8476,967.6958
dev_france_regression,hybrid_balanced,1,16,upgate,5015,40120,80240,19376,0.4830,0.2415,0.0040,2.0000,381.6077,763.2153,183.8628,579.3525
dev_france_regression,hybrid_balanced,1,16,down,5015,40120,80240,19376,0.4830,0.2415,0.0040,2.0000,255.6641,511.3281,122.9848,388.3433
