kind,name,layer,role,source_idx,offset_start,offset_end,entries,resident_mib,read_gib,prompts,prompt_coverage,rows,hit_batches,dominant_batches,ram_only_batches,mixed_risk_batches,proportional_wait_ms,full_or_dominant_wait_ms,wait_ms_per_gib_resident,read_gib_per_gib_resident,vram_overlap_entries,vram_overlap_mib,resident_after_vram_overlap_mib,proportional_wait_ms_per_token,full_or_dominant_wait_ms_per_token
contig_window,src0.gate.win512MiB.rank1,mixed,gate,0,74065498112,74070200320,1,4.48,0.101,2,1.000,22,22,0,0,22,13.730,0.000,3135.202,23.000,1,4.48,0.00,0.076,0.000
contig_window,src0.gate.win1024MiB.rank1,mixed,gate,0,74065498112,74070200320,1,4.48,0.101,2,1.000,22,22,0,0,22,13.730,0.000,3135.202,23.000,1,4.48,0.00,0.076,0.000
contig_window,src0.up.win512MiB.rank1,mixed,up,0,73289633792,73294336000,1,4.48,0.101,2,1.000,22,22,0,0,22,13.554,0.000,3094.950,23.000,1,4.48,0.00,0.075,0.000
contig_window,src0.up.win1024MiB.rank1,mixed,up,0,73289633792,73294336000,1,4.48,0.101,2,1.000,22,22,0,0,22,13.554,0.000,3094.950,23.000,1,4.48,0.00,0.075,0.000
contig_window,src0.gate.win512MiB.rank2,mixed,gate,0,40416612352,40421314560,1,4.48,0.070,2,1.000,15,15,0,1,14,9.564,1.166,2184.035,16.000,1,4.48,0.00,0.053,0.006
contig_window,src0.gate.win1024MiB.rank2,mixed,gate,0,40416612352,40421314560,1,4.48,0.070,2,1.000,15,15,0,1,14,9.564,1.166,2184.035,16.000,1,4.48,0.00,0.053,0.006
contig_window,src0.up.win512MiB.rank2,mixed,up,0,39650152448,39654854656,1,4.48,0.070,2,1.000,15,15,0,1,14,9.431,1.225,2153.586,16.000,1,4.48,0.00,0.052,0.007
contig_window,src0.up.win1024MiB.rank2,mixed,up,0,39650152448,39654854656,1,4.48,0.070,2,1.000,15,15,0,1,14,9.431,1.225,2153.586,16.000,1,4.48,0.00,0.052,0.007
contig_window,src0.up.win512MiB.rank3,mixed,up,0,128914460672,128923865088,2,8.97,0.114,2,1.000,24,21,0,0,21,17.931,0.000,2047.278,13.000,1,4.48,4.48,0.100,0.000
contig_window,src0.up.win1024MiB.rank3,mixed,up,0,128914460672,128923865088,2,8.97,0.114,2,1.000,24,21,0,0,21,17.931,0.000,2047.278,13.000,1,4.48,4.48,0.100,0.000
contig_window,src0.down.win512MiB.rank1,mixed,down,0,74841362432,74847670272,1,6.02,0.147,2,1.000,24,24,0,0,24,11.781,0.000,2005.368,25.000,0,0.00,6.02,0.065,0.000
contig_window,src0.down.win1024MiB.rank1,mixed,down,0,74841362432,74847670272,1,6.02,0.147,2,1.000,24,24,0,0,24,11.781,0.000,2005.368,25.000,0,0.00,6.02,0.065,0.000
contig_window,src0.down.win512MiB.rank2,mixed,down,0,41183072256,41191329792,1,7.88,0.177,2,1.000,22,22,0,0,22,13.760,0.000,1789.190,23.000,1,7.88,0.00,0.076,0.000
contig_window,src0.down.win1024MiB.rank2,mixed,down,0,41183072256,41191329792,1,7.88,0.177,2,1.000,22,22,0,0,22,13.760,0.000,1789.190,23.000,1,7.88,0.00,0.076,0.000
contig_window,src0.gate.win512MiB.rank3,mixed,gate,0,129756155904,129767395328,2,10.72,0.136,2,1.000,24,21,0,0,21,18.552,0.000,1772.311,13.000,2,10.72,0.00,0.103,0.000
contig_window,src0.gate.win1024MiB.rank3,mixed,gate,0,129756155904,129767395328,2,10.72,0.136,2,1.000,24,21,0,0,21,18.552,0.000,1772.311,13.000,2,10.72,0.00,0.103,0.000
contig_window,src0.up.win512MiB.rank4,mixed,up,0,117839040512,117848444928,2,8.97,0.105,2,1.000,22,22,0,0,22,14.679,0.000,1675.974,12.000,2,8.97,0.00,0.082,0.000
contig_window,src0.up.win1024MiB.rank4,mixed,up,0,117839040512,117848444928,2,8.97,0.105,2,1.000,22,22,0,0,22,14.679,0.000,1675.974,12.000,2,8.97,0.00,0.082,0.000
contig_window,src0.up.win512MiB.rank5,mixed,up,0,101625024512,101629726720,1,4.48,0.048,1,0.500,10,10,0,0,10,7.258,0.000,1657.253,11.000,1,4.48,0.00,0.040,0.000
contig_window,src0.up.win1024MiB.rank5,mixed,up,0,101625024512,101629726720,1,4.48,0.048,1,0.500,10,10,0,0,10,7.258,0.000,1657.253,11.000,1,4.48,0.00,0.040,0.000
contig_window,src0.down.win512MiB.rank3,mixed,down,0,130762084352,130774700032,2,12.03,0.211,2,1.000,34,29,0,0,29,18.918,0.000,1610.120,18.000,1,6.02,6.02,0.105,0.000
