kind,name,layer,role,source_idx,offset_start,offset_end,entries,resident_mib,read_gib,prompts,prompt_coverage,rows,hit_batches,dominant_batches,ram_only_batches,mixed_risk_batches,proportional_wait_ms,full_or_dominant_wait_ms,wait_ms_per_gib_resident,read_gib_per_gib_resident,vram_overlap_entries,vram_overlap_mib,resident_after_vram_overlap_mib,proportional_wait_ms_per_token,full_or_dominant_wait_ms_per_token
layer_role,blk.60.up,60,up,,,,260,1393.86,4.722,2,1.000,902,179,0,179,0,0.000,0.000,0.000,3.469,12,64.32,1329.54,0.000,0.000
layer_upgate,blk.60.upgate,60,upgate,,,,520,2787.73,9.449,2,1.000,1805,358,0,358,0,0.000,0.000,0.000,3.471,24,128.64,2659.09,0.000,0.000
layer_all,blk.60.all,60,all,,,,780,4352.21,15.530,2,1.000,2840,540,0,540,0,0.000,0.000,0.000,3.654,29,158.72,4193.49,0.000,0.000
layer_role,blk.60.gate,60,gate,,,,260,1393.86,4.727,2,1.000,903,179,0,179,0,0.000,0.000,0.000,3.473,12,64.32,1329.54,0.000,0.000
layer_role,blk.60.down,60,down,,,,260,1564.49,6.081,2,1.000,1035,182,0,182,0,0.000,0.000,0.000,3.980,5,30.08,1534.41,0.000,0.000
layer_role,blk.1.up,1,up,,,,249,1116.98,4.385,2,1.000,1001,180,0,180,0,0.000,0.000,0.000,4.020,11,49.33,1067.65,0.000,0.000
layer_upgate,blk.1.upgate,1,upgate,,,,498,2233.96,8.769,2,1.000,2002,360,0,360,0,0.000,0.000,0.000,4.020,22,98.66,2135.30,0.000,0.000
layer_all,blk.1.all,1,all,,,,747,3731.85,15.719,2,1.000,3185,540,0,540,0,0.000,0.000,0.000,4.313,30,146.79,3585.06,0.000,0.000
layer_role,blk.1.gate,1,gate,,,,249,1116.98,4.385,2,1.000,1001,180,0,180,0,0.000,0.000,0.000,4.020,11,49.33,1067.65,0.000,0.000
layer_role,blk.1.down,1,down,,,,249,1497.89,6.950,2,1.000,1183,180,0,180,0,0.000,0.000,0.000,4.751,8,48.12,1449.77,0.000,0.000
layer_role,blk.2.up,2,up,,,,237,1270.56,4.758,2,1.000,909,180,0,180,0,0.000,0.000,0.000,3.835,24,128.64,1141.92,0.000,0.000
layer_upgate,blk.2.upgate,2,upgate,,,,474,2541.12,9.517,2,1.000,1818,360,0,360,0,0.000,0.000,0.000,3.835,48,257.29,2283.84,0.000,0.000
layer_all,blk.2.all,2,all,,,,711,3966.83,16.167,2,1.000,2950,540,0,540,0,0.000,0.000,0.000,4.173,54,293.38,3673.45,0.000,0.000
layer_role,blk.2.gate,2,gate,,,,237,1270.56,4.758,2,1.000,909,180,0,180,0,0.000,0.000,0.000,3.835,24,128.64,1141.92,0.000,0.000
layer_role,blk.2.down,2,down,,,,237,1425.70,6.650,2,1.000,1132,180,0,180,0,0.000,0.000,0.000,4.776,6,36.09,1389.61,0.000,0.000
layer_role,blk.3.up,3,up,,,,269,1441.93,5.119,2,1.000,978,180,0,180,0,0.000,0.000,0.000,3.635,16,85.77,1356.16,0.000,0.000
layer_upgate,blk.3.upgate,3,upgate,,,,538,2883.85,10.238,2,1.000,1956,360,0,360,0,0.000,0.000,0.000,3.635,32,171.53,2712.32,0.000,0.000
layer_all,blk.3.all,3,all,,,,807,4502.31,16.960,2,1.000,3100,540,0,540,0,0.000,0.000,0.000,3.857,37,201.62,4300.69,0.000,0.000
layer_role,blk.3.gate,3,gate,,,,269,1441.93,5.119,2,1.000,978,180,0,180,0,0.000,0.000,0.000,3.635,16,85.77,1356.16,0.000,0.000
layer_role,blk.3.down,3,down,,,,269,1618.46,6.721,2,1.000,1144,180,0,180,0,0.000,0.000,0.000,4.253,5,30.09,1588.37,0.000,0.000
