rank,tensor,expert_idx,role,layer,expert_bytes,rows,bytes,prompts,source_rows,source_bytes,jobs_hist
1,blk.16.ffn_up_exps.weight,78,up,16,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""5"": 5, ""6"": 3, ""7"": 6, ""8"": 6}"
2,blk.16.ffn_gate_exps.weight,78,gate,16,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""5"": 5, ""6"": 3, ""7"": 6, ""8"": 6}"
3,blk.8.ffn_gate_exps.weight,275,gate,8,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""2"": 1, ""3"": 2, ""4"": 7, ""5"": 3, ""6"": 4, ""7"": 3}"
4,blk.23.ffn_up_exps.weight,5,up,23,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""2"": 2, ""3"": 4, ""4"": 7, ""5"": 4, ""6"": 2, ""7"": 1}"
5,blk.23.ffn_gate_exps.weight,5,gate,23,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""2"": 2, ""3"": 4, ""4"": 7, ""5"": 4, ""6"": 2, ""7"": 1}"
6,blk.20.ffn_up_exps.weight,3,up,20,4702208,19,89341952,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 89341952}","{""2"": 2, ""3"": 3, ""4"": 5, ""5"": 6, ""6"": 3}"
7,blk.20.ffn_gate_exps.weight,3,gate,20,4702208,19,89341952,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 89341952}","{""2"": 2, ""3"": 3, ""4"": 5, ""5"": 6, ""6"": 3}"
8,blk.28.ffn_up_exps.weight,302,up,28,4702208,17,79937536,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 79937536}","{""3"": 3, ""4"": 6, ""5"": 6, ""6"": 2}"
9,blk.33.ffn_up_exps.weight,333,up,33,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""5"": 2, ""6"": 3, ""7"": 4, ""8"": 7}"
10,blk.34.ffn_up_exps.weight,218,up,34,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""2"": 2, ""3"": 1, ""4"": 2, ""5"": 7, ""6"": 2, ""7"": 2}"
11,blk.28.ffn_up_exps.weight,187,up,28,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""3"": 1, ""4"": 5, ""5"": 5, ""6"": 3, ""7"": 1, ""8"": 1}"
12,blk.11.ffn_up_exps.weight,328,up,11,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""4"": 1, ""5"": 4, ""6"": 4, ""7"": 7}"
13,blk.11.ffn_gate_exps.weight,328,gate,11,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""4"": 1, ""5"": 4, ""6"": 4, ""7"": 7}"
14,blk.24.ffn_up_exps.weight,169,up,24,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""2"": 1, ""3"": 2, ""4"": 1, ""5"": 5, ""6"": 3, ""7"": 4}"
15,blk.24.ffn_gate_exps.weight,169,gate,24,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""2"": 1, ""3"": 2, ""4"": 1, ""5"": 5, ""6"": 3, ""7"": 4}"
16,blk.43.ffn_up_exps.weight,186,up,43,4702208,16,75235328,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 75235328}","{""2"": 3, ""3"": 2, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 3}"
17,blk.6.ffn_up_exps.weight,30,up,6,5619712,15,84295680,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 84295680}","{""3"": 1, ""4"": 3, ""5"": 6, ""6"": 4, ""7"": 1}"
18,blk.6.ffn_gate_exps.weight,30,gate,6,5619712,15,84295680,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 84295680}","{""3"": 1, ""4"": 3, ""5"": 6, ""6"": 4, ""7"": 1}"
19,blk.31.ffn_up_exps.weight,61,up,31,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""3"": 1, ""5"": 3, ""6"": 2, ""7"": 5, ""8"": 4}"
20,blk.41.ffn_up_exps.weight,334,up,41,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""1"": 2, ""2"": 5, ""3"": 4, ""4"": 3, ""6"": 1}"
21,blk.23.ffn_up_exps.weight,103,up,23,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""3"": 3, ""4"": 4, ""5"": 3, ""6"": 5}"
22,blk.23.ffn_gate_exps.weight,103,gate,23,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""3"": 3, ""4"": 4, ""5"": 3, ""6"": 5}"
23,blk.15.ffn_up_exps.weight,46,up,15,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 6, ""5"": 3}"
24,blk.15.ffn_gate_exps.weight,46,gate,15,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 6, ""5"": 3}"
25,blk.25.ffn_up_exps.weight,109,up,25,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""3"": 2, ""4"": 3, ""5"": 6, ""6"": 3, ""7"": 1}"
26,blk.25.ffn_gate_exps.weight,109,gate,25,4702208,15,70533120,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 70533120}","{""3"": 2, ""4"": 3, ""5"": 6, ""6"": 3, ""7"": 1}"
27,blk.59.ffn_up_exps.weight,273,up,59,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""4"": 2, ""5"": 5, ""6"": 3, ""7"": 3, ""8"": 1}"
28,blk.59.ffn_gate_exps.weight,273,gate,59,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""4"": 2, ""5"": 5, ""6"": 3, ""7"": 3, ""8"": 1}"
29,blk.31.ffn_gate_exps.weight,301,gate,31,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""5"": 3, ""7"": 5, ""8"": 6}"
30,blk.39.ffn_gate_exps.weight,99,gate,39,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""5"": 2, ""6"": 3, ""7"": 5, ""8"": 4}"
31,blk.4.ffn_up_exps.weight,266,up,4,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""3"": 2, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 5}"
32,blk.4.ffn_gate_exps.weight,266,gate,4,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""3"": 2, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 5}"
33,blk.9.ffn_up_exps.weight,283,up,9,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""3"": 1, ""4"": 1, ""5"": 4, ""6"": 6, ""7"": 2}"
34,blk.30.ffn_gate_exps.weight,215,gate,30,5619712,14,78675968,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 78675968}","{""3"": 4, ""4"": 7, ""6"": 2, ""7"": 1}"
35,blk.15.ffn_up_exps.weight,321,up,15,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""4"": 1, ""5"": 2, ""6"": 2, ""7"": 4, ""8"": 5}"
36,blk.15.ffn_gate_exps.weight,321,gate,15,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""4"": 1, ""5"": 2, ""6"": 2, ""7"": 4, ""8"": 5}"
37,blk.17.ffn_up_exps.weight,359,up,17,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 1, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 4}"
38,blk.17.ffn_gate_exps.weight,359,gate,17,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 1, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 4}"
39,blk.30.ffn_up_exps.weight,35,up,30,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""3"": 1, ""4"": 2, ""5"": 3, ""6"": 1, ""7"": 5, ""8"": 2}"
40,blk.54.ffn_up_exps.weight,202,up,54,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""3"": 1, ""4"": 6, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 1}"
41,blk.31.ffn_up_exps.weight,301,up,31,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""5"": 3, ""7"": 5, ""8"": 6}"
42,blk.35.ffn_up_exps.weight,20,up,35,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""3"": 1, ""7"": 5, ""8"": 8}"
43,blk.39.ffn_up_exps.weight,99,up,39,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""5"": 2, ""6"": 3, ""7"": 5, ""8"": 4}"
44,blk.42.ffn_up_exps.weight,133,up,42,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""3"": 2, ""4"": 1, ""5"": 2, ""6"": 4, ""7"": 1, ""8"": 4}"
45,blk.9.ffn_gate_exps.weight,283,gate,9,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""3"": 1, ""4"": 1, ""5"": 4, ""6"": 6, ""7"": 2}"
46,blk.20.ffn_up_exps.weight,173,up,20,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 1, ""3"": 4, ""4"": 2, ""5"": 5, ""6"": 2}"
47,blk.20.ffn_gate_exps.weight,173,gate,20,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 1, ""3"": 4, ""4"": 2, ""5"": 5, ""6"": 2}"
48,blk.11.ffn_up_exps.weight,127,up,11,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 2, ""3"": 5, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 1}"
49,blk.11.ffn_gate_exps.weight,127,gate,11,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 2, ""3"": 5, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 1}"
50,blk.17.ffn_up_exps.weight,175,up,17,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""1"": 1, ""2"": 4, ""3"": 4, ""4"": 3, ""6"": 2}"
51,blk.17.ffn_gate_exps.weight,175,gate,17,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""1"": 1, ""2"": 4, ""3"": 4, ""4"": 3, ""6"": 2}"
52,blk.30.ffn_up_exps.weight,215,up,30,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""3"": 4, ""4"": 7, ""6"": 2, ""7"": 1}"
53,blk.53.ffn_up_exps.weight,205,up,53,4702208,14,65830912,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 65830912}","{""2"": 1, ""3"": 2, ""4"": 4, ""5"": 5, ""6"": 2}"
54,blk.59.ffn_up_exps.weight,53,up,59,5623808,13,73109504,"dev_france_regression,dev_intelligence_general","{""10"": 13}","{""10"": 73109504}","{""4"": 2, ""5"": 3, ""6"": 2, ""7"": 4, ""8"": 2}"
55,blk.59.ffn_gate_exps.weight,53,gate,59,5623808,13,73109504,"dev_france_regression,dev_intelligence_general","{""10"": 13}","{""10"": 73109504}","{""4"": 2, ""5"": 3, ""6"": 2, ""7"": 4, ""8"": 2}"
56,blk.5.ffn_up_exps.weight,90,up,5,5619712,13,73056256,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 73056256}","{""3"": 2, ""4"": 5, ""5"": 1, ""6"": 4, ""8"": 1}"
