rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,112,8257536,8257536,0x0,356,blk.8.ffn_down_exps.weight
2,104,8257536,16515072,0x0,101,blk.8.ffn_down_exps.weight
3,101,7798784,24313856,0x0,244,blk.25.ffn_down_exps.weight
4,90,7798784,32112640,0x0,213,blk.26.ffn_down_exps.weight
5,80,7798784,39911424,0x0,26,blk.4.ffn_down_exps.weight
6,91,7798784,47710208,0x0,154,blk.24.ffn_down_exps.weight
7,87,8257536,55967744,0x0,127,blk.10.ffn_down_exps.weight
8,79,8257536,64225280,0x0,34,blk.6.ffn_down_exps.weight
9,81,8257536,72482816,0x0,153,blk.10.ffn_down_exps.weight
10,79,7798784,80281600,0x0,52,blk.25.ffn_down_exps.weight
11,77,8257536,88539136,0x0,246,blk.10.ffn_down_exps.weight
12,77,7798784,96337920,0x0,82,blk.23.ffn_down_exps.weight
13,71,8257536,104595456,0x0,14,blk.7.ffn_down_exps.weight
14,78,8257536,112852992,0x0,15,blk.15.ffn_down_exps.weight
15,76,8257536,121110528,0x0,304,blk.15.ffn_down_exps.weight
16,72,7798784,128909312,0x0,270,blk.23.ffn_down_exps.weight
17,111,4702208,133611520,0x0,110,blk.14.ffn_up_exps.weight
18,94,4702208,138313728,0x0,272,blk.14.ffn_up_exps.weight
19,103,4702208,143015936,0x0,5,blk.48.ffn_up_exps.weight
20,111,5619712,148635648,0x0,110,blk.14.ffn_gate_exps.weight
21,97,4702208,153337856,0x0,330,blk.31.ffn_up_exps.weight
22,94,5619712,158957568,0x0,272,blk.14.ffn_gate_exps.weight
23,103,5619712,164577280,0x0,5,blk.48.ffn_gate_exps.weight
24,85,4702208,169279488,0x0,25,blk.33.ffn_up_exps.weight
25,82,4702208,173981696,0x0,246,blk.30.ffn_up_exps.weight
26,97,5619712,179601408,0x0,330,blk.31.ffn_gate_exps.weight
27,83,4702208,184303616,0x0,340,blk.48.ffn_up_exps.weight
28,73,4702208,189005824,0x0,33,blk.54.ffn_up_exps.weight
29,73,4702208,193708032,0x0,257,blk.31.ffn_up_exps.weight
30,75,4702208,198410240,0x0,175,blk.34.ffn_up_exps.weight
31,75,4702208,203112448,0x0,246,blk.34.ffn_up_exps.weight
32,72,4702208,207814656,0x0,37,blk.32.ffn_up_exps.weight
33,71,4702208,212516864,0x0,371,blk.31.ffn_up_exps.weight
34,85,5619712,218136576,0x0,25,blk.33.ffn_gate_exps.weight
35,82,5619712,223756288,0x0,246,blk.30.ffn_gate_exps.weight
36,70,4702208,228458496,0x0,263,blk.33.ffn_up_exps.weight
37,83,5619712,234078208,0x0,340,blk.48.ffn_gate_exps.weight
38,64,4702208,238780416,0x0,213,blk.28.ffn_up_exps.weight
39,64,4702208,243482624,0x0,305,blk.29.ffn_up_exps.weight
40,68,4702208,248184832,0x0,115,blk.53.ffn_up_exps.weight
41,65,4702208,252887040,0x0,354,blk.32.ffn_up_exps.weight
42,60,4702208,257589248,0x0,286,blk.14.ffn_up_exps.weight
43,73,5619712,263208960,0x0,33,blk.54.ffn_gate_exps.weight
44,61,4702208,267911168,0x0,20,blk.54.ffn_up_exps.weight
45,57,4702208,272613376,0x0,132,blk.14.ffn_up_exps.weight
46,73,5619712,278233088,0x0,257,blk.31.ffn_gate_exps.weight
47,60,4702208,282935296,0x0,204,blk.30.ffn_up_exps.weight
48,63,4702208,287637504,0x0,132,blk.53.ffn_up_exps.weight
49,75,5619712,293257216,0x0,175,blk.34.ffn_gate_exps.weight
50,75,5619712,298876928,0x0,246,blk.34.ffn_gate_exps.weight
51,59,4702208,303579136,0x0,130,blk.29.ffn_up_exps.weight
52,72,5619712,309198848,0x0,37,blk.32.ffn_gate_exps.weight
53,71,5619712,314818560,0x0,371,blk.31.ffn_gate_exps.weight
54,57,4702208,319520768,0x0,124,blk.28.ffn_up_exps.weight
55,60,4702208,324222976,0x0,360,blk.33.ffn_up_exps.weight
56,57,4702208,328925184,0x0,363,blk.29.ffn_up_exps.weight
57,60,4702208,333627392,0x0,289,blk.34.ffn_up_exps.weight
58,57,4702208,338329600,0x0,245,blk.54.ffn_up_exps.weight
59,70,5619712,343949312,0x0,263,blk.33.ffn_gate_exps.weight
60,57,4702208,348651520,0x0,92,blk.32.ffn_up_exps.weight
61,64,5619712,354271232,0x0,213,blk.28.ffn_gate_exps.weight
62,64,5619712,359890944,0x0,305,blk.29.ffn_gate_exps.weight
63,68,5619712,365510656,0x0,115,blk.53.ffn_gate_exps.weight
64,65,5619712,371130368,0x0,354,blk.32.ffn_gate_exps.weight
65,56,4702208,375832576,0x0,67,blk.34.ffn_up_exps.weight
66,60,5619712,381452288,0x0,286,blk.14.ffn_gate_exps.weight
67,52,4702208,386154496,0x0,138,blk.28.ffn_up_exps.weight
68,53,4702208,390856704,0x0,353,blk.32.ffn_up_exps.weight
69,61,5619712,396476416,0x0,20,blk.54.ffn_gate_exps.weight
70,51,4702208,401178624,0x0,185,blk.30.ffn_up_exps.weight
71,57,5619712,406798336,0x0,132,blk.14.ffn_gate_exps.weight
72,60,5619712,412418048,0x0,204,blk.30.ffn_gate_exps.weight
73,63,5619712,418037760,0x0,132,blk.53.ffn_gate_exps.weight
74,50,4702208,422739968,0x0,363,blk.30.ffn_up_exps.weight
75,59,5619712,428359680,0x0,130,blk.29.ffn_gate_exps.weight
76,49,4702208,433061888,0x0,217,blk.29.ffn_up_exps.weight
77,50,4702208,437764096,0x0,270,blk.32.ffn_up_exps.weight
78,51,4702208,442466304,0x0,241,blk.33.ffn_up_exps.weight
79,57,5619712,448086016,0x0,124,blk.28.ffn_gate_exps.weight
80,60,5619712,453705728,0x0,360,blk.33.ffn_gate_exps.weight
81,57,5619712,459325440,0x0,363,blk.29.ffn_gate_exps.weight
82,60,5619712,464945152,0x0,289,blk.34.ffn_gate_exps.weight
83,57,5619712,470564864,0x0,245,blk.54.ffn_gate_exps.weight
84,50,4702208,475267072,0x0,123,blk.34.ffn_up_exps.weight
85,49,4702208,479969280,0x0,284,blk.52.ffn_up_exps.weight
86,48,4702208,484671488,0x0,246,blk.32.ffn_up_exps.weight
87,48,4702208,489373696,0x0,42,blk.31.ffn_up_exps.weight
88,57,5619712,494993408,0x0,92,blk.32.ffn_gate_exps.weight
89,46,4702208,499695616,0x0,200,blk.28.ffn_up_exps.weight
90,45,4702208,504397824,0x0,55,blk.30.ffn_up_exps.weight
91,56,5619712,510017536,0x0,67,blk.34.ffn_gate_exps.weight
92,52,5619712,515637248,0x0,138,blk.28.ffn_gate_exps.weight
93,53,5619712,521256960,0x0,353,blk.32.ffn_gate_exps.weight
94,45,4702208,525959168,0x0,33,blk.52.ffn_up_exps.weight
95,43,4702208,530661376,0x0,92,blk.29.ffn_up_exps.weight
