layer,role,prompts,calls,wall_ms,ms_per_token,stage_ms,stage_ms_per_token,kernel_ms,wait_ms,hits,misses,hit_rate,staged_jobs,unique_experts,observed_mib,route_hits,ideal_tok_s_if_removed
14,upgate,2,180,1803.794,10.021,7.541,0.042,1147.185,1994.185,1406,1474,48.82,1474,468,2303.44,3360,1.560
28,upgate,2,180,1733.943,9.633,7.653,0.043,1023.530,1892.975,1142,1738,39.65,1738,486,2392.03,3360,1.559
29,upgate,2,180,1722.035,9.567,7.618,0.042,1009.392,1860.954,1186,1694,41.18,1694,494,2431.41,3360,1.559
54,upgate,2,180,1703.601,9.464,7.592,0.042,1051.117,1871.409,1365,1515,47.40,1515,556,2736.56,3360,1.559
30,upgate,2,180,1700.841,9.449,7.795,0.043,1009.422,1864.805,1220,1660,42.36,1660,482,2372.34,3360,1.558
32,upgate,2,180,1678.388,9.324,7.514,0.042,984.349,1825.176,1270,1610,44.10,1610,484,2382.19,3360,1.558
31,upgate,2,180,1672.628,9.292,7.562,0.042,1014.285,1883.668,1296,1584,45.00,1584,472,2323.12,3360,1.558
52,upgate,2,180,1647.860,9.155,7.802,0.043,966.855,1791.412,1316,1564,45.69,1564,536,2638.12,3360,1.558
33,upgate,2,180,1642.137,9.123,7.735,0.043,978.386,1819.267,1286,1594,44.65,1594,484,2382.19,3360,1.558
48,upgate,2,180,1631.381,9.063,7.559,0.042,970.458,1796.991,1330,1550,46.18,1550,528,2598.75,3360,1.558
34,upgate,2,180,1621.754,9.010,7.436,0.041,953.243,1768.653,1362,1518,47.29,1518,466,2293.59,3360,1.557
53,upgate,2,180,1616.755,8.982,7.531,0.042,959.385,1762.537,1326,1554,46.04,1554,546,2687.34,3360,1.557
36,upgate,2,180,1613.952,8.966,7.501,0.042,961.907,1782.866,1323,1557,45.94,1557,484,2382.19,3360,1.557
55,upgate,2,180,1588.447,8.825,7.472,0.042,929.332,1716.442,1384,1496,48.06,1496,538,2647.97,3360,1.557
51,upgate,2,180,1585.188,8.807,8.055,0.045,935.302,1724.399,1381,1499,47.95,1499,506,2490.47,3360,1.557
43,upgate,2,180,1576.633,8.759,7.634,0.042,933.909,1724.553,1424,1456,49.44,1456,506,2490.47,3360,1.557
44,upgate,2,180,1556.668,8.648,7.707,0.043,917.840,1700.318,1442,1438,50.07,1438,514,2529.84,3360,1.557
50,upgate,2,180,1553.582,8.631,7.632,0.042,917.831,1692.620,1446,1434,50.21,1434,510,2510.16,3360,1.556
38,upgate,2,180,1533.992,8.522,7.335,0.041,904.136,1671.670,1454,1426,50.49,1426,452,2224.69,3360,1.556
49,upgate,2,180,1524.450,8.469,7.426,0.041,905.300,1671.346,1450,1430,50.35,1430,534,2628.28,3360,1.556
46,upgate,2,180,1517.615,8.431,7.626,0.042,912.498,1642.058,1540,1340,53.47,1340,486,2392.03,3360,1.556
40,upgate,2,180,1510.169,8.390,7.833,0.044,863.400,1566.175,1562,1318,54.24,1318,472,2323.12,3360,1.556
45,upgate,2,180,1489.997,8.278,7.572,0.042,881.853,1629.076,1508,1372,52.36,1372,512,2520.00,3360,1.556
39,upgate,2,180,1483.069,8.239,7.507,0.042,873.561,1617.345,1538,1342,53.40,1342,470,2313.28,3360,1.556
47,upgate,2,180,1475.045,8.195,7.526,0.042,872.907,1605.477,1524,1356,52.92,1356,496,2441.25,3360,1.555
