layer,calls,wall_ms,stage_ms,kernel_ms,miss_per_call,staged_jobs_per_call
4,180,1059.131,1030.449,17.366,6.613,6.613
6,180,1045.415,1016.685,17.503,5.981,5.981
9,180,1038.909,1010.079,17.664,5.688,5.688
7,180,1024.368,995.674,17.520,5.928,5.928
10,180,1011.425,982.811,17.513,5.826,5.826
8,180,976.519,947.639,17.821,5.422,5.422
26,180,963.798,935.085,17.455,5.485,5.485
25,180,939.712,910.722,17.669,5.547,5.547
15,180,929.227,900.241,17.733,4.949,4.949
24,180,922.039,893.270,17.581,5.475,5.475
23,180,921.317,892.422,17.556,5.415,5.415
58,180,912.721,884.277,17.258,5.272,5.272
20,180,909.179,880.523,17.640,5.268,5.268
18,180,909.034,879.976,17.942,4.977,4.977
19,180,908.308,879.318,17.721,5.297,5.297
1,180,904.935,869.856,23.492,6.574,6.574
57,180,902.310,873.436,17.510,5.096,5.096
16,180,883.392,853.895,18.016,5.012,5.012
5,180,879.530,844.975,23.139,6.561,6.561
3,180,876.475,840.382,23.061,6.354,6.354
21,180,874.662,845.579,17.713,5.083,5.083
22,180,871.195,842.465,17.574,4.999,4.999
2,180,866.806,832.126,23.121,6.273,6.273
60,182,838.069,803.106,23.264,5.679,5.679
12,180,816.321,781.706,23.457,5.674,5.674
59,180,811.187,776.404,23.252,5.526,5.526
27,180,781.093,746.279,23.528,5.414,5.414
17,180,760.185,725.596,23.412,4.918,4.918
11,180,759.235,724.573,23.482,5.111,5.111
13,180,742.584,707.981,23.406,5.026,5.026
56,180,740.121,705.590,23.039,4.881,4.881
55,180,162.376,71.010,23.701,0.000,0.000
47,180,120.028,84.826,23.434,0.000,0.000
43,180,113.398,77.706,23.648,0.000,0.000
28,180,109.525,72.581,24.049,0.000,0.000
52,180,108.527,73.116,23.498,0.000,0.000
54,180,107.158,71.921,23.502,0.000,0.000
51,180,106.849,71.274,23.473,0.000,0.000
53,180,106.229,70.938,23.659,0.000,0.000
48,180,104.789,68.791,24.055,0.000,0.000
29,180,104.292,67.733,23.796,0.000,0.000
50,180,103.920,68.693,23.475,0.000,0.000
33,180,103.297,67.589,23.805,0.000,0.000
49,180,101.900,66.831,23.499,0.000,0.000
32,180,101.513,65.653,23.511,0.000,0.000
45,180,101.393,66.279,23.512,0.000,0.000
44,180,101.253,65.810,23.584,0.000,0.000
30,180,100.988,65.492,23.710,0.000,0.000
31,180,100.792,65.421,23.522,0.000,0.000
46,180,98.281,63.115,23.413,0.000,0.000
36,180,98.026,62.976,23.523,0.000,0.000
41,180,97.797,62.992,23.371,0.000,0.000
34,180,97.280,61.896,23.546,0.000,0.000
38,180,96.954,62.023,23.478,0.000,0.000
42,180,96.931,62.004,23.366,0.000,0.000
40,180,96.665,61.761,23.479,0.000,0.000
39,180,96.472,61.490,23.404,0.000,0.000
14,180,96.173,60.018,23.733,0.000,0.000
35,180,91.912,56.964,23.418,0.000,0.000
37,180,91.513,56.656,23.307,0.000,0.000
