layer,calls,wall_ms,wait_ms,stage_ms,kernel_ms,up_miss_per_call,gate_miss_per_call,avg_stage_jobs
14,180,1803.794,1110.749,7.541,1147.185,4.094,4.094,8.189
28,180,1733.943,986.548,7.653,1023.530,4.835,4.835,9.670
29,180,1722.035,972.582,7.618,1009.392,4.733,4.733,9.466
54,180,1703.601,1014.783,7.592,1051.117,4.194,4.189,8.382
30,180,1700.841,972.765,7.795,1009.422,4.618,4.618,9.236
32,180,1678.388,948.553,7.514,984.349,4.475,4.475,8.949
31,180,1672.628,977.411,7.562,1014.285,4.412,4.412,8.824
52,180,1647.860,930.592,7.802,966.855,4.346,4.346,8.692
33,180,1642.137,941.909,7.735,978.386,4.444,4.444,8.889
48,180,1631.381,934.604,7.559,970.458,4.310,4.310,8.620
34,180,1621.754,917.049,7.436,953.243,4.205,4.205,8.409
53,180,1616.755,922.071,7.531,959.385,4.314,4.314,8.628
36,180,1613.952,925.952,7.501,961.907,4.328,4.322,8.650
55,180,1588.447,892.288,7.472,929.332,4.172,4.172,8.343
51,180,1585.188,898.088,8.055,935.302,4.177,4.183,8.360
43,180,1576.633,897.089,7.634,933.909,4.030,4.030,8.061
44,180,1556.668,882.046,7.707,917.840,3.976,3.976,7.952
50,180,1553.582,882.265,7.632,917.831,3.979,3.979,7.959
38,180,1533.992,868.781,7.335,904.136,3.954,3.954,7.909
49,180,1524.450,869.494,7.426,905.300,3.964,3.964,7.928
46,180,1517.615,875.923,7.626,912.498,3.708,3.708,7.415
40,180,1510.169,816.943,7.833,863.400,3.649,3.649,7.297
45,180,1489.997,844.055,7.572,881.853,3.806,3.806,7.611
39,180,1483.069,837.769,7.507,873.561,3.722,3.722,7.445
47,180,1475.045,837.390,7.526,872.907,3.768,3.768,7.536
41,180,1473.351,832.103,7.460,868.212,3.650,3.650,7.299
35,180,1472.230,827.335,7.398,862.719,3.706,3.711,7.417
5,180,1450.611,0.000,7.891,1432.857,5.815,5.815,11.630
37,180,1425.932,804.215,7.526,839.316,3.485,3.485,6.969
4,180,1423.938,0.000,8.018,1406.196,5.679,5.673,11.353
42,180,1420.560,808.073,7.402,842.957,3.461,3.461,6.922
3,180,1405.251,0.000,8.184,1387.128,5.440,5.440,10.880
60,182,1369.355,0.000,8.410,1350.872,4.955,4.961,9.915
1,180,1367.128,1323.915,8.245,1348.133,5.564,5.564,11.128
2,180,1360.669,0.000,8.105,1342.871,5.044,5.044,10.089
6,180,1332.378,0.000,7.890,1314.912,5.029,5.029,10.058
59,180,1312.345,0.000,7.990,1294.883,4.726,4.726,9.451
58,180,1281.762,0.000,8.036,1263.940,4.567,4.567,9.135
57,180,1255.613,0.000,8.769,1237.112,4.380,4.380,8.759
56,180,1188.360,0.000,8.115,1170.749,4.092,4.108,8.200
9,180,1078.111,1038.620,7.473,1060.112,4.928,4.934,9.862
7,180,1075.772,1036.310,7.484,1057.674,4.799,4.799,9.598
8,180,1046.208,1000.695,7.578,1028.027,4.515,4.515,9.029
10,180,986.535,941.237,7.470,964.743,4.988,4.983,9.971
12,180,985.218,943.958,7.479,967.309,4.874,4.874,9.747
25,180,971.346,929.922,7.602,953.217,4.702,4.702,9.405
26,180,955.244,913.913,7.495,937.384,4.691,4.691,9.382
27,180,935.708,894.036,7.629,917.505,4.578,4.578,9.155
24,180,932.927,891.562,7.583,914.866,4.597,4.602,9.199
23,180,928.967,887.297,7.417,910.888,4.436,4.436,8.872
11,180,909.619,862.941,7.378,891.839,4.276,4.276,8.551
19,180,904.685,863.395,7.603,886.795,4.343,4.343,8.687
18,180,898.611,857.480,7.590,880.690,3.963,3.953,7.916
20,180,893.806,852.262,7.493,875.899,4.360,4.360,8.720
15,180,892.213,849.992,8.328,873.549,4.095,4.095,8.190
17,180,879.854,838.252,7.434,861.936,4.069,4.053,8.122
16,180,877.755,836.423,7.574,859.606,4.144,4.144,8.287
21,180,864.334,823.111,7.506,846.469,4.117,4.117,8.234
22,180,841.712,800.532,7.402,823.878,3.989,3.989,7.978
13,180,837.535,796.137,7.398,819.694,3.924,3.924,7.848
