predictor,horizon,budget,bundle,samples,recall,precision,full_step_pct,pred_over_actual_bytes,predicted_gib_per_token,useful_gib_per_token,waste_gib_per_token
hybrid_balanced,3,64,all,12369,0.6866,0.0858,0.0997,8.0000,57.8867,4.9640,52.9228
hybrid_balanced,3,64,upgate,12369,0.6866,0.0858,0.0997,8.0000,34.5762,2.9603,31.6158
hybrid_balanced,3,64,down,12369,0.6866,0.0858,0.0997,8.0000,23.3105,2.0036,21.3069
hybrid_balanced,4,64,all,12152,0.6862,0.0858,0.0996,8.0000,56.7520,4.8648,51.8871
hybrid_balanced,4,64,upgate,12152,0.6862,0.0858,0.0996,8.0000,33.9062,2.9019,31.0044
hybrid_balanced,4,64,down,12152,0.6862,0.0858,0.0996,8.0000,22.8457,1.9629,20.8828
hybrid_recent,3,64,all,12369,0.6862,0.0858,0.0984,8.0000,57.8867,4.9609,52.9258
hybrid_recent,3,64,upgate,12369,0.6862,0.0858,0.0984,8.0000,34.5762,2.9586,31.6176
hybrid_recent,3,64,down,12369,0.6862,0.0858,0.0984,8.0000,23.3105,2.0023,21.3082
hybrid_prev,3,64,all,12369,0.6859,0.0857,0.0983,8.0000,57.8867,4.9586,52.9281
hybrid_prev,3,64,upgate,12369,0.6859,0.0857,0.0983,8.0000,34.5762,2.9572,31.6190
hybrid_prev,3,64,down,12369,0.6859,0.0857,0.0983,8.0000,23.3105,2.0014,21.3091
hybrid_recent,4,64,all,12152,0.6857,0.0857,0.0977,8.0000,56.7520,4.8612,51.8907
hybrid_recent,4,64,upgate,12152,0.6857,0.0857,0.0977,8.0000,33.9062,2.8998,31.0065
hybrid_recent,4,64,down,12152,0.6857,0.0857,0.0977,8.0000,22.8457,1.9615,20.8843
hybrid_prev,4,64,all,12152,0.6854,0.0857,0.0978,8.0000,56.7520,4.8592,51.8927
hybrid_prev,4,64,upgate,12152,0.6854,0.0857,0.0978,8.0000,33.9062,2.8986,31.0077
hybrid_prev,4,64,down,12152,0.6854,0.0857,0.0978,8.0000,22.8457,1.9607,20.8850
hybrid_balanced,2,64,all,12586,0.6854,0.0857,0.0979,8.0000,58.9326,5.0446,53.8881
hybrid_balanced,2,64,upgate,12586,0.6854,0.0857,0.0979,8.0000,35.2461,3.0124,32.2337
hybrid_balanced,2,64,down,12586,0.6854,0.0857,0.0979,8.0000,23.6865,2.0321,21.6544
hybrid_balanced,1,64,all,12803,0.6851,0.0856,0.0970,8.0000,59.9785,5.1327,54.8459
hybrid_balanced,1,64,upgate,12803,0.6851,0.0856,0.0970,8.0000,35.9160,3.0684,32.8476
hybrid_balanced,1,64,down,12803,0.6851,0.0856,0.0970,8.0000,24.0625,2.0642,21.9983
hybrid_recent,2,64,all,12586,0.6850,0.0856,0.0962,8.0000,58.9326,5.0416,53.8910
hybrid_recent,2,64,upgate,12586,0.6850,0.0856,0.0962,8.0000,35.2461,3.0107,32.2354
hybrid_recent,2,64,down,12586,0.6850,0.0856,0.0962,8.0000,23.6865,2.0309,21.6556
hybrid_prev,2,64,all,12586,0.6847,0.0856,0.0962,8.0000,58.9326,5.0396,53.8930
hybrid_prev,2,64,upgate,12586,0.6847,0.0856,0.0962,8.0000,35.2461,3.0095,32.2366
hybrid_prev,2,64,down,12586,0.6847,0.0856,0.0962,8.0000,23.6865,2.0301,21.6564
hybrid_recent,1,64,all,12803,0.6844,0.0855,0.0954,8.0000,59.9785,5.1274,54.8511
hybrid_recent,1,64,upgate,12803,0.6844,0.0855,0.0954,8.0000,35.9160,3.0653,32.8507
hybrid_recent,1,64,down,12803,0.6844,0.0855,0.0954,8.0000,24.0625,2.0620,22.0005
hybrid_prev,1,64,all,12803,0.6842,0.0855,0.0955,8.0000,59.9785,5.1262,54.8523
hybrid_prev,1,64,upgate,12803,0.6842,0.0855,0.0955,8.0000,35.9160,3.0646,32.8514
hybrid_prev,1,64,down,12803,0.6842,0.0855,0.0955,8.0000,24.0625,2.0616,22.0009
hybrid_cooc,3,64,all,12369,0.6780,0.0848,0.0978,8.0000,57.8867,4.9017,52.9850
hybrid_cooc,3,64,upgate,12369,0.6780,0.0848,0.0978,8.0000,34.5762,2.9227,31.6534
hybrid_cooc,3,64,down,12369,0.6780,0.0848,0.0978,8.0000,23.3105,1.9790,21.3316
hybrid_cooc,4,64,all,12152,0.6777,0.0847,0.0987,8.0000,56.7520,4.8045,51.9475
hybrid_cooc,4,64,upgate,12152,0.6777,0.0847,0.0987,8.0000,33.9062,2.8655,31.0407
hybrid_cooc,4,64,down,12152,0.6777,0.0847,0.0987,8.0000,22.8457,1.9390,20.9067
hybrid_cooc,2,64,all,12586,0.6770,0.0846,0.0968,8.0000,58.9326,4.9823,53.9503
hybrid_cooc,2,64,upgate,12586,0.6770,0.0846,0.0968,8.0000,35.2461,2.9749,32.2712
hybrid_cooc,2,64,down,12586,0.6770,0.0846,0.0968,8.0000,23.6865,2.0074,21.6791
hybrid_cooc,1,64,all,12803,0.6754,0.0844,0.0948,8.0000,59.9785,5.0603,54.9182
hybrid_cooc,1,64,upgate,12803,0.6754,0.0844,0.0948,8.0000,35.9160,3.0245,32.8915
hybrid_cooc,1,64,down,12803,0.6754,0.0844,0.0948,8.0000,24.0625,2.0358,22.0267
hybrid_recent,4,48,all,12152,0.6463,0.1077,0.0661,6.0000,42.5640,4.5813,37.9827
hybrid_recent,4,48,upgate,12152,0.6463,0.1077,0.0661,6.0000,25.4297,2.7326,22.6971
hybrid_recent,4,48,down,12152,0.6463,0.1077,0.0661,6.0000,17.1343,1.8487,15.2855
hybrid_recent,2,48,all,12586,0.6458,0.1076,0.0644,6.0000,44.1995,4.7526,39.4468
hybrid_recent,2,48,upgate,12586,0.6458,0.1076,0.0644,6.0000,26.4346,2.8380,23.5965
hybrid_recent,2,48,down,12586,0.6458,0.1076,0.0644,6.0000,17.7649,1.9146,15.8503
hybrid_balanced,4,48,all,12152,0.6458,0.1076,0.0666,6.0000,42.5640,4.5778,37.9862
hybrid_balanced,4,48,upgate,12152,0.6458,0.1076,0.0666,6.0000,25.4297,2.7304,22.6993
hybrid_balanced,4,48,down,12152,0.6458,0.1076,0.0666,6.0000,17.1343,1.8474,15.2869
hybrid_recent,3,48,all,12369,0.6458,0.1076,0.0642,6.0000,43.4150,4.6680,38.7471
hybrid_recent,3,48,upgate,12369,0.6458,0.1076,0.0642,6.0000,25.9321,2.7838,23.1484
hybrid_recent,3,48,down,12369,0.6458,0.1076,0.0642,6.0000,17.4829,1.8842,15.5987
hybrid_recent,1,48,all,12803,0.6453,0.1076,0.0649,6.0000,44.9839,4.8337,40.1502
hybrid_recent,1,48,upgate,12803,0.6453,0.1076,0.0649,6.0000,26.9370,2.8899,24.0472
hybrid_recent,1,48,down,12803,0.6453,0.1076,0.0649,6.0000,18.0469,1.9438,16.1030
hybrid_balanced,2,48,all,12586,0.6452,0.1075,0.0649,6.0000,44.1995,4.7476,39.4519
hybrid_balanced,2,48,upgate,12586,0.6452,0.1075,0.0649,6.0000,26.4346,2.8348,23.5997
hybrid_balanced,2,48,down,12586,0.6452,0.1075,0.0649,6.0000,17.7649,1.9128,15.8521
hybrid_prev,4,48,all,12152,0.6451,0.1075,0.0661,6.0000,42.5640,4.5725,37.9915
hybrid_prev,4,48,upgate,12152,0.6451,0.1075,0.0661,6.0000,25.4297,2.7273,22.7024
hybrid_prev,4,48,down,12152,0.6451,0.1075,0.0661,6.0000,17.1343,1.8452,15.2891
hybrid_balanced,3,48,all,12369,0.6450,0.1075,0.0650,6.0000,43.4150,4.6621,38.7529
hybrid_balanced,3,48,upgate,12369,0.6450,0.1075,0.0650,6.0000,25.9321,2.7801,23.1520
hybrid_balanced,3,48,down,12369,0.6450,0.1075,0.0650,6.0000,17.4829,1.8819,15.6010
hybrid_balanced,1,48,all,12803,0.6448,0.1075,0.0653,6.0000,44.9839,4.8295,40.1544
hybrid_balanced,1,48,upgate,12803,0.6448,0.1075,0.0653,6.0000,26.9370,2.8872,24.0498
hybrid_balanced,1,48,down,12803,0.6448,0.1075,0.0653,6.0000,18.0469,1.9422,16.1047
hybrid_prev,2,48,all,12586,0.6444,0.1074,0.0639,6.0000,44.1995,4.7420,39.4575
hybrid_prev,2,48,upgate,12586,0.6444,0.1074,0.0639,6.0000,26.4346,2.8316,23.6030
hybrid_prev,2,48,down,12586,0.6444,0.1074,0.0639,6.0000,17.7649,1.9104,15.8545
hybrid_prev,3,48,all,12369,0.6440,0.1073,0.0640,6.0000,43.4150,4.6551,38.7599
hybrid_prev,3,48,upgate,12369,0.6440,0.1073,0.0640,6.0000,25.9321,2.7760,23.1561
hybrid_prev,3,48,down,12369,0.6440,0.1073,0.0640,6.0000,17.4829,1.8791,15.6038
hybrid_prev,1,48,all,12803,0.6439,0.1073,0.0647,6.0000,44.9839,4.8229,40.1610
hybrid_prev,1,48,upgate,12803,0.6439,0.1073,0.0647,6.0000,26.9370,2.8834,24.0536
hybrid_prev,1,48,down,12803,0.6439,0.1073,0.0647,6.0000,18.0469,1.9395,16.1073
hybrid_cooc,4,48,all,12152,0.6305,0.1051,0.0630,6.0000,42.5640,4.4685,38.0955
hybrid_cooc,4,48,upgate,12152,0.6305,0.1051,0.0630,6.0000,25.4297,2.6646,22.7650
hybrid_cooc,4,48,down,12152,0.6305,0.1051,0.0630,6.0000,17.1343,1.8039,15.3304
hybrid_cooc,2,48,all,12586,0.6302,0.1050,0.0625,6.0000,44.1995,4.6373,39.5621
hybrid_cooc,2,48,upgate,12586,0.6302,0.1050,0.0625,6.0000,26.4346,2.7686,23.6660
hybrid_cooc,2,48,down,12586,0.6302,0.1050,0.0625,6.0000,17.7649,1.8687,15.8962
hybrid_cooc,3,48,all,12369,0.6301,0.1050,0.0621,6.0000,43.4150,4.5547,38.8603
hybrid_cooc,3,48,upgate,12369,0.6301,0.1050,0.0621,6.0000,25.9321,2.7155,23.2167
hybrid_cooc,3,48,down,12369,0.6301,0.1050,0.0621,6.0000,17.4829,1.8393,15.6436
hybrid_cooc,1,48,all,12803,0.6292,0.1049,0.0612,6.0000,44.9839,4.7129,40.2710
hybrid_cooc,1,48,upgate,12803,0.6292,0.1049,0.0612,6.0000,26.9370,2.8170,24.1200
hybrid_cooc,1,48,down,12803,0.6292,0.1049,0.0612,6.0000,18.0469,1.8959,16.1509
hybrid_recent,4,32,all,12152,0.5897,0.1474,0.0322,4.0000,28.3760,4.1784,24.1976
hybrid_recent,4,32,upgate,12152,0.5897,0.1474,0.0322,4.0000,16.9531,2.4928,14.4604
hybrid_recent,4,32,down,12152,0.5897,0.1474,0.0322,4.0000,11.4229,1.6856,9.7372
hybrid_recent,3,32,all,12369,0.5883,0.1471,0.0309,4.0000,28.9434,4.2507,24.6926
hybrid_recent,3,32,upgate,12369,0.5883,0.1471,0.0309,4.0000,17.2881,2.5355,14.7526
hybrid_recent,3,32,down,12369,0.5883,0.1471,0.0309,4.0000,11.6553,1.7152,9.9401
hybrid_recent,1,32,all,12803,0.5880,0.1470,0.0305,4.0000,29.9893,4.4028,25.5865
hybrid_recent,1,32,upgate,12803,0.5880,0.1470,0.0305,4.0000,17.9580,2.6324,15.3256
hybrid_recent,1,32,down,12803,0.5880,0.1470,0.0305,4.0000,12.0312,1.7704,10.2609
hybrid_recent,2,32,all,12586,0.5874,0.1468,0.0310,4.0000,29.4663,4.3210,25.1453
hybrid_recent,2,32,upgate,12586,0.5874,0.1468,0.0310,4.0000,17.6230,2.5803,15.0428
hybrid_recent,2,32,down,12586,0.5874,0.1468,0.0310,4.0000,11.8433,1.7407,10.1025
hybrid_balanced,4,32,all,12152,0.5827,0.1457,0.0318,4.0000,28.3760,4.1291,24.2469
hybrid_balanced,4,32,upgate,12152,0.5827,0.1457,0.0318,4.0000,16.9531,2.4631,14.4900
hybrid_balanced,4,32,down,12152,0.5827,0.1457,0.0318,4.0000,11.4229,1.6659,9.7569
hybrid_balanced,1,32,all,12803,0.5822,0.1456,0.0309,4.0000,29.9893,4.3598,25.6295
hybrid_balanced,1,32,upgate,12803,0.5822,0.1456,0.0309,4.0000,17.9580,2.6065,15.3516
hybrid_balanced,1,32,down,12803,0.5822,0.1456,0.0309,4.0000,12.0312,1.7533,10.2779
hybrid_prev,4,32,all,12152,0.5817,0.1454,0.0314,4.0000,28.3760,4.1216,24.2544
hybrid_prev,4,32,upgate,12152,0.5817,0.1454,0.0314,4.0000,16.9531,2.4588,14.4943
hybrid_prev,4,32,down,12152,0.5817,0.1454,0.0314,4.0000,11.4229,1.6628,9.7600
hybrid_balanced,3,32,all,12369,0.5815,0.1454,0.0302,4.0000,28.9434,4.2023,24.7411
hybrid_balanced,3,32,upgate,12369,0.5815,0.1454,0.0302,4.0000,17.2881,2.5063,14.7817
hybrid_balanced,3,32,down,12369,0.5815,0.1454,0.0302,4.0000,11.6553,1.6959,9.9593
hybrid_balanced,2,32,all,12586,0.5815,0.1454,0.0311,4.0000,29.4663,4.2777,25.1886
hybrid_balanced,2,32,upgate,12586,0.5815,0.1454,0.0311,4.0000,17.6230,2.5543,15.0687
hybrid_balanced,2,32,down,12586,0.5815,0.1454,0.0311,4.0000,11.8433,1.7234,10.1199
hybrid_prev,1,32,all,12803,0.5811,0.1453,0.0299,4.0000,29.9893,4.3510,25.6382
hybrid_prev,1,32,upgate,12803,0.5811,0.1453,0.0299,4.0000,17.9580,2.6012,15.3568
hybrid_prev,1,32,down,12803,0.5811,0.1453,0.0299,4.0000,12.0312,1.7498,10.2815
