prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,global_hot,1,8,all,1829,14632,14632,3525,0.2409,0.2409,0.0000,1.0000,232.4167,232.4167,55.8549,176.5618
dev_france_regression,global_hot,1,8,upgate,1829,14632,14632,3525,0.2409,0.2409,0.0000,1.0000,139.1746,139.1746,33.4630,105.7116
dev_france_regression,global_hot,1,8,down,1829,14632,14632,3525,0.2409,0.2409,0.0000,1.0000,93.2422,93.2422,22.3920,70.8502
dev_france_regression,global_hot,1,12,all,1829,14632,21948,4535,0.3099,0.2066,0.0000,1.5000,232.4167,348.6251,71.8682,276.7569
dev_france_regression,global_hot,1,12,upgate,1829,14632,21948,4535,0.3099,0.2066,0.0000,1.5000,139.1746,208.7618,43.0320,165.7298
dev_france_regression,global_hot,1,12,down,1829,14632,21948,4535,0.3099,0.2066,0.0000,1.5000,93.2422,139.8633,28.8362,111.0271
dev_france_regression,global_hot,1,16,all,1829,14632,29264,5260,0.3595,0.1797,0.0000,2.0000,232.4167,464.8335,83.4344,381.3991
dev_france_regression,global_hot,1,16,upgate,1829,14632,29264,5260,0.3595,0.1797,0.0000,2.0000,139.1746,278.3491,49.9058,228.4434
dev_france_regression,global_hot,1,16,down,1829,14632,29264,5260,0.3595,0.1797,0.0000,2.0000,93.2422,186.4844,33.5287,152.9557
dev_france_regression,global_hot,1,24,all,1829,14632,43896,6229,0.4257,0.1419,0.0000,3.0000,232.4167,697.2502,98.8292,598.4211
dev_france_regression,global_hot,1,24,upgate,1829,14632,43896,6229,0.4257,0.1419,0.0000,3.0000,139.1746,417.5237,59.1046,358.4191
dev_france_regression,global_hot,1,24,down,1829,14632,43896,6229,0.4257,0.1419,0.0000,3.0000,93.2422,279.7266,39.7246,240.0020
dev_france_regression,global_hot,1,32,all,1829,14632,58528,6950,0.4750,0.1187,0.0005,4.0000,232.4167,929.6670,110.3693,819.2977
dev_france_regression,global_hot,1,32,upgate,1829,14632,58528,6950,0.4750,0.1187,0.0005,4.0000,139.1746,556.6982,66.0390,490.6592
dev_france_regression,global_hot,1,32,down,1829,14632,58528,6950,0.4750,0.1187,0.0005,4.0000,93.2422,372.9688,44.3303,328.6384
dev_france_regression,global_hot,1,48,all,1829,14632,87792,8116,0.5547,0.0924,0.0077,6.0000,232.4167,1394.5005,128.8332,1265.6673
dev_france_regression,global_hot,1,48,upgate,1829,14632,87792,8116,0.5547,0.0924,0.0077,6.0000,139.1746,835.0474,77.0461,758.0012
dev_france_regression,global_hot,1,48,down,1829,14632,87792,8116,0.5547,0.0924,0.0077,6.0000,93.2422,559.4531,51.7870,507.6661
dev_france_regression,global_hot,1,64,all,1829,14632,117056,9039,0.6178,0.0772,0.0323,8.0000,232.4167,1859.3340,143.4482,1715.8858
dev_france_regression,global_hot,1,64,upgate,1829,14632,117056,9039,0.6178,0.0772,0.0323,8.0000,139.1746,1113.3965,85.7617,1027.6347
dev_france_regression,global_hot,1,64,down,1829,14632,117056,9039,0.6178,0.0772,0.0323,8.0000,93.2422,745.9375,57.6864,688.2511
dev_france_regression,cooc,1,8,all,1829,14632,14632,5450,0.3725,0.3725,0.0000,1.0000,232.4167,232.4167,86.4131,146.0037
dev_france_regression,cooc,1,8,upgate,1829,14632,14632,5450,0.3725,0.3725,0.0000,1.0000,139.1746,139.1746,51.6442,87.5303
dev_france_regression,cooc,1,8,down,1829,14632,14632,5450,0.3725,0.3725,0.0000,1.0000,93.2422,93.2422,34.7689,58.4733
dev_france_regression,cooc,1,12,all,1829,14632,21948,6454,0.4411,0.2941,0.0027,1.5000,232.4167,348.6251,102.3869,246.2383
dev_france_regression,cooc,1,12,upgate,1829,14632,21948,6454,0.4411,0.2941,0.0027,1.5000,139.1746,208.7618,61.1795,147.5823
dev_france_regression,cooc,1,12,down,1829,14632,21948,6454,0.4411,0.2941,0.0027,1.5000,93.2422,139.8633,41.2074,98.6559
dev_france_regression,cooc,1,16,all,1829,14632,29264,7153,0.4889,0.2444,0.0071,2.0000,232.4167,464.8335,113.5074,351.3261
dev_france_regression,cooc,1,16,upgate,1829,14632,29264,7153,0.4889,0.2444,0.0071,2.0000,139.1746,278.3491,67.8221,210.5270
dev_france_regression,cooc,1,16,down,1829,14632,29264,7153,0.4889,0.2444,0.0071,2.0000,93.2422,186.4844,45.6853,140.7991
dev_france_regression,cooc,1,24,all,1829,14632,43896,8148,0.5569,0.1856,0.0219,3.0000,232.4167,697.2502,129.3080,567.9423
dev_france_regression,cooc,1,24,upgate,1829,14632,43896,8148,0.5569,0.1856,0.0219,3.0000,139.1746,417.5237,77.2606,340.2631
dev_france_regression,cooc,1,24,down,1829,14632,43896,8148,0.5569,0.1856,0.0219,3.0000,93.2422,279.7266,52.0473,227.6792
