layer,role,prompts,calls,wall_ms,ms_per_token,stage_ms,stage_ms_per_token,kernel_ms,wait_ms,hits,misses,hit_rate,staged_jobs,unique_experts,observed_mib,route_hits,ideal_tok_s_if_removed
14,upgate,2,62,733.579,11.832,2.581,0.042,502.374,795.443,518,474,52.22,474,320,1575.00,1472,1.556
29,upgate,2,62,625.552,10.090,2.726,0.044,357.775,662.002,380,612,38.31,612,384,1890.00,1472,1.552
54,upgate,2,62,620.931,10.015,2.895,0.047,409.883,687.973,524,468,52.82,468,402,1978.59,1472,1.551
1,upgate,2,62,612.289,9.876,3.516,0.057,604.903,1133.765,352,640,35.48,640,388,1739.94,1472,1.551
30,upgate,2,62,603.559,9.735,2.770,0.045,356.880,664.005,424,568,42.74,568,340,1673.44,1472,1.551
28,upgate,2,62,599.752,9.673,2.574,0.042,353.037,655.400,398,594,40.12,594,372,1830.94,1472,1.551
34,upgate,2,62,582.993,9.403,2.683,0.043,348.928,654.978,430,562,43.35,562,358,1762.03,1472,1.550
32,upgate,2,62,582.522,9.396,2.597,0.042,338.413,631.045,416,576,41.94,576,384,1890.00,1472,1.550
33,upgate,2,62,576.601,9.300,2.610,0.042,341.065,636.373,414,578,41.73,578,368,1811.25,1472,1.550
48,upgate,2,62,575.853,9.288,2.722,0.044,338.601,627.851,432,560,43.55,560,398,1958.91,1472,1.550
51,upgate,2,62,565.397,9.119,2.749,0.044,335.837,623.914,455,537,45.87,537,400,1968.75,1472,1.549
60,upgate,2,64,550.514,8.879,3.047,0.049,543.773,0.000,366,658,35.74,658,334,1790.03,1024,1.549
52,upgate,2,62,549.447,8.862,2.623,0.042,316.747,589.181,466,526,46.98,526,398,1958.91,1472,1.549
31,upgate,2,62,545.014,8.791,2.652,0.043,320.275,597.768,473,519,47.68,519,336,1653.75,1472,1.548
36,upgate,2,62,542.857,8.756,2.562,0.041,320.599,595.949,455,537,45.87,537,362,1781.72,1472,1.548
35,upgate,2,62,535.999,8.645,2.571,0.041,312.600,582.896,480,512,48.39,512,356,1752.19,1472,1.548
