rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,37,4816896,4816896,0x0,60,blk.3.ffn_down_exps.weight
2,37,4030464,8847360,0x0,60,blk.3.ffn_gate_exps.weight
3,37,4030464,12877824,0x0,60,blk.3.ffn_up_exps.weight
4,33,4816896,17694720,0x0,133,blk.3.ffn_down_exps.weight
5,33,4030464,21725184,0x0,133,blk.3.ffn_gate_exps.weight
6,33,4030464,25755648,0x0,133,blk.3.ffn_up_exps.weight
7,14,4816896,30572544,0x0,2,blk.3.ffn_down_exps.weight
8,14,4030464,34603008,0x0,2,blk.3.ffn_gate_exps.weight
9,14,4030464,38633472,0x0,2,blk.3.ffn_up_exps.weight
10,14,4816896,43450368,0x0,179,blk.3.ffn_down_exps.weight
11,14,4030464,47480832,0x0,179,blk.3.ffn_gate_exps.weight
12,14,4030464,51511296,0x0,179,blk.3.ffn_up_exps.weight
13,10,4816896,56328192,0x0,200,blk.3.ffn_down_exps.weight
14,10,4030464,60358656,0x0,200,blk.3.ffn_gate_exps.weight
15,10,4030464,64389120,0x0,200,blk.3.ffn_up_exps.weight
16,10,4816896,69206016,0x0,210,blk.3.ffn_down_exps.weight
17,10,4030464,73236480,0x0,210,blk.3.ffn_gate_exps.weight
18,10,4030464,77266944,0x0,210,blk.3.ffn_up_exps.weight
19,9,4816896,82083840,0x0,52,blk.3.ffn_down_exps.weight
20,9,4030464,86114304,0x0,52,blk.3.ffn_gate_exps.weight
21,9,4030464,90144768,0x0,52,blk.3.ffn_up_exps.weight
22,9,4816896,94961664,0x0,73,blk.3.ffn_down_exps.weight
23,9,4030464,98992128,0x0,73,blk.3.ffn_gate_exps.weight
24,9,4030464,103022592,0x0,73,blk.3.ffn_up_exps.weight
25,11,4816896,107839488,0x0,22,blk.4.ffn_down_exps.weight
26,11,4030464,111869952,0x0,22,blk.4.ffn_gate_exps.weight
27,11,4030464,115900416,0x0,22,blk.4.ffn_up_exps.weight
28,10,4816896,120717312,0x0,2,blk.4.ffn_down_exps.weight
29,10,4030464,124747776,0x0,2,blk.4.ffn_gate_exps.weight
30,10,4030464,128778240,0x0,2,blk.4.ffn_up_exps.weight
31,10,4816896,133595136,0x0,52,blk.4.ffn_down_exps.weight
32,10,4030464,137625600,0x0,52,blk.4.ffn_gate_exps.weight
33,10,4030464,141656064,0x0,52,blk.4.ffn_up_exps.weight
34,9,4816896,146472960,0x0,3,blk.4.ffn_down_exps.weight
35,9,4030464,150503424,0x0,3,blk.4.ffn_gate_exps.weight
36,9,4030464,154533888,0x0,3,blk.4.ffn_up_exps.weight
37,9,4816896,159350784,0x0,19,blk.4.ffn_down_exps.weight
38,9,4030464,163381248,0x0,19,blk.4.ffn_gate_exps.weight
39,9,4030464,167411712,0x0,19,blk.4.ffn_up_exps.weight
40,8,4816896,172228608,0x0,73,blk.4.ffn_down_exps.weight
41,8,4030464,176259072,0x0,73,blk.4.ffn_gate_exps.weight
42,8,4030464,180289536,0x0,73,blk.4.ffn_up_exps.weight
43,7,4816896,185106432,0x0,127,blk.4.ffn_down_exps.weight
44,7,4030464,189136896,0x0,127,blk.4.ffn_gate_exps.weight
45,7,4030464,193167360,0x0,127,blk.4.ffn_up_exps.weight
46,7,4816896,197984256,0x0,128,blk.4.ffn_down_exps.weight
47,7,4030464,202014720,0x0,128,blk.4.ffn_gate_exps.weight
48,7,4030464,206045184,0x0,128,blk.4.ffn_up_exps.weight
49,16,4816896,210862080,0x0,189,blk.5.ffn_down_exps.weight
50,16,4030464,214892544,0x0,189,blk.5.ffn_gate_exps.weight
51,16,4030464,218923008,0x0,189,blk.5.ffn_up_exps.weight
52,8,4816896,223739904,0x0,35,blk.5.ffn_down_exps.weight
53,8,4030464,227770368,0x0,35,blk.5.ffn_gate_exps.weight
