rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,64,4816896,4816896,0x0,11,blk.3.ffn_down_exps.weight
2,64,4816896,9633792,0x0,15,blk.3.ffn_down_exps.weight
3,64,4816896,14450688,0x0,26,blk.3.ffn_down_exps.weight
4,64,4816896,19267584,0x0,41,blk.3.ffn_down_exps.weight
5,64,4816896,24084480,0x0,163,blk.3.ffn_down_exps.weight
6,64,4816896,28901376,0x0,166,blk.3.ffn_down_exps.weight
7,64,4816896,33718272,0x0,174,blk.3.ffn_down_exps.weight
8,64,4816896,38535168,0x0,233,blk.3.ffn_down_exps.weight
9,64,4030464,42565632,0x0,11,blk.3.ffn_gate_exps.weight
10,64,4030464,46596096,0x0,15,blk.3.ffn_gate_exps.weight
11,64,4030464,50626560,0x0,26,blk.3.ffn_gate_exps.weight
12,64,4030464,54657024,0x0,41,blk.3.ffn_gate_exps.weight
13,64,4030464,58687488,0x0,163,blk.3.ffn_gate_exps.weight
14,64,4030464,62717952,0x0,166,blk.3.ffn_gate_exps.weight
15,64,4030464,66748416,0x0,174,blk.3.ffn_gate_exps.weight
16,64,4030464,70778880,0x0,233,blk.3.ffn_gate_exps.weight
17,64,4030464,74809344,0x0,11,blk.3.ffn_up_exps.weight
18,64,4030464,78839808,0x0,15,blk.3.ffn_up_exps.weight
19,64,4030464,82870272,0x0,26,blk.3.ffn_up_exps.weight
20,64,4030464,86900736,0x0,41,blk.3.ffn_up_exps.weight
21,64,4030464,90931200,0x0,163,blk.3.ffn_up_exps.weight
22,64,4030464,94961664,0x0,166,blk.3.ffn_up_exps.weight
23,64,4030464,98992128,0x0,174,blk.3.ffn_up_exps.weight
24,64,4030464,103022592,0x0,233,blk.3.ffn_up_exps.weight
25,64,4816896,107839488,0x0,248,blk.4.ffn_down_exps.weight
26,64,4816896,112656384,0x0,249,blk.4.ffn_down_exps.weight
27,64,4816896,117473280,0x0,250,blk.4.ffn_down_exps.weight
28,64,4816896,122290176,0x0,251,blk.4.ffn_down_exps.weight
29,64,4816896,127107072,0x0,252,blk.4.ffn_down_exps.weight
30,64,4816896,131923968,0x0,253,blk.4.ffn_down_exps.weight
31,64,4816896,136740864,0x0,254,blk.4.ffn_down_exps.weight
32,64,4816896,141557760,0x0,255,blk.4.ffn_down_exps.weight
33,64,4030464,145588224,0x0,248,blk.4.ffn_gate_exps.weight
34,64,4030464,149618688,0x0,249,blk.4.ffn_gate_exps.weight
35,64,4030464,153649152,0x0,250,blk.4.ffn_gate_exps.weight
36,64,4030464,157679616,0x0,251,blk.4.ffn_gate_exps.weight
37,64,4030464,161710080,0x0,252,blk.4.ffn_gate_exps.weight
38,64,4030464,165740544,0x0,253,blk.4.ffn_gate_exps.weight
39,64,4030464,169771008,0x0,254,blk.4.ffn_gate_exps.weight
40,64,4030464,173801472,0x0,255,blk.4.ffn_gate_exps.weight
41,64,4030464,177831936,0x0,248,blk.4.ffn_up_exps.weight
42,64,4030464,181862400,0x0,249,blk.4.ffn_up_exps.weight
43,64,4030464,185892864,0x0,250,blk.4.ffn_up_exps.weight
44,64,4030464,189923328,0x0,251,blk.4.ffn_up_exps.weight
45,64,4030464,193953792,0x0,252,blk.4.ffn_up_exps.weight
46,64,4030464,197984256,0x0,253,blk.4.ffn_up_exps.weight
47,64,4030464,202014720,0x0,254,blk.4.ffn_up_exps.weight
48,64,4030464,206045184,0x0,255,blk.4.ffn_up_exps.weight
49,63,4816896,210862080,0x0,55,blk.50.ffn_down_exps.weight
50,63,4030464,214892544,0x0,55,blk.50.ffn_gate_exps.weight
51,63,4030464,218923008,0x0,55,blk.50.ffn_up_exps.weight
52,63,4816896,223739904,0x0,45,blk.67.ffn_down_exps.weight
53,63,4030464,227770368,0x0,45,blk.67.ffn_gate_exps.weight
54,63,4030464,231800832,0x0,45,blk.67.ffn_up_exps.weight
55,62,4816896,236617728,0x0,53,blk.72.ffn_down_exps.weight
56,62,4030464,240648192,0x0,53,blk.72.ffn_gate_exps.weight
57,62,4030464,244678656,0x0,53,blk.72.ffn_up_exps.weight
58,60,4816896,249495552,0x0,120,blk.43.ffn_down_exps.weight
59,60,4030464,253526016,0x0,120,blk.43.ffn_gate_exps.weight
60,60,4030464,257556480,0x0,120,blk.43.ffn_up_exps.weight
61,60,4816896,262373376,0x0,142,blk.64.ffn_down_exps.weight
62,60,4030464,266403840,0x0,142,blk.64.ffn_gate_exps.weight
63,60,4030464,270434304,0x0,142,blk.64.ffn_up_exps.weight
64,57,4816896,275251200,0x0,106,blk.55.ffn_down_exps.weight
65,57,4030464,279281664,0x0,106,blk.55.ffn_gate_exps.weight
66,57,4030464,283312128,0x0,106,blk.55.ffn_up_exps.weight
67,57,4816896,288129024,0x0,12,blk.59.ffn_down_exps.weight
68,57,4030464,292159488,0x0,12,blk.59.ffn_gate_exps.weight
69,57,4030464,296189952,0x0,12,blk.59.ffn_up_exps.weight
70,56,4816896,301006848,0x0,195,blk.20.ffn_down_exps.weight
71,56,4030464,305037312,0x0,195,blk.20.ffn_gate_exps.weight
72,56,4030464,309067776,0x0,195,blk.20.ffn_up_exps.weight
73,56,4816896,313884672,0x0,142,blk.28.ffn_down_exps.weight
74,56,4030464,317915136,0x0,142,blk.28.ffn_gate_exps.weight
75,56,4030464,321945600,0x0,142,blk.28.ffn_up_exps.weight
76,56,4816896,326762496,0x0,180,blk.43.ffn_down_exps.weight
77,56,4030464,330792960,0x0,180,blk.43.ffn_gate_exps.weight
78,56,4030464,334823424,0x0,180,blk.43.ffn_up_exps.weight
79,56,4816896,339640320,0x0,105,blk.45.ffn_down_exps.weight
80,56,4030464,343670784,0x0,105,blk.45.ffn_gate_exps.weight
